CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NMS,NMD,Entropy ,MLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a,Tag
b1ca0f1631fa01c6922f0d303e6c1df5f618412f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,13,0,0,0,0,0,0,0,0,0,0,100,NoArch
80af387521a3a1aaa558df2741aa0fa92e34a9f1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,100,NoArch
9b85dd2ef4775abb3175557e1731ca912f265d60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,0,0,0,0,0,0,0,0,0,0,100,NoArch
7ead0f695b9fca88bef425fd9f7439aa37d65167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,12,0,0,0,0,0,0,0,0,0,0,100,NoArch
f29b409e6da41f374f8730fb31498043afa42bd6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,12,0,0,0,0,0,0,0,0,0,1,100,NoArch
abe3fc458df70e4a6c70cabf476d386473994447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,14,0,0,0,0,0,0,0,0,0,1,100,NoArch
6b5d21a13f0f30f677b0dcd19f825ff8ea0b4f1c,1,19,12,7,0,0,0,3,4,139,1,1,0,376,16,9,66,66,0,1231,1241,10,9,9,0,1,100,NoArch
a397a9cafa160ebbf5cecf3f81df9982e42485c0,7,259,88,171,0,0,0,4,15,91,2,4,2.283886625,1839,17,8,183,168,15,8161,7185,976,80,75,5,1,98.84075656,NoArch
90182e307a76144529e523cfac74b9313f0adc17,17,1321,64,1257,10,0,10,3,21,18,3,8,3.351184679,2468,24,13,388,262,126,15987,10823,5164,166,78,88,1,97.61904762,Arch
851235755de06bda588574d950d51b1a2e622be4,2,42,4,38,0,0,0,4,21,128,2,2,0.347816914,538,25,14,63,56,7,2552,2383,169,23,22,1,1,100,NoArch
71c01c119c84207702583eee6410a28cdd092edc,1,3,1,2,0,0,0,3,3,220,1,1,0,127,1,0,9,8,1,631,627,4,6,6,0,1,100,NoArch
6da647173efb6f83141a11dbef9298a5487212e4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,0,0,0,0,0,0,0,0,0,1,100,NoArch
999dda2d1fcb3332eadb6531c64787c5f112efd3,1,2,1,1,0,0,0,4,17,2,1,1,0,333,26,14,27,27,0,1113,1107,6,8,8,0,1,100,NoArch
a87e4d2fcea8e6fdccff0867aa04ffa29f353876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,15,0,0,0,0,0,0,0,0,0,1,100,NoArch
