,ACDC,,,FCA
index,MOJOFM,A2A,MOJOFM,A2A
release123--release124,95.02,98.47131445,94.67,95.02749771
release124--release125,94.74,98.28127821,92.86,96.87173049
release125--release126,94.61,98.60721227,92.44,93.13176895
release126--release127,94.54,98.39948324,81.07,93.63352816
release127--release128,92.95,97.49466951,78.14,93.3035147
release128--release129,95.1,98.65336483,79.66,96.76888846
release129--release130,94.06,98.44140309,78.56,93.57167581
release130--release131,94.06,98.23675816,78.95,93.27936201
release131--release132,94.74,98.60276652,82.83,94.91356537
release132--release133,95.25,98.78648394,94.08,99.45481579
release133--release134,92.8,98.21602787,93.49,99.91253575
release134--release135,89.25,93.5078534,74.98,90.03160358
release135--release136,94.87,98.37647633,77.59,93.08142629
release136--release137,94.84,97.85049948,87.28,94.80504972
release137--release138,93.6,98.22471066,89.48,91.75967214
release138--release139,95.4,98.8785875,84.61,98.43486015
release139--release140,96.07,98.6122921,82.91,91.38768613
release140--release141,94.67,98.56876378,93.54,99.66773602
release141--release142,95.6,98.75101543,93.45,94.53353714
release142--release143,96.56,98.96653045,90.76,95.28318043
release143--release144,94.75,98.49071859,90.83,99.69401947
release144--release145,95.64,98.9403929,91.31,99.91403722
release145--release146,95.65,98.78655462,91.54,95.21538967
release146--release147,95.03,98.6454771,94.58,99.77899892
release147--release148,95.92,98.84969069,94.63,99.78542052
release148--release149,95.42,98.72214066,94.39,94.72501895
release149--release150,93.5,96.94901646,78.7,91.1493498
release150--release151,94.42,98.57646466,89.98,99.96929004
release151--release152,93.54,98.03336907,86.42,91.141754
release152--release153,94.09,98.43253902,89.41,94.42423895
release153--release154,94.68,98.60893352,95.66,94.55379374
release154--release155,95.09,98.31239017,96.21,96.87051193
release155--release156,95.49,98.6419224,94.46,96.69911504
release156--release157,93.7,98.31979746,91.25,97.31702173
release157--release158,94.91,98.31910788,76.53,93.18345648
release158--release159,95.05,98.25136257,88.55,95.17736803
release159--release160,95.1,98.65200426,85.81,99.85114013
release160--release161,94.18,98.45674051,86.76,97.91349946
release161--release162,95.81,98.68239669,89.21,94.42613252
release162--release163,95.72,98.90873016,91.05,99.94408201
release163--release164,93.67,96.38051494,85.31,90.09427486
release164--release165,94.73,98.24584284,90.32,95.12826487
release165--release166,95.05,98.25912503,93.08,93.91528145
release166--release167,95.15,98.66546612,96.41,99.84331738
release167--release168,95.67,98.69522008,96.05,99.77268828
release168--release169,95.28,98.71483376,75.05,94.20834596
