CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NMS,NMD,Entropy ,MLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a,Tag
f6dc5c5c5978b51696d228581b7aabd84e1ff04d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,0,0,0,0,0,0,0,0,0,0,100,NoArch
d3a63dfeb666fc0db677ac52ee967aa4952373e9,2,206,44,162,0,0,0,2,3,368,1,2,0.801629102,169,1,1,38,23,15,1539,774,765,10,4,6,0,100,NoArch
5007400ff1135687ca9ccbe3a65cddd2f16beba3,1,242,0,242,1,0,1,1,1,0,1,1,0,0,2,2,22,0,22,1180,0,1180,13,0,13,0,99.29536113,NoArch
1ce35e053ff78dbaad424849c9a3e6fed5fbe061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,100,NoArch
fcba0fd97b080be635b07b2c6ed1bdb0ef376647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,0,0,0,0,0,0,0,0,0,0,100,NoArch
edeb971e65dd97652196ca5534ffc3edab9c8a65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,1,100,NoArch
301022d0f0859aa20d45d8c7c1d574ce939db905,1,1,1,0,0,0,0,1,2,6,1,1,0,242,5,5,22,22,0,1180,1180,0,13,13,0,0,100,NoArch
c88b191c84d5d8fbad32b29eb77234dbd440c1b2,7,320,7,313,2,0,2,1,5,184,1,7,1.280557524,597,6,6,65,53,12,3374,2573,801,18,10,8,0,99.70811442,NoArch
82254569c86212a377d76bf797eb4e5a76d564a6,2,2,2,0,0,0,0,2,4,76,1,2,1,672,20,18,76,76,0,3443,3439,4,20,20,0,0,100,NoArch
511fab9370828fee4bbc5b28027792738d7f9f15,11,52,769,717,0,3,3,0,4,108,1,9,2.346110031,1913,19,6,130,179,49,5606,8356,2750,21,48,27,0,99.12383178,NoArch
451c443b8f46d831169e4d3ff85e062fc25cbc0a,11,769,52,717,3,0,3,1,5,211,1,9,2.346110031,1196,20,7,179,130,49,8356,5606,2750,48,21,27,0,99.12383178,NoArch
c3d1c1d787eb8287e37c035daee70005538f8854,6,188,106,82,0,0,0,2,5,139,1,2,1.895228065,1727,1,1,207,205,2,7774,7679,95,72,71,1,0,100,NoArch
f57164509ee89d63e1a6337275760fc84bedd2a6,18,31,31,0,0,0,0,2,6,397,1,11,3.873021819,3080,2,2,354,354,0,11444,11444,0,130,130,0,1,100,NoArch
10059a9cd60d9b3458078831e725a3d87216bb5b,27,307,233,74,2,0,2,1,5,86,1,14,3.357697495,4770,7,7,542,533,9,19007,18651,356,209,205,4,0,99.65257672,NoArch
4e615c8c617d6e9fd8fe7a9e156a4d95846f7070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,0,0,0,0,0,0,0,0,0,0,100,NoArch
46e4d4f5bf637ebe3815ec9d176c3dac6302f6ca,27,233,307,74,0,2,2,2,6,292,1,14,3.357697495,4844,21,8,533,542,9,18651,19007,356,205,209,4,0,99.65257672,NoArch
8dda2fc6f98a7ce3d82929f31a1fe4d59d130c09,27,308,233,75,2,0,2,1,6,77,1,14,3.360962757,4770,8,7,542,533,9,19005,18651,354,209,205,4,0,99.65257672,NoArch
0d363fae51586fe62f43af758a6e13f795e889f1,1,6,6,0,0,0,0,1,2,13,1,1,0,107,9,8,11,11,0,366,366,0,5,5,0,0,100,NoArch
f2da62a5c56f08e23fb216a356b233115ddc1466,18,107,60,47,0,0,0,2,5,412,1,11,2.303645694,3033,10,7,354,352,2,11444,11369,75,130,129,1,0,100,NoArch
d087bc5ae0cc5cc29b769b1f9f8897b8fdd20c0b,1,32,16,16,0,0,0,4,5,84,1,1,0,287,11,7,22,25,3,1272,1302,30,8,8,0,1,100,NoArch
01bb1b68f3cff31255073c0574363cff00732665,13,1868,0,1868,13,0,13,1,1,0,1,2,3.388217745,0,12,7,138,0,138,5855,0,5855,55,0,55,1,96.18834081,Arch
e79930a8e82dc7fb70ff37ef79fa18623a74cb88,3,283,0,283,3,0,3,1,1,0,1,2,1.538540544,0,13,6,43,0,43,1649,0,1649,8,0,8,1,94.43207127,Arch
b37151c29db91e7f0809fd7402cebe853f9b386d,1,68,83,15,0,0,0,1,2,0,1,1,0,119,14,7,9,29,20,626,827,201,2,2,0,0,95.69835369,Arch
7dcd4f94c7adc53cf66efd7ac995348bad2ba970,3,41,9,32,0,0,0,1,3,0,1,2,1.569025574,268,15,8,23,23,0,1448,1448,0,8,8,0,0,100,NoArch
b5126db974cee684af1763aac5d03933376c4523,1,26,0,26,0,0,0,3,6,135,1,1,0,285,16,9,44,40,4,1662,1537,125,9,8,1,0,100,NoArch
a1a4ee9effb583af4b3d4a69540062aa917175e2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0,0,0,0,0,0,0,0,0,0,100,NoArch
ed0feca27cc05904c41ea66ba73eca939c65080c,6,4,252,248,0,1,1,1,2,6,1,1,0.632275043,1083,18,11,76,86,10,3151,3652,501,17,23,6,0,97.3354232,Arch
d53abe4db530a34c6668c9f764f778cce6d413f9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,0,0,0,0,0,0,0,0,0,0,100,NoArch
4fb80cce5a3f9d804f902e9def98fe3f6bd8c5b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13,0,0,0,0,0,0,0,0,0,0,100,NoArch
0921698b6702aa1574b239e0b227d2e8ca8eac3f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,0,0,0,0,0,0,0,0,0,0,100,NoArch
e2941278b21d4e0d762b3a8e5729100ec6375dea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,15,0,0,0,0,0,0,0,0,0,0,100,NoArch
dcdd5bdc388c2de7daaadbe974d35f42758ff0cd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,16,0,0,0,0,0,0,0,0,0,0,100,NoArch
f255eccde285704b669383540b15cefd5b6c3181,1,1,1,0,0,0,0,2,4,51,1,1,0,242,22,1,22,22,0,1184,1182,2,13,13,0,0,100,NoArch
649ebd3eeb5082cc0a75caf06bf39183ff7f0c95,4,263,83,180,2,0,2,3,7,42,1,1,1.636023387,566,24,16,104,78,26,3406,2627,779,29,20,9,0,99.56092206,NoArch
6843aeacf1b280611347f8b51d91c3a9cc5abed3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,0,0,0,0,0,0,0,0,0,0,100,NoArch
8db4f78c609694951c93ee79761a67455cf61e7f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,18,0,0,0,0,0,0,0,0,0,0,100,NoArch
c1099f83e74df7ff0fb8ce72396d5cae9677e395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,19,0,0,0,0,0,0,0,0,0,0,100,NoArch
8f28b49c88877eb2a4ed42b70b0c1b4d5a4351a6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,20,0,0,0,0,0,0,0,0,0,0,100,NoArch
5f45c38a051c8673ac56f0a1b71fc32ef884229b,2,96,0,96,2,0,2,1,1,0,1,2,1,0,29,21,4,0,4,214,0,214,4,0,4,0,99.6172772,NoArch
da11a28cf6a27471eae8fc9acaae4e5bd77881b7,30,222,2582,2360,0,21,21,0,5,46,1,11,4.471276196,4635,22,0,256,449,193,9827,18148,8321,89,165,76,0,94.82273495,Arch
7695a1e3d961df823d9cbb3bc7979d20df6c8dba,30,2584,224,2360,21,0,21,1,7,41,1,11,4.47044029,2275,27,0,449,256,193,18148,9827,8321,165,89,76,0,94.82273495,Arch
2f183846607a13ae7925a65a8ca4a865a9d76684,30,222,2582,2360,0,21,21,0,5,46,1,11,4.471276196,4635,27,0,256,449,193,9827,18148,8321,89,165,76,0,94.82273495,Arch
33c59b111f6082f1840d7fe9ad587cc5b389ffa6,30,2584,224,2360,21,0,21,1,7,41,1,11,4.47044029,2275,28,1,449,256,193,18148,9827,8321,165,89,76,1,94.82273495,Arch
680ebf3774832e878707dbcc159a7c804c3b56a2,30,222,2582,2360,0,21,21,0,5,46,1,11,4.471276196,4635,28,1,256,449,193,9827,18148,8321,89,165,76,1,94.82273495,Arch
945af32004c63e23419d23fa3ccd9ab67d23226e,31,2599,241,2358,21,0,21,1,7,43,1,12,4.509153208,2503,23,0,465,270,195,19212,10831,8381,167,91,76,1,94.82273495,Arch
168abf4fe36a48fac75d363e23fdd8e03b9b450f,30,222,2582,2360,0,21,21,0,5,46,1,11,4.471276196,4635,23,1,256,449,193,9827,18148,8321,89,165,76,1,94.82273495,Arch
7552778047107b1c75a40c370fad7ae17a25ea30,33,2587,228,2359,21,0,21,1,7,75,1,14,4.488291361,3558,12,0,616,423,193,24196,15884,8312,220,144,76,0,94.82273495,Arch
2359bb8465b97ed66b6c40ab9a4c1c091f573831,1,9,5,4,0,0,0,3,4,282,1,1,0,601,6,0,69,69,0,2880,2880,0,22,22,0,0,100,NoArch
79d4202995ef90f91334635db220d28b72a2a428,34,231,2594,2363,0,21,21,0,5,49,1,14,4.511974883,6522,24,2,492,685,193,18764,27076,8312,166,242,76,0,94.82273495,Arch
3a2e9130cbd2dbb361666bd7f21c9885e4ddbef5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,0,0,0,0,100,NoArch
4cc66e2f0d443be24888ada8747eaef3c251a2b0,38,3005,307,2698,24,0,24,1,7,77,1,16,4.711144501,4289,30,0,729,512,217,28665,19277,9388,262,172,90,1,94.05496354,Arch
