CommitID,FileNum,TotalAddLines,TotalDeleteLines,FileName,AddLines,DeleteLines,CodeLines,FileAdd,FileDelete,NDVE,NUC,AGE,NS,ND,Entropy ,LT,EXP,REXP
,,,,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/shared/SharedValue.java,25,40,224,,,,,,,,,,,
,,,,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/shared/SharedValueReader.java,5,20,56,,,,,,,,,,,
,,,,curator-recipes/src/test/java/com/netflix/curator/framework/recipes/cache/TestPathChildrenCache.java,6,63,264,,,,,,,,,,,
,,,,curator-recipes/src/test/java/com/netflix/curator/framework/recipes/cache/TestPathChildrenCacheInCluster.java,88,0,0,,,,,,,,,,,
,,,,curator-recipes/src/test/java/com/netflix/curator/framework/recipes/leader/TestLeaderSelector.java,11,35,329,,,,,,,,,,,
,,,,curator-recipes/src/test/java/com/netflix/curator/framework/recipes/leader/TestLeaderSelectorParticipants.java,3,12,171,,,,,,,,,,,
,,,,curator-recipes/src/test/java/com/netflix/curator/framework/recipes/locks/TestInterProcessMutexBase.java,0,3,320,,,,,,,,,,,
,,,,curator-recipes/src/test/java/com/netflix/curator/framework/recipes/queue/TestDistributedQueue.java,1,6,538,,,,,,,,,,,
5ff3f3c5c774d16f056849209008a800263aac92,1,0,3,curator-framework/src/main/java/com/netflix/curator/framework/listen/ListenerEntry.java,0,3,39,0,0,1,2,0,1,1,0,39,195,47
5fd49e3d1215bcb1407b53ef6c8c8566d55c42ea,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,196,48
a2c755114d90a657b0d7928b8430d8dc295c321d,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,197,49
192e4ef24c81c82eb9dde45198648805607a293f,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,198,50
0b6b1afd0b817c8e07cdf2ac074fccebe5cbc70e,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,199,51
10fe2fd4ab5b582dc2931d91db36e84874ebb539,10,112,17,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/locks/InterProcessSemaphore.java,7,0,262,0,0,1,13,57,1,5,2.863705852,1758,200,52
,,,,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/queue/BlockingQueueConsumer.java,20,6,139,,,,,,,,,,,
,,,,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/queue/QueueConsumer.java,3,1,33,,,,,,,,,,,
