NMF,TotalAddLines,TotalDeleteLines,LC,LC_1,FileAdd,FileDelete,NAD,NUC,AGE,NMS,NMD,Entropy ,MLMF,NDVE,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a,Tag
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,538,22,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
1,6,1,5,7,0,0,0,4,1995,1,1,0.0,0,3,10,0,18,0,18,752,0,752,10,0,10,1,100.0,NoArch
2,4,2,2,6,0,0,0,9,75,2,2,0.918295834,589,1,325,13,94,93,1,4051,4033,18,20,20,0,0,100.0,NoArch
1,1,2,1,3,0,0,0,11,1,1,1,0.0,0,5,1720,36,17,0,17,1056,0,1056,17,0,17,0,100.0,NoArch
11,301,340,39,641,0,0,0,31,318,3,8,2.151162803,0,3,738,22,416,0,416,20545,0,20545,118,0,118,0,100.0,NoArch
1,17,21,4,38,0,0,0,75,9,1,1,0.0,0,4,541,2,135,0,135,5478,0,5478,24,0,24,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,477,14,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
2,0,3,3,3,0,0,0,14,2,1,2,0.918295834,1970,2,312,10,227,227,0,14105,14120,15,80,80,0,0,100.0,NoArch
14,569,178,391,747,5,0,5,11,42,2,5,3.539252206,1995,2,45,11,223,185,38,11227,9885,1342,157,125,32,0,99.92305103,NoArch
1,3,1,2,4,0,0,0,6,480,1,1,0.0,0,2,59,4,311,0,311,9477,0,9477,109,0,109,0,100.0,NoArch
4,172,36,136,208,1,0,1,16,0,1,3,1.298164999,0,1,556,21,214,0,214,7972,0,7972,75,0,75,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,591,31,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
2,72,25,47,97,0,0,0,32,144,1,2,0.999309899,0,1,996,19,83,0,83,6130,0,6130,32,0,32,0,100.0,NoArch
4,225,47,178,272,1,0,1,136,657,1,3,1.465744277,0,2,1394,16,447,0,447,17453,0,17453,153,0,153,1,100.0,NoArch
1,3,4,1,7,0,0,0,16,0,1,1,0.0,0,4,680,4,46,0,46,1131,0,1131,17,0,17,0,100.0,NoArch
1,1,0,1,1,1,0,1,5,401,1,1,0.0,0,4,245,3,56,0,56,2915,0,2915,18,0,18,1,100.0,NoArch
2,9,0,9,9,2,0,2,5,2641,1,1,0.918295834,0,2,243,1,23,0,23,566,0,566,13,0,13,1,100.0,NoArch
