0f1081a7dafbbef3f45f38a8e7a8bfaf447c5643,/,/,    Fix for plicy validation,/,/,0
5084e1d688b03d07179693b78ffa2767e6d42ef9,/,/,    Default shouldn't be local,/,/,0
60c8f64356b9f517909d422175ba0e1f414f9f5d,/,/,    JAXRS: support for HttpServletResponse writes  propogating unmapped exceptions to the container as required by JAXRS,/,/,0
a83b01beae1458778a0270fb43798357993a9f6d,CXF-2170,Bug,Aegis logging inconsistent....,None,Major,1
56a02878e2dfc7f706bcc2e3587b4c198e3c5533,CXF-2162,Improvement,The cxf jar should not require wss4j,None,Minor,1
676d2a72f5f179e4094b5ddce9c3641dcccbe425,CXF-2097,Bug,If wrapped style is used and multiple message parts are generated (because  for example  a soap header parameter is declared)  the generated wsdl does not interop with RI or CXF client.,JAX-WS Runtime,Major,1
9b88ac081eb75794e07ca525eb7ab48a60e2875d,CXF-2169,Improvement,JBIConduitOutputStream need save JBI MessageExchange in response message for later possible use,Integration,Major,1
1d304970f287434b038b99a628f18b043c91e00a,/,/,    broken checkstyle fix,/,/,0
9ea2300bc989a7ae6ab773b9cb42f47fdbf2f69d,CXF-2014,Bug,@Path fails when uses variable with regexp containing curly braces.,JAX-RS,Minor,1
3bc8506a6eebe6dc4df5ad0d1ea2112bb202c02b,CXF-2163,Bug,org.apache.cxf.resource.URIResolver on Websphere 6.1 doesn&apos;t resolve from &quot;wsjar:&quot; base URI&apos;s,Core,Major,1
467e94e597c87981f8c6cd116993f5ccc53ec0e9,/,/,    Progress furthur toward getting things working on IBM jdk.  Tests now "pass"  build itself fails  but passes when re-run.,/,/,0
63c2da8816c746fb6d2532cdade8dba432fd186d,/,/,    Couple of updates to get the JAXRS tests passing on IBM JDK,/,/,0
f8fbe10db857d1303109095516b3012f7f895101,/,/,    Fix some warnings with JDK 6 and the IBM JDK,/,/,0
dfc209e3c19173f05278d208b6bd05ed7d1782f8,CXF-2167,Improvement,WS-Addressing handler should not drop messages when the RelatesTo property is explicitly set by client code,None,Major,1
6b506c4adcc1da6208c74a9adcabdf83660efbc9,/,/,    Progress toward getting things working with IBM JDK,/,/,0
74f0d361cb734d92b211994b6624a6338e25b99e,/,/,    Fix compile failures,/,/,0
7f7694ebda686830d734d65dfcf0ef5c9ab8e212,/,/,    support for JAX-RS GenericEntity,/,/,0
40c606e3b7e90345ef0a9bac9835ac9f3c936b3a,CXF-2165,Bug,SecurityPolicy-Assertion fails for only signing ,WS-* Components,Major,1
3f3dabcfac5c985868bf2a562660e9e1d3573093,/,/,    Fixing the build,/,/,0
8c78a534ec03e4d154386993c49c0f7ca3101730,/,/,    JAXRS: adding a missing test file  support for HEAD/OPTIONS  improving per-request handling,/,/,0
87b477b258d59badc15331b3eacc933670620541,/,/,    Update soap12 fault writing to properly write the Role,/,/,0
c3aebf5e5b2d3c8c10ab7888c42a4fefede34d5e,/,/,    Update a bunch of versions of things...  deps/plugins/etc...,/,/,0
9ff4c8a84057ac8d87dae96a25f6384253bf9568,/,/,    Update version of bundle plugin we're using.  Hopefully more stable.,/,/,0
08a4d43063adffa3ab343d6b8547b22a70dec81d,/,/,    Fix some arrayindex issues when run from eclipse,/,/,0
cb0cf4f922b0dea2bb7e11f6a739620f9c9f1794,/,/,    More fixes for getting jaxb to report line numbers,/,/,0
