CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,LC_1,FileAdd,FileDelete,NAD,NUC,AGE,NMS,NMD,Entropy ,MLMF,NDVE,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a,Tag
600cf2eabed2104c330cc4785e7defa23b61c169,1,142,0,142,142,1,0,1,1,0,1,1,0,0,1,209,29,21,0,21,718,0,718,11,0,11,0,99.98838425,NoArch
aaeee58a7e4e88651f437204d24ce1089b48de0e,17,166,58,108,224,0,0,0,5,232,2,6,2.979572439,2477,1,210,29,282,260,22,14266,13712,554,139,132,7,0,100,NoArch
3119e418ba9fc9b61f6d094357a5fe2a9c8419ba,2,81,0,81,81,1,0,1,2,186,1,2,0.228538144,347,1,51,5,50,46,4,1677,1305,372,29,28,1,1,99.97677524,NoArch
d93cc61a8e696a8771702d11da16f8c7bf8f3372,1,1,1,0,2,0,0,0,2,377,1,1,0,41,2,52,6,2,2,0,115,115,0,2,2,0,0,100,NoArch
48f1207a1d393304aab147a75ba5dc670f7768b2,17,431,498,67,929,0,1,1,4,309,2,9,2.404609312,4635,1,211,23,633,604,29,27030,27456,426,218,223,5,0,99.9883883,NoArch
4232f049e296d16b902fb2ecdfb7a6826464eeed,1,31,9,22,40,0,0,0,3,0,1,1,0,415,1,212,24,107,101,6,2721,2600,121,29,29,0,0,100,NoArch
d5d6ded40a44dc8a3e46e39cafaedbabd3602967,1,2,2,0,4,0,0,0,5,86,1,1,0,699,1,213,23,167,167,0,4161,4165,4,25,25,0,0,100,NoArch
03ac282be3a5ede0058e4013fd1f8d58c3ef3e28,19,485,171,314,656,3,0,3,7,1,3,11,3.643311804,3578,1,214,23,434,389,45,18313,16654,1659,205,192,13,0,99.76125313,NoArch
643257023959231bfaf4abe4d8ce42dfc999e959,1,0,1,1,1,0,0,0,2,381,1,1,0,113,1,215,24,14,14,0,554,554,0,9,9,0,0,100,NoArch
410cc30152408668641856a91cf6b1e10cda57ae,3,84,2,82,86,1,0,1,3,184,1,2,1.22487796,342,2,53,7,34,31,3,2078,1717,361,22,20,2,1,99.98248277,NoArch
507915d42b2db2f4b40c34b8256b05c0c106b541,1,39,0,39,39,0,0,0,5,239,1,1,0,168,1,216,24,34,24,10,1016,786,230,12,11,1,1,100,NoArch
eeff8cbaac04e2c1ba668b5e9244d196a7a47e64,8,647,850,203,1497,0,1,1,7,133,1,2,2.589137538,2255,3,6,0,258,275,17,9351,9690,339,106,112,6,1,99.95329013,NoArch
f58b14a86a8b6131ba6cb04b80121d623aa3c4f9,1,4,1,3,5,0,0,0,6,226,1,1,0,138,3,11,3,16,15,1,766,746,20,5,5,0,1,100,NoArch
04bcd8f5da2cbf56296442b87fad26c5d5e36350,3,43,2,41,45,0,0,0,14,155,1,3,1.278286323,1901,3,24,4,256,249,7,12302,12054,248,119,117,2,1,100,NoArch
c3447b41b18dd58b69323c00c5daba89d6b2066c,2,21,8,13,29,0,0,0,5,58,2,2,0.79732651,533,1,217,17,97,93,4,2489,2377,112,15,15,0,1,100,NoArch
63b2f17bd2f3879fba45705822dcf4542e6a3e3f,1,0,1,1,1,0,0,0,4,0,1,1,0,591,2,25,5,122,122,0,3932,3938,6,21,21,0,0,100,NoArch
49daa4e030f1b3e5dd8fdf873c517c9810020790,4,32,18,14,50,0,0,0,10,226,2,3,1.932238192,2636,2,218,17,454,455,1,13172,13054,118,129,129,0,0,100,NoArch
d40d2579c83d46e59c830c9f27c241e1069123d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,18,0,0,0,0,0,0,0,0,0,0,100,NoArch
dad12d4c2e345aefee4db2612320ea062b8b7293,5,103,4,99,107,1,0,1,4,236,1,5,1.713048322,1197,2,54,8,109,102,7,7837,7378,459,81,75,6,0,99.98832321,NoArch
ffbfba37dabf7af843998a2698364093e23de875,1,1,3,2,4,0,0,0,3,0,1,1,0,372,2,55,9,40,40,0,2743,2758,15,20,20,0,0,99.48825308,NoArch
34516f05d511491d4c6dcfac2f16ee4843e3b2fe,1,1,31,30,32,0,0,0,5,0,1,1,0,541,2,56,10,26,27,1,2951,3150,199,26,27,1,0,100,NoArch
09972d2858a91298db9fcdd82dc23ff190454b04,8,60,14,46,74,0,0,0,6,202,2,7,2.762507376,4597,1,220,19,677,666,11,18609,18338,271,217,216,1,1,100,NoArch
2fef498067edceecbcead92d4a94a1ccf867c220,1,1,1,0,2,0,0,0,6,0,1,1,0,511,2,57,11,26,26,0,2951,2951,0,26,26,0,0,100,NoArch
2504e330a6c312061123b189097663546c4f36cb,1,0,122,122,122,0,1,1,2,396,1,1,0,122,1,221,20,0,11,11,0,533,533,0,6,6,1,99.98841251,NoArch
d23008ea8437c68b357754793096c5269fe7baf3,1,17,1,16,18,0,0,0,8,84,1,1,0,703,2,222,20,108,102,6,3640,3540,100,41,40,1,1,100,NoArch
5c3b89e62c09b6ee5e8f76ff1fc8fae1cd99ddc8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,21,0,0,0,0,0,0,0,0,0,0,100,NoArch
f8cad43dd49ea10f5db5ba4ea337942b4194e487,1,12,5,7,17,0,0,0,7,2,1,1,0,141,3,12,4,18,16,2,796,766,30,5,5,0,1,100,NoArch
7456a2e26ae80c239dd77563125fc3c617058c68,3,12,16,4,28,0,0,0,7,147,2,3,1.448815636,835,4,13,0,105,105,0,4135,4175,40,37,37,0,0,100,NoArch
6c0c4787940badd423dab3e1f3b027056a07f300,1,2,2,0,4,0,0,0,3,140,1,1,0,90,2,26,6,15,15,0,363,363,0,7,7,0,1,100,NoArch
