NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NMS,NMD,Entropy ,MLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,NIR,a2a,Tag
42,1498,1164,334,3,5,8,3,68,687,2,19,4.518925268,41790,1585,3,4948,4800,148,186950,182145,4805,1796,1770,26,1,93.77222159,Arch
3,0,159,159,0,1,1,4,13,58,1,3,0.775868637,486,15,0,25,45,20,1281,1723,442,17,25,8,1,94.07953684,Arch
12,204,26,178,0,0,0,3,143,190,3,10,2.980534882,22095,2,0,2595,2589,6,105977,104953,1024,1243,1237,6,1,88.03808768,Arch
7,152,25,127,1,0,1,5,158,496,2,4,2.32160172,18193,22,3,1603,1595,8,71272,70735,537,735,732,3,1,94.01921289,Arch
3,102,3,99,0,0,0,6,13,1320,1,2,1.051909558,1267,0,0,125,116,9,6181,5690,491,81,72,9,1,91.6098166,Arch
13,105,74,31,0,0,0,10,84,123,2,7,3.253598581,10637,19,1,1063,1058,5,53573,53353,220,597,595,2,1,87.83407285,Arch
16,524,36,488,5,0,5,19,74,332,1,10,3.364279927,4935,15,0,644,604,40,29362,26641,2721,359,333,26,1,95.62404423,Arch
31,1683,89,1594,6,0,6,2,187,737,2,16,3.885376831,30045,1761,6,3274,3122,152,149106,141108,7998,1815,1723,92,1,97.84222738,Arch
17,619,289,330,2,0,2,3,161,304,2,8,2.927593771,34695,25,2,2374,2339,35,128788,127770,1018,1491,1469,22,1,94.89396035,Arch
4,74,1,73,0,0,0,54,163,98,1,3,1.693803449,12413,0,0,606,602,4,42398,41990,408,509,505,4,1,84.91068035,Arch
5,193,63,130,1,0,1,6,12,350,2,3,1.849274276,995,9,1,143,135,8,6403,5718,685,47,40,7,1,84.37935844,Arch
42,7139,55,7084,23,0,23,1,123,209,2,16,4.148998498,30206,0,0,4280,3618,662,166480,132544,33936,2097,1790,307,1,91.47075967,Arch
58,3803,247,3556,8,0,8,3,194,635,3,15,4.114271476,60751,28,2,5838,5357,481,267062,250626,16436,3143,3021,122,1,87.8793851,Arch
8,705,22,683,1,0,1,7,81,59,2,5,2.384129889,6765,0,0,699,650,49,38306,35022,3284,403,382,21,2,89.83151931,Arch
4,52,116,64,0,0,0,3,11,18,1,1,1.998977353,1008,23,1,103,105,2,5613,6045,432,34,36,2,1,89.63116575,Arch
10,130,109,21,0,0,0,55,166,864,1,4,2.86367671,13002,31,3,699,708,9,43411,43297,114,515,514,1,1,89.75191583,Arch
12,389,62,327,3,0,3,6,94,58,2,8,2.777262775,8140,1,0,652,627,25,45206,43691,1515,259,246,13,1,92.78823529,Arch
16,8723,9438,715,0,0,0,2,168,384,2,4,1.204671623,37355,1769,4,2256,2244,12,149832,136291,13541,1848,1834,14,1,92.60306457,Arch
2,77,5,72,0,0,0,2,11,669,1,2,0.839004061,255,13,1,20,18,2,1602,1089,513,12,11,1,1,83.36933045,Arch
7,209,28,181,0,0,0,6,149,660,2,4,1.809845364,9422,34,0,1192,1185,7,48821,47921,900,344,337,7,1,90.35784145,Arch
6,90,14,76,0,0,0,6,150,34,2,3,1.998847471,7805,35,1,986,982,4,37768,37595,173,278,276,2,1,88.71156092,Arch
8,1104,637,467,0,0,0,14,69,307,1,5,1.503906753,5666,19,3,596,549,47,28174,25743,2431,303,286,17,1,92.09194433,Arch
6,392,176,216,1,0,1,23,66,357,1,3,2.125413806,5063,43,5,489,481,8,28409,27440,969,314,308,6,1,86.81229773,Arch
3,212,17,195,0,0,0,5,17,659,1,2,1.345856883,1118,5,0,189,155,34,6476,5509,967,108,93,15,1,89.91112413,Arch
49,2323,102,2221,13,0,13,4,152,427,2,19,4.482306742,40822,45,2,4946,4762,184,196644,187848,8796,2013,1900,113,1,87.58642363,Arch
17,463,308,155,1,0,1,9,93,345,1,8,2.323305003,13138,13,2,1972,1960,12,74222,73708,514,817,809,8,1,95.07901303,Arch
2,54,1,53,0,0,0,19,78,10,1,2,0.994030211,5009,9,1,500,494,6,21465,21217,248,282,278,4,1,91.93746706,Arch
26,1811,791,1020,1,0,1,5,137,42,5,12,2.677238064,31142,1787,5,2133,2014,119,130874,126887,3987,1328,1281,47,2,88.63355135,Arch
3,15,6,9,0,0,0,7,18,99,1,2,1.493709546,1412,32,1,129,129,0,6550,6463,87,84,84,0,1,97.76520099,Arch
8,542,137,405,3,0,3,6,15,82,1,2,2.644488593,1209,3,0,137,135,2,7664,6227,1437,75,61,14,1,97.63277488,Arch
15,259,28,231,0,0,0,4,112,86,2,8,3.241963322,22335,1804,4,2581,2562,19,114569,113443,1126,1111,1099,12,1,96.22563537,Arch
21,116,102,14,0,0,0,5,215,80,2,10,3.768467448,28454,74,7,2168,2172,4,134289,134190,99,1469,1468,1,1,85.66090612,Arch
5,13,28,15,0,0,0,54,167,89,1,4,1.391553521,13158,79,10,1374,1376,2,60849,61012,163,633,633,0,2,88.23698591,Arch
4,229,36,193,1,0,1,54,125,94,1,3,1.499274285,5241,1,0,378,364,14,21541,20749,792,347,339,8,1,89.35245845,Arch
2,38,57,19,0,0,0,49,140,117,1,2,0.846701712,9498,82,12,542,551,9,39081,39248,167,472,473,1,1,95.1849677,Arch
13,2972,2648,324,10,1,11,13,48,11,1,4,2.127032357,3816,158,0,415,765,350,20560,33021,12461,112,168,56,1,93.64788117,Arch
3,72,8,64,0,0,0,9,72,41,1,1,1.438758681,2715,34,0,374,357,17,12311,11933,378,88,86,2,1,87.43566455,Arch
4,51,8,43,0,0,0,3,168,153,1,3,1.608939479,9993,95,9,1261,1256,5,45342,45129,213,646,642,4,1,88.23988214,Arch
33,372,170,202,0,0,0,7,186,200,1,13,3.459149536,38318,98,0,3983,3980,3,168297,167705,592,1688,1684,4,1,93.97590361,Arch
4,333,1,332,1,0,1,55,136,63,1,3,1.003156937,7150,8,0,705,657,48,30306,28694,1612,452,435,17,1,93.99286409,Arch
3,89,6,83,0,0,0,9,25,105,1,2,0.870425609,1500,0,0,151,142,9,7110,6634,476,98,91,7,1,87.0610687,Arch
2,344,300,44,1,0,1,25,80,0,1,1,0.997988442,1732,47,7,250,249,1,8217,7998,219,68,67,1,1,87.0610687,Arch
2,125,0,125,1,0,1,1,11,162,1,2,0.671247885,242,0,0,28,24,4,2359,1394,965,8,5,3,1,94.88633236,Arch
11,313,59,254,2,0,2,57,190,132,1,5,2.894035512,20211,8,0,1498,1474,24,94096,92790,1306,757,741,16,1,95.98693133,Arch
3,26,21,5,0,0,0,12,84,25,1,1,1.369325224,2271,4,0,312,310,2,9628,9613,15,82,81,1,1,93.06776297,Arch
12,323,70,253,0,0,0,3,86,215,1,7,3.023552963,6353,1,0,900,886,14,27993,25893,2100,401,395,6,1,97.95357781,Arch
91,177,97,80,1,0,1,58,226,311,1,4,5.767079444,29678,59,8,2582,2575,7,138968,138609,359,1137,1134,3,2,95.41279001,Arch
16,206,117,89,0,0,0,56,162,169,1,10,3.426745655,34113,1881,5,3541,3526,15,159919,159455,464,1469,1463,6,2,92.42627346,Arch
1015,13407,8252,5155,3,0,3,3,234,166,17,83,8.87987298,340854,345,8,40982,40709,273,1611606,1568283,43323,18517,18414,103,1,80.91717561,Arch
2,51,19,32,0,0,0,56,176,76,1,2,0.881290899,10078,0,0,556,555,1,41568,41485,83,493,492,1,1,89.85292909,Arch
11,192,22,170,0,0,0,68,222,72,1,7,2.954124022,43713,9,1,2888,2869,19,184866,183961,905,1710,1703,7,1,95.15792309,Arch
10,1311,2,1309,4,0,4,1,121,153,2,7,2.310409742,7520,73,0,873,777,96,48326,42001,6325,405,352,53,1,92.56323141,Arch
2,76,7,69,0,0,0,61,161,75,1,2,0.991501787,7961,0,0,781,775,6,35411,35055,356,481,478,3,1,96.05336298,Arch
7,87,25,62,0,0,0,11,32,587,1,2,2.134561173,2209,1905,0,260,252,8,12115,11745,370,138,131,7,1,92.98310292,Arch
7,209,69,140,0,0,0,8,236,182,2,6,1.796386177,16057,1,0,1256,1243,13,74646,74154,492,839,828,11,1,87.77148975,Arch
26,751,270,481,2,0,2,4,138,214,3,13,3.881602089,21753,1908,1,2629,2610,19,109733,107772,1961,1396,1373,23,1,91.01981982,Arch
4,140,1,139,0,0,0,7,27,736,1,3,1.669550819,1552,15,0,247,225,22,9468,8410,1058,94,85,9,1,96.57762433,Arch
