CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NMS,NMD,Entropy ,MLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,NIR,a2a
61b0014ec968b396af502742bacfb0675deb055d,355,18828,4696,14132,55,3,58,2,310,270,8,80,6.98760894,162367,603,3,17178,15729,1449,1085317,999473,85844,8953,8257,696,0,91.29339499
4b468a9d81f7380f7197a2a6b859c1b4dca84bd9,6,183,36,147,0,0,0,17,155,185,2,4,1.370627552,11832,3,0,1129,1119,10,78488,77624,864,574,569,5,1,100
150fecf6d3a1be30eb1b2f40a27524a9f60586df,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,2,0,0,0,0,0,0,0,0,0,1,100
d35283f011a797902fc9c4d896a1a6f039eb7d06,28,3118,14,3104,18,0,18,1,38,155,3,9,4.177888062,4801,160,1,952,608,344,43756,25843,17913,423,237,186,1,92.2452334
57235a0cb4de9efe698ab5ce4493bee2784a9863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,3,0,0,0,0,0,0,0,0,0,1,100
2e25ca1355094682d405e3f0e062fa85dd7200f6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,100
78a3789496569dad373d7a961361a54e3a4abd73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,100
b294119baf951efd1e49c5e92d41ddd1485348df,380,4734,22117,17383,3,73,76,1,302,166,8,87,7.172908368,184585,1,0,16154,17957,1803,1031206,1135827,104621,8501,9388,887,1,93.7315078
4da515da94623e54cab359f1b3df9dae8b4ab7a7,380,22121,4738,17383,73,3,76,2,310,257,8,87,7.172187703,167202,0,0,17957,16154,1803,1135827,1031206,104621,9388,8501,887,0,93.7315078
590df2c8befa912366925ab9b529c9f9c4bced70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1,0,0,0,0,0,0,0,0,0,1,100
368f4cee7afb269fab092cb58f6411f27a1dece4,1,5,5,0,0,0,0,107,282,22,1,1,0,2527,0,0,146,146,0,6364,6364,0,69,69,0,1,100
03af63d0761cff0cc895f65825829eb6314c0de1,4,61,2,59,0,0,0,18,49,1853,1,4,0.896734689,2320,0,0,193,190,3,17107,16713,394,129,126,3,1,100
0269edfc80e36d468516b943f0a9a08b7ee652fb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,4,0,0,0,0,0,0,0,0,0,1,100
40b261f0820faa335fab880e1366f7e56a62eada,5,150,37,113,2,0,2,1,156,127,1,2,1.986963998,3960,435,1,635,628,7,21049,20531,518,219,213,6,0,99.98608057
e43916c148ad90aab6b51c465a32ba1d4d4b474b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,2,0,0,0,0,0,0,0,0,0,1,100
63ca77ef67ce8beadb90047103d0920660fa6e39,387,4778,22333,17555,3,75,78,1,302,165,8,89,7.201279819,188259,582,1,16556,18369,1813,1053216,1158749,105533,8745,9641,896,1,93.71791525
fc20c551d6b4f5c675d9bd80876950e23d194933,390,22455,4835,17620,76,3,79,2,310,269,9,91,7.221383409,170869,586,3,18392,16579,1813,1159634,1054123,105511,9656,8759,897,0,93.70704405
99310360a589ccb28f7636b714e98e2e7c5a5110,54,591,675,84,0,0,0,14,211,530,1,10,5.151070146,24727,21,0,1482,1486,4,175811,175216,595,952,959,7,1,90.64532266
076648e280ba319773bdca56775b775b7b21a8a8,2,50,1,49,0,0,0,2,9,326,1,2,0.71401528,631,72,2,57,55,2,4503,4142,361,31,30,1,0,100
f9201666a1216fcbe07ed4f2ba544833fced6e39,10,23,33,10,0,0,0,11,16,606,1,3,2.975152084,2637,86,5,265,266,1,15103,15136,33,187,188,1,0,100
c8fbe26f3bd3a7c018e7619deba002ee454208b9,7,194,42,152,0,0,0,19,157,267,2,4,2.177296506,10209,117,0,988,978,10,64312,63354,958,473,466,7,1,100
b5b590cb6711617cbb3c978de9f8bb0903291efa,1,6,6,0,0,0,0,12,15,37,1,1,0,129,73,3,3,3,0,583,583,0,1,1,0,0,100
71f732e6e5dc90875046c43f2a5c2ed0ee478a91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,4,0,0,0,0,0,0,0,0,0,0,100
0243ef192a5e022cf5903fd8bd905860e5dc04d9,451,5588,23315,17727,3,76,79,1,302,176,10,100,7.409623356,210368,600,0,18036,19861,1825,1208507,1316321,107814,9716,10617,901,0,89.66270963
dd36331a817d5db8b595d0cec6e03d747af3b760,455,23356,5593,17763,76,3,79,2,310,250,10,102,7.416155944,193579,74,4,19958,18132,1826,1321118,1213547,107571,10689,9786,903,0,89.66270963
71cbff62b685ef2b6b3169c2e69693687ddf7b3f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,3,0,0,0,0,0,0,0,0,0,0,100
fdb98df839146a6ac742c4d603c6f73ae00ba484,7,166,58,108,0,0,0,1,197,145,1,4,2.06334446,3710,200,0,441,429,12,18271,17717,554,197,194,3,1,99.98003394
77cb8e0a5a5884e6a565131c77a906b41b978f3c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
b765a2b44e9e7c7fd662cb7e0ed7d964a0ddeeed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587,4,0,0,0,0,0,0,0,0,0,0,100
1c7cd7979228a97c5c5674f6527a813ae298fd2d,1,4,4,0,0,0,0,22,42,968,1,1,0,955,0,0,76,76,0,7893,7893,0,37,37,0,0,100
6d7e6d6f8701a018202f06ad94620953e82127cb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,100
c012fc411c39e29a6189a3c912c2ea292fb21834,1,109,10,99,0,0,0,9,12,380,1,1,0,322,436,1,12,12,0,461,461,0,12,12,0,0,100
81e709c4e2554f045a9961e520c0b7cc1a7b3495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,100
8047ba3800436d6162d0f8eb707e28857ab9eb68,76,180,245,65,0,0,0,13,77,1420,1,23,5.780823596,36877,87,4,2989,3001,12,238205,238705,500,1691,1694,3,0,100
333278d9bbf9c180d556b5c3676c1832c583bbd5,1,6,5,1,0,0,0,17,45,572,1,1,0,678,97,0,125,125,0,3481,3446,35,34,34,0,0,100
c7586cc38dc1844dbef0f2b0ab511b60aaef684e,1,1,1,0,0,0,0,28,63,60,1,1,0,697,61,0,82,82,0,3924,3924,0,32,32,0,1,100
760e6f3741a7a4ea4204c20a05ee0ce980d7581d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,100
219a446febe247e22ce5a7bbf55017d5cf02ad00,1,1,1,0,0,0,0,4,5,3769,1,1,0,143,4,1,21,21,0,422,424,2,13,13,0,0,100
a4b1e50f08e7fef85b41f00f2d5fe40406466ec0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,4,0,0,0,0,0,0,0,0,0,0,100
4c23e47bd5b04d49e1ef55b8a33ba18e72a818e2,17,433,299,134,2,0,2,23,311,145,1,9,2.624352942,15782,201,1,1235,1225,10,97517,96796,721,647,639,8,0,89.43911654
06ca4850c5b2b12e972f48e03fe4f9c1032f9a3e,4,4,26,22,0,0,0,8,14,472,1,3,1.996791632,1348,0,0,68,72,4,9281,9375,94,53,53,0,1,100
496aa1f84b0e75ed1c89559e41d75f69fe1ac71f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,100
4d036ee8714d1dbc18d598d390edb311360f717b,1,5,3,2,0,0,0,22,33,14,1,1,0,554,62,1,48,48,0,3411,3407,4,24,24,0,0,100
26f1c5f91e6d479889dfe5a897ae2de96c576ec0,537,6210,24228,18018,3,78,81,1,302,211,10,122,7.54751836,250495,58,0,21248,23085,1837,1465686,1574393,108707,11532,12447,915,0,85.88964819
2dc4d5d95ee6204aa2c0597bdbb9592a3329ba9e,537,24232,6214,18018,78,3,81,2,311,371,10,122,7.546740519,232477,88,5,23083,21251,1832,1574206,1465921,108285,12445,11534,911,0,85.88964819
576496a1ca53456d45532e83ba5f698ed592f4cb,2,2,2,0,0,0,0,5,9,475,1,1,1,185,89,6,10,10,0,1264,1244,20,8,8,0,0,100
a5bb45c11ad7a68856d14c86184bc3488770aa43,2,200,21,179,0,0,0,6,7,1154,1,2,0.928493921,1010,1,0,101,94,7,7952,6712,1240,73,65,8,1,100
d8cf47bf28af0b5eb5be8382883e6a331b788e01,4,158,8,150,0,0,0,8,142,25,1,2,1.289580327,2030,29,0,311,301,10,12121,11242,879,107,101,6,1,99.9930459
6bef67319726d64058c696d9ca84fe0d05dc38ca,1,13,0,13,0,0,0,6,8,712,1,1,0,417,63,2,13,13,0,2061,2007,54,13,13,0,1,100
6f09c3f88b2f02946f85a3cbde1298b47a4470cc,3,158,0,158,0,0,0,6,116,1078,2,3,1.38499135,1615,64,3,230,218,12,8444,7791,653,105,100,5,1,100
8d88b20b2779faa413ffc4c6d2546800e225213f,1,69,0,69,1,0,1,1,1,0,1,1,0,0,98,1,0,0,0,90,0,90,0,0,0,1,99.98609373
