NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NMS,NMD,Entropy ,MLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a,Tag
2,28,3,25,0,0,0,5,18,1634,1,1,0.938315352,328,24,3,73,67,6,1875,1743,132,29,27,2,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,25,10,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
1,5,3,2,0,0,0,3,7,63,1,1,0.0,137,340,2,10,10,0,1004,1004,0,4,4,0,0,100.0,NoArch
1,34,30,4,0,0,0,1,3,1,1,1,0.0,893,184,2,127,126,1,6749,6745,4,12,12,0,1,100.0,NoArch
1,3,4,1,0,0,0,4,16,0,1,1,0.0,146,719,8,14,14,0,658,664,6,5,5,0,0,100.0,NoArch
1,4,1,3,0,0,0,1,6,104,1,1,0.0,39,242,7,1,1,0,192,170,22,1,1,0,0,100.0,NoArch
7,18,9,9,0,0,0,5,61,44,2,7,1.958229169,1661,99,8,94,94,0,9457,9376,81,37,37,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,242,8,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
4,68,56,12,0,0,0,4,24,0,2,3,0.479672146,979,197,38,100,99,1,6576,6541,35,24,24,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,365,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,277,20,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
1,4,0,4,0,0,0,3,6,1,1,1,0.0,33,170,9,4,3,1,119,110,9,2,1,1,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,236,2,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
3,224,0,224,3,0,3,1,1,0,1,1,1.574773933,0,11,1,34,0,34,1223,0,1223,6,0,6,1,99.90062935,NoArch
4,60,34,26,0,0,0,6,31,350,1,3,1.513765038,783,75,20,41,41,0,3860,3761,99,20,20,0,1,100.0,NoArch
10,92,5,87,0,0,0,6,13,1168,1,3,2.637270476,913,2,0,101,101,0,4308,4308,0,62,62,0,0,100.0,NoArch
11,781,0,781,11,0,11,1,1,0,1,3,3.133254403,0,165,9,54,0,54,3672,0,3672,25,0,25,1,99.15340332,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,312,55,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
1,1,1,0,0,0,0,1,1,0,1,1,0.0,73,102,1,5,5,0,338,338,0,5,5,0,0,98.24164345,NoArch
1,60,19,41,0,0,0,2,11,89,1,1,0.0,222,209,0,15,14,1,2139,1994,145,5,5,0,1,100.0,NoArch
1,1,1,0,0,0,0,1,2,456,1,1,0.0,344,928,3,53,53,0,1407,1407,0,18,18,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,306,50,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
2,21,7,14,0,0,0,4,15,80,1,1,0.940285959,429,404,13,39,37,2,2714,2601,113,24,23,1,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,24,21,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,63,3,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,271,17,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
12,210,216,6,0,0,0,2,39,7,2,9,2.28434439,3334,68,6,346,345,1,20266,20174,92,135,135,0,1,98.89118587,NoArch
1,25,25,0,0,0,0,2,8,209,1,1,0.0,235,327,10,31,31,0,1620,1620,0,10,10,0,0,100.0,NoArch
4,13,13,0,0,0,0,2,5,565,3,3,1.290120853,440,128,8,38,38,0,3070,3067,3,14,14,0,1,100.0,NoArch
1,1,1,0,0,0,0,2,4,45,1,1,0.0,267,27,3,28,28,0,1111,1111,0,12,12,0,0,100.0,NoArch
1,2,1,1,0,0,0,2,20,0,1,1,0.0,108,629,2,20,20,0,676,676,0,5,5,0,0,100.0,NoArch
3,7,3,4,0,0,0,4,19,1268,1,2,1.370950594,330,470,0,16,16,0,2023,1966,57,8,8,0,1,100.0,NoArch
49,206,436,230,0,1,1,1,30,129,4,33,4.254135222,6926,783,9,648,671,23,32150,32921,771,305,311,6,0,99.55830389,NoArch
1,3,1,2,0,0,0,2,5,1113,1,1,0.0,58,935,0,6,6,0,221,212,9,5,5,0,0,100.0,NoArch
1,1,1,0,0,0,0,2,7,4,1,1,0.0,58,165,4,5,5,0,256,257,1,4,4,0,1,100.0,NoArch
1,1,2,1,0,0,0,4,25,170,1,1,0.0,329,348,0,22,22,0,1656,1661,5,9,9,0,1,100.0,NoArch
1,1,1,0,0,0,0,4,16,9,1,1,0.0,397,178,7,0,0,0,361,359,2,0,0,0,0,100.0,NoArch
1,11,2,9,0,0,0,3,3,8,1,1,0.0,435,0,0,87,85,2,2766,2722,44,33,33,0,1,100.0,NoArch
1,0,1,1,0,0,0,5,14,0,1,1,0.0,1066,33,18,204,204,0,5020,5027,7,42,42,0,0,100.0,NoArch
5,1011,0,1011,5,0,5,1,3,105,2,2,2.122844809,0,52,33,110,0,110,5124,0,5124,49,0,49,1,99.64614296,NoArch
2,31,15,16,0,0,0,2,7,35,1,2,0.713146749,311,25,5,46,40,6,1979,1835,144,16,14,2,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,167,6,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
6,13,17,4,0,0,0,2,7,18,1,5,2.160964047,407,259,8,30,29,1,2143,2189,46,14,13,1,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,18,4,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
1,0,5,5,0,0,0,5,10,120,1,1,0.0,244,125,20,33,34,1,1599,1639,40,15,16,1,0,100.0,NoArch
12,277,397,120,0,1,1,1,51,7,3,11,2.582390072,3015,70,8,228,230,2,20090,20582,492,74,77,3,1,99.01563405,NoArch
1,25,25,0,0,0,0,2,8,209,1,1,0.0,235,327,10,31,31,0,1620,1620,0,10,10,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,304,48,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
9,575,0,575,9,0,9,1,1,0,1,2,2.941528113,0,26,0,43,0,43,2698,0,2698,26,0,26,1,98.90722569,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,274,18,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
1,3,1,2,0,0,0,3,7,216,1,1,0.0,427,911,0,44,44,0,3215,3200,15,18,18,0,1,100.0,NoArch
5,10,13,3,0,0,0,7,57,29,1,5,2.261996198,863,411,20,45,45,0,4646,4694,48,23,23,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,77,22,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
10,13,13,0,0,0,0,2,20,6,2,8,3.085055103,1438,454,15,88,88,0,8251,8296,45,48,48,0,1,99.91586033,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,57,18,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
9,349,288,61,0,0,0,3,13,99,1,6,2.614183344,1210,47,30,96,96,0,7099,6740,359,40,43,3,0,99.75935244,NoArch
5,1011,0,1011,5,0,5,1,3,105,2,2,2.122844809,0,52,33,110,0,110,5124,0,5124,49,0,49,1,99.64614296,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,367,26,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
3,22,4,18,0,0,0,3,22,309,1,2,1.300194643,674,864,10,59,54,5,4308,4187,121,27,26,1,1,100.0,NoArch
1,1,5,4,0,0,0,2,4,53,1,1,0.0,470,353,30,111,113,2,3450,3486,36,47,47,0,0,100.0,NoArch
2,78,42,36,0,0,0,2,4,33,1,2,0.783776947,179,117,43,20,17,3,1159,836,323,5,6,1,0,99.8844376,NoArch
19,80,90,10,0,0,0,4,26,70,2,14,3.715461756,3084,334,25,171,171,0,20246,20424,178,73,73,0,0,100.0,NoArch
1,1,1,0,0,0,0,3,3,145,1,1,0.0,132,961,1,11,11,0,989,989,0,5,5,0,0,100.0,NoArch
1,3,3,0,0,0,0,1,2,46,1,1,0.0,149,440,6,12,12,0,1031,1031,0,3,3,0,0,100.0,NoArch
88,236,236,0,2,0,2,6,105,913,4,54,6.005258699,20630,136,26,2217,2229,12,121319,121256,63,809,816,7,0,99.93957704,NoArch
3,95,7,88,0,0,0,2,29,289,1,3,1.562564004,672,16,5,64,57,7,4502,4046,456,38,34,4,1,100.0,NoArch
3,172,3,169,2,0,2,1,8,169,1,2,1.181138723,95,679,7,24,13,11,1263,332,931,19,11,8,1,99.9204244,NoArch
1,12,14,2,0,0,0,3,6,86,1,1,0.0,73,113,18,6,6,0,289,290,1,2,2,0,0,100.0,NoArch
3,131,149,18,0,0,0,4,38,31,1,3,0.977616046,711,76,4,67,69,2,4136,4346,210,44,41,3,2,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,31,3,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
11,25,41,16,0,0,0,4,18,3,2,5,2.720322838,2356,29,2,224,226,2,11190,11288,98,88,89,1,1,100.0,NoArch
7,50,16,34,0,0,0,2,31,204,1,4,2.613104743,1354,575,6,146,144,2,5336,5310,26,73,71,2,0,100.0,NoArch
1,94,79,15,0,0,0,1,1,0,1,1,0.0,236,52,35,31,31,0,1671,1623,48,9,10,1,0,99.86801584,NoArch
1,1,1,0,0,0,0,5,43,0,1,1,0.0,230,133,26,14,14,0,1398,1398,0,5,5,0,0,100.0,NoArch
155,5864,5079,785,0,0,0,2,52,284,1,29,6.74937024,20152,60,43,2379,2379,0,89575,88456,1119,1125,1125,0,1,100.0,NoArch
107,4764,628,4136,38,0,38,2,23,147,2,36,5.76508068,11410,154,16,1893,1515,378,85749,63394,22355,887,686,201,0,95.65813528,Arch
3,46,53,7,0,0,0,1,13,318,1,1,1.58190828,641,154,5,100,104,4,3338,3379,41,29,29,0,0,97.54428341,Arch
2,19,8,11,0,0,0,4,15,0,1,2,0.691289869,739,29,5,108,104,4,4536,4575,39,49,49,0,1,96.73873214,Arch
4,248,29,219,0,0,0,4,25,5,1,2,1.712829246,592,198,39,50,38,12,5768,3585,2183,17,17,0,1,96.7765043,Arch
6,257,115,142,1,0,1,4,27,8,1,4,1.41857529,1283,205,42,133,122,11,9336,7993,1343,28,30,2,0,97.55914382,Arch
6,358,60,298,3,0,3,1,26,1,1,4,2.240430732,1336,196,17,160,142,18,7278,6170,1108,80,67,13,0,97.00920245,Arch
102,987,1704,717,0,5,5,2,36,83,3,32,6.082503724,14548,205,10,1561,1646,85,72116,76386,4270,753,794,41,2,97.60940032,Arch
142,3325,3641,316,6,9,15,2,37,20,3,36,6.181474429,17680,208,4,1994,2022,28,86813,89759,2946,999,1000,1,0,95.94813614,Arch
63,2944,1529,1415,23,9,32,3,19,40,2,18,5.377473062,4361,0,0,472,323,149,30750,22926,7824,203,125,78,1,94.10929737,Arch
68,208,269,61,0,1,1,2,25,65,3,29,4.616001518,11724,237,10,1500,1515,15,61076,61237,161,678,683,5,1,96.85512367,Arch
1,90,25,65,0,0,0,3,10,209,1,1,0.0,95,3,1,6,6,0,1323,426,897,3,4,1,1,97.58897819,Arch
89,174,155,19,0,0,0,2,34,78,3,36,6.084268011,13228,243,8,1286,1286,0,75057,75040,17,522,522,0,1,93.70574351,Arch
1,1,1,0,0,0,0,3,7,0,1,1,0.0,260,6,4,13,13,0,1818,1818,0,7,7,0,1,97.2027972,Arch
44,5294,0,5294,44,0,44,1,1,0,2,13,5.100242017,0,0,0,522,0,522,21665,0,21665,222,0,222,1,96.45365169,Arch
30,5494,0,5494,30,0,30,1,1,0,2,6,4.793520318,0,2,2,374,0,374,27054,0,27054,175,0,175,1,97.03776042,Arch
4,159,21,138,0,0,0,1,11,157,1,2,1.688327013,371,11,2,25,19,6,3315,2055,1260,16,16,0,1,97.62137504,Arch
