CommitID,FileNum,TotalAddLines,TotalDeleteLines,FileName,AddLines,DeleteLines,CodeLines,FileAdd,FileDelete,NDVE,NUC,AGE,NS,ND,Entropy ,LT,EXP,REXP
,,,,tez-api/src/main/java/org/apache/tez/dag/api/DAG.java,11,6,611,,,,,,,,,,,
,,,,tez-api/src/main/java/org/apache/tez/dag/api/TezConfiguration.java,11,0,371,,,,,,,,,,,
,,,,tez-dag/src/main/java/org/apache/tez/dag/app/DAGAppMaster.java,6,2,1657,,,,,,,,,,,
,,,,tez-dag/src/main/java/org/apache/tez/dag/app/dag/Task.java,0,2,85,,,,,,,,,,,
,,,,tez-dag/src/main/java/org/apache/tez/dag/app/dag/impl/TaskAttemptImpl.java,3,1,1508,,,,,,,,,,,
,,,,tez-dag/src/main/java/org/apache/tez/dag/app/dag/impl/TaskImpl.java,0,12,1254,,,,,,,,,,,
,,,,tez-dag/src/main/java/org/apache/tez/dag/app/dag/impl/VertexImpl.java,27,35,2446,,,,,,,,,,,
,,,,tez-dag/src/main/java/org/apache/tez/dag/app/rm/TaskScheduler.java,2,1,1755,,,,,,,,,,,
,,,,tez-dag/src/main/java/org/apache/tez/dag/app/rm/node/AMNodeImpl.java,1,1,449,,,,,,,,,,,
,,,,tez-dag/src/test/java/org/apache/tez/dag/app/dag/impl/TestVertexImpl.java,42,0,2359,,,,,,,,,,,
,,,,tez-dag/src/test/java/org/apache/tez/dag/app/rm/TestContainerReuse.java,1,1,937,,,,,,,,,,,
,,,,tez-dag/src/test/java/org/apache/tez/dag/app/rm/TestTaskScheduler.java,21,14,1248,,,,,,,,,,,
,,,,tez-dag/src/test/java/org/apache/tez/dag/app/rm/TestTaskSchedulerHelpers.java,4,1,364,,,,,,,,,,,
,,,,tez-dag/src/test/java/org/apache/tez/dag/app/rm/node/TestAMNodeMap.java,11,10,236,,,,,,,,,,,
,,,,tez-mapreduce/src/main/java/org/apache/tez/mapreduce/committer/MROutputCommitter.java,3,0,181,,,,,,,,,,,
,,,,tez-mapreduce/src/main/java/org/apache/tez/mapreduce/common/MRInputAMSplitGenerator.java,9,5,198,,,,,,,,,,,
,,,,tez-mapreduce/src/main/java/org/apache/tez/mapreduce/input/MRInput.java,3,0,581,,,,,,,,,,,
,,,,tez-mapreduce/src/main/java/org/apache/tez/mapreduce/output/MROutput.java,3,0,362,,,,,,,,,,,
,,,,tez-mapreduce/src/test/java/org/apache/tez/mapreduce/processor/MapUtils.java,2,2,226,,,,,,,,,,,
