CommitID,NMF, TotalAddLines , TotalDeleteLines ,LC,LC_1, FileAdd , FileDelete ,NAD, NUC, AGE, NMS, NMD, Entropy ,MLMF,NDVE,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,NIR,a2a,Tag
eb3b1bbd9c5c1648af42eca6ab33d3db80ea88d7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,14,0,0,0,0,0,0,0,0,0,0,100,NoArch
86d3ba82a52c921bcf820f580405e06fd3d797cd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,15,0,0,0,0,0,0,0,0,0,1,100,NoArch
86c74fb4b57813378fe2fd71d44dc1f8f7a28056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,16,0,0,0,0,0,0,0,0,0,1,100,NoArch
751a179769ed29c686558cd618a7934754b6691f,4,70,19,51,89,0,0,0,10,106,1,2,1.53554765,485,1,76,10,106,95,11,3294,2991,303,30,26,4,1,93.77682403,Arch
e6715a6d0792cca5fb0fd6961d565fa869795433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,9,0,0,0,0,0,0,0,0,0,1,100,NoArch
e2e7fd906abe882be5d9ffa6f8ce0ef9025f7107,1,1,1,0,2,0,0,0,16,57,1,1,0,462,1,78,7,129,129,0,2864,2863,1,30,30,0,1,100,NoArch
0039f146bd31549fee2b80119a3c977a5072a5d5,24,2740,2362,378,5102,10,4,14,17,32,1,6,4.080698285,4615,1,79,7,793,733,60,23546,23257,289,310,278,32,1,93.46642468,Arch
f352f56536e1855bdb97208b23f65c659eed3b69,61,127,61,66,188,0,0,0,18,101,1,9,5.29439242,9223,1,80,7,1517,1517,0,44391,44397,6,660,660,0,1,92.90187891,Arch
f03f432cc7d71b7969d56f9dc17ca264a3771650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,5,0,0,0,0,0,0,0,0,0,1,100,NoArch
2034a4ee5bc4fd9623797590e1dbb411e4848787,15,302,326,24,628,1,3,4,18,110,1,3,3.201329052,2777,1,82,6,334,336,2,15831,15966,135,132,135,3,1,97.59358289,Arch
eeb1023f9630a576bf8ea2d5b0e485f565e90e42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,6,0,0,0,0,0,0,0,0,0,2,100,NoArch
62806bad9162f22afe69f01e97ea96321d83710a,12,657,16,641,673,6,0,6,14,0,1,4,3.017296424,871,1,84,7,138,82,56,7688,5144,2544,85,47,38,1,96.40102828,Arch
127800a158ce6d6af08e5b32e01e153ade03d474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,8,0,0,0,0,0,0,0,0,0,1,100,NoArch
79d571847ca673a23733377fdfd9a489017c499c,8,19,10,9,29,0,0,0,12,39,1,3,2.846301808,445,1,86,3,45,45,0,1651,1651,0,35,35,0,2,100,NoArch
a02c72575832bd9a451bd6d8fed62c7818eac611,1,12,1,11,13,0,0,0,14,45,1,1,0,270,1,87,4,72,66,6,1882,1820,62,16,15,1,1,100,NoArch
e1d53e342f55f7ee51b8f4b04fc03aaa287712dd,6,70,47,23,117,0,0,0,19,60,1,4,2.022012759,2090,1,88,2,435,438,3,11982,11818,164,194,199,5,1,100,NoArch
f736dfd4dd6089d9323cf7290ca7852c9dd045cd,6,234,5,229,239,3,0,3,13,26,1,4,1.802370874,515,1,89,3,111,90,21,3720,2604,1116,66,49,17,1,93.99538106,Arch
73b69bc59c61294a6689b695342e7f9d6b48db90,2,168,0,168,168,1,0,1,4,31,1,2,0.193196413,623,1,90,4,92,88,4,3682,2734,948,37,33,4,1,98.72881356,NoArch
b9821a460520ea9c7f5bcc6cb35a33c725295f44,3,87,2,85,89,1,0,1,5,42,1,2,0.309461189,581,1,91,5,57,51,6,1808,1427,381,32,30,2,1,99.59016393,NoArch
c529c6d5821d89bfb3f37e2c6bb0ec9b83635899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,6,0,0,0,0,0,0,0,0,0,1,100,NoArch
a84db2bc15c8876d40993d29adfe22f8aa9601cd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,7,0,0,0,0,0,0,0,0,0,1,100,NoArch
a1ea81add49b8684f979988f342193a547795fb0,1,8,1,7,9,0,0,0,15,17,1,1,0,281,1,94,8,75,72,3,1964,1882,82,16,16,0,1,100,NoArch
710e2379a2ef1c5c4d2cf6ada9e0dc49795f5c86,2,30,2,28,32,0,0,0,2,8,1,1,1,68,1,95,9,12,12,0,238,238,0,10,10,0,2,100,NoArch
97a5793f050400d38b07d4fbab0539809ce579ff,8,206,43,163,249,0,0,0,14,48,1,3,2.517193933,904,1,96,10,167,146,21,6056,5124,932,71,54,17,1,100,NoArch
acba0fcdc047d14f0a28a88aec0a9b8b0cf524f8,2,4,1,3,5,0,0,0,19,58,1,1,0.721928095,1046,1,97,9,267,265,2,6445,6416,29,131,131,0,1,100,NoArch
f49a465349ae11ffccfffb1ed0693363a8b28a87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,10,0,0,0,0,0,0,0,0,0,1,100,NoArch
b062afaea6c4534bea3e2ec1387afb549da72570,2,350,0,350,350,2,0,2,1,0,1,2,0.994693795,0,1,99,11,74,0,74,2409,0,2409,23,0,23,1,96.7462039,Arch
490d0c72dc345c4683e9099e8f2b5244cffb868a,23,427,184,243,611,2,0,2,20,55,1,6,3.433059815,3366,1,100,5,725,685,40,21578,20064,1514,254,232,22,2,98.39449541,NoArch
c454652c1cd491976b894dc293856c8f73495725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,6,0,0,0,0,0,0,0,0,0,1,100,NoArch
b43975aa1e773cd471f5771d7c7faac7a0f73a7c,5,150,107,43,257,0,0,0,20,4,1,5,1.494220774,1600,1,102,7,434,430,4,10975,10655,320,178,171,7,1,100,NoArch
7d83e93e0d50487125d747265d2aa325cdce029d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,8,0,0,0,0,0,0,0,0,0,1,100,NoArch
604f27bc286f17bb8b43c25c1aa3302882c80395,2,34,0,34,34,0,0,0,3,112,1,2,1,156,1,104,9,12,12,0,708,708,0,9,9,0,0,100,NoArch
d8d90987da6300e3c0a8741dfedc8109fee49da2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,10,0,0,0,0,0,0,0,0,0,0,100,NoArch
14c0ae1564cd6a067abb735c3b4f09ddf200910a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,9,0,0,0,0,0,0,0,0,0,1,100,NoArch
1dbb683d17f571213a8367d8e1306019063325d3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,8,0,0,0,0,0,0,0,0,0,1,100,NoArch
e6994922462bdae76cceebdd19515a76f15497bf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,8,0,0,0,0,0,0,0,0,0,0,100,NoArch
12b51f98003fb0af5966eb6710a8270d69dd7ee3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArch
