@relation 'FinalSampleData_test-weka.filters.unsupervised.attribute.Remove-R1-8,10-26,28'

@attribute ' NUC' numeric
@attribute a2a numeric

@data
698,94.043528
698,94.043528
698,93.971767
698,94.033549
698,94.033549
49,96.496159
9,96.1395
698,93.262012
699,93.262012
698,93.262012
699,93.262012
698,93.205706
699,93.262012
698,93.262012
699,93.262012
698,93.262012
699,93.262012
698,93.262012
699,93.262012
698,93.262012
699,93.262012
699,93.262012
700,93.262012
700,93.262012
701,93.262012
700,93.262012
701,93.262012
700,93.262012
701,93.262012
700,93.262012
702,93.13192
700,92.715356
703,92.715356
700,93.205706
703,92.715356
710,87.581815
703,87.723333
700,92.70619
703,92.70619
700,92.70619
703,92.70619
710,87.915194
703,87.915194
700,92.70619
703,92.70619
700,92.70619
703,92.70619
700,92.70619
710,80.329691
703,87.915194
700,92.70619
710,80.329691
703,87.915194
700,92.70619
703,92.70619
700,92.70619
710,80.267807
703,87.903512
700,92.70619
703,92.70619
710,87.903512
706,87.617694
700,92.70619
703,92.70619
700,92.70619
703,92.70619
710,87.808779
705,87.808779
701,92.711643
710,80.208722
705,85.980479
714,87.848641
705,87.687953
702,92.711643
714,80.582344
705,87.687953
702,92.711643
714,80.582344
705,87.687953
702,92.711643
714,80.582344
705,87.687953
702,92.711643
705,92.711643
702,92.711643
706,92.546236
714,87.466855
705,87.687953
716,87.687953
709,87.466855
722,87.705352
711,87.674378
702,92.533134
711,92.533134
702,92.4986
712,92.4986
703,92.4986
714,92.4986
705,92.4986
714,92.4986
705,92.4986
714,92.4986
705,92.4986
715,92.4986
706,92.4986
714,92.4986
706,92.4986
715,92.4986
706,92.4986
715,92.4986
706,92.079955
715,92.079955
706,92.079955
715,92.079955
706,92.079955
727,79.738073
715,87.649965
705,92.478537
716,92.478537
707,92.079955
717,92.203201
312,92.043741
717,92.079955
710,92.079955
717,92.079955
710,92.079955
717,92.079955
710,92.079955
717,92.079955
710,92.079955
730,79.738073
717,87.649965
730,87.649965
717,87.649965
730,87.649965
717,87.649965
730,87.649965
717,87.619048
710,92.079955
730,79.708248
717,86.935825
730,86.935825
717,86.935825
710,91.784971
730,79.109781
717,87.274336
730,87.274336
717,87.274336
710,91.784971
730,79.109781
717,87.274336
710,91.784971
730,79.109781
710,79.109781
730,79.109781
717,87.274336
730,86.419972
717,84.578612
730,84.578612
717,84.578612
730,84.578612
717,84.50779
730,84.50779
710,75.687382
730,75.687382
710,75.712423
731,75.712423
4,100
2,100
7,100
0,100
23,100
9,100
16,100
6,100
36,100
3,100
2,99.843014
28,100
0,100
6,98.850575
21,100
0,100
0,100
6,100
0,100
0,100
8,100
0,100
0,100
64,99.918434
0,100
0,100
13,100
0,100
55,100
50,100
2,100
35,100
13,99.793483
0,100
0,100
21,100
0,100
12,100
41,100
12,100
13,100
43,100
0,100
2,98.940678
0,100
20,100
0,100
3,100
0,100
0,100
69,99.850299
11,98.065984
9,99.44645
0,100
0,100
58,100
2,100
9,99.608227
71,98.524649
0,100
45,100
0,100
41,99.852941
29,100
16,100
0,100
0,100
0,100
0,100
6,99.697885
21,100
32,100
2,100
16,100
0,100
0,100
34,100
0,100
21,100
0,100
0,100
0,100
42,100
9,100
0,100
0,100
0,100
0,100
76,100
0,100
0,100
0,100
9,99.943052
83,100
0,100
0,100
0,100
0,100
0,100
0,100
8,98.139256
69,100
0,100
34,100
3,100
0,100
0,100
0,100
0,100
5,100
0,100
4,100
0,100
0,100
29,100
32,100
44,99.915541
0,100
0,100
0,100
77,100
0,100
0,100
57,98.664122
55,100
0,100
36,100
32,100
42,100
3,100
0,100
22,100
0,100
0,100
4,100
0,100
0,100
0,100
2,99.617737
34,100
43,100
0,100
5,100
0,100
0,100
0,100
24,100
0,100
10,99.728261
0,100
0,100
0,100
3,100
64,100
0,100
7,100
0,100
28,100
0,100
20,100
71,100
0,100
0,100
8,100
0,100
9,100
0,100
0,100
7,100
0,100
54,100
0,100
0,100
0,100
0,100
0,100
56,100
0,100
5,100
0,100
0,100
0,100
28,100
1,98.635123
0,100
37,100
62,100
0,100
11,100
36,100
0,100
0,100
41,100
5,100
15,100
2,100
4,100
79,100
0,100
3,99.947424
2,100
13,100
3,100
47,100
0,100
12,100
0,100
0,100
64,99.869622
20,100
5,100
0,100
0,100
0,100
0,100
0,100
0,100
4,98.991935
6,100
0,100
0,100
37,99.838319
0,100
0,100
0,100
2,100
0,100
6,100
4,100
0,100
0,100
0,100
0,100
2,100
0,100
24,98.375242
31,100
0,100
0,100
22,100
12,99.975586
47,100
13,100
13,100
0,100
20,100
0,100
0,100
3,100
0,100
68,86.807611
63,86.807611
69,86.807611
63,86.807611
69,86.807611
63,86.807611
70,86.807611
63,86.807611
70,86.807611
63,86.807611
70,86.807611
63,86.807611
70,86.280358
63,86.206897
70,86.12766
64,86.12766
70,86.12766
64,86.12766
70,86.12766
64,86.12766
70,86.12766
64,86.12766
70,86.12766
64,86.12766
70,85.835454
64,86.046512
70,86.046512
64,86.046512
70,86.046512
89,91.555243
90,93.822526
68,97.388579
60,95.670996
109,97.435105
4,97.432905
1,88.80814
1,96.160558
1,38.875306
2,97.204659
1,68.274278
37,96.998828
9,82.60208
38,82.556962
9,82.65692
38,82.65692
9,82.65692
38,83.253709
9,83.253709
38,83.253709
9,83.253709
38,83.253709
9,83.253709
39,84.767866
9,84.767866
39,84.767866
9,84.767866
39,84.707724
9,84.639498
39,84.639498
9,84.639498
39,81.65038
9,81.687466
39,81.687466
9,82.094684
39,82.094684
9,82.094684
39,82.094684
9,82.094684
39,82.094684
9,82.094684
39,82.133404
9,82.133404
39,82.133404
9,82.133404
39,82.133404
9,82.133404
39,82.133404
9,82.133404
39,82.133404
9,82.133404
39,82.133404
32,96.548395
9,80.953589
39,80.953589
9,80.953589
7,96.615905
8,96.615905
42,89.075829
45,89.304307
42,89.304307
45,89.085337
42,89.085337
45,89.085337
42,89.085337
45,89.085337
42,89.085337
45,89.085337
36,97.754454
42,88.954729
46,88.891521
42,88.891521
47,88.891521
42,88.891521
47,88.849432
43,88.734058
50,88.734058
43,88.734058
50,88.70283
52,96.970387
44,88.291279
53,87.907489
44,87.907489
53,87.907489
44,87.907489
54,87.907489
44,87.907489
54,87.907489
44,87.907489
54,87.907489
44,87.86878
54,87.86878
44,87.86878
54,87.86878
44,87.86878
54,87.86878
44,87.86878
54,87.86878
55,89.631285
44,84.924506
55,84.924506
44,84.924506
55,84.924506
44,84.924506
56,84.924506
44,84.924506
57,85.054477
45,85.054477
57,85.054477
45,85.054477
57,85.054477
45,85.054477
57,85.054477
45,85.054477
57,85.054477
45,85.054477
55,89.631285
58,93.925348
56,93.925348
59,93.925348
57,93.925348
59,93.925348
57,93.925348
59,93.925348
57,93.925348
59,93.925348
57,93.925348
59,93.925348
57,93.925348
59,93.925348
57,93.925348
59,93.925348
57,93.925348
59,93.925348
57,93.925348
59,93.925348
57,93.925348
59,93.925348
57,93.925348
59,93.876555
57,93.962356
59,93.962356
57,93.962356
59,93.962356
57,93.868371
59,93.868371
57,93.868371
59,93.868371
57,93.868371
59,93.800284
57,93.874172
59,93.874172
57,93.874172
60,93.874172
57,93.874172
60,93.874172
57,93.874172
60,93.874172
57,93.874172
60,93.874172
57,93.874172
60,93.826869
57,93.874172
60,93.874172
4,97.760041
58,94.165863
61,94.165863
58,94.165863
63,94.165863
58,94.165863
63,94.165863
58,94.117647
64,94.117647
58,94.093539
64,94.093539
58,94.093539
65,90.253411
58,90.253411
65,90.253411
58,90.253411
65,90.253411
58,90.253411
65,90.253411
58,90.253411
65,90.253411
58,90.253411
65,90.253411
58,90.253411
65,90.253411
58,90.253411
65,90.253411
12,97.970639
58,89.860217
65,89.860217
58,89.860217
65,89.860217
58,89.860217
65,89.83803
58,89.860217
65,89.860217
58,89.860217
65,89.860217
58,89.860217
65,89.860217
58,89.824873
65,89.824873
58,89.824873
65,89.824873
58,89.824873
65,89.824873
58,89.824873
65,89.600887
58,89.600887
65,89.600887
58,89.600887
65,89.553234
58,89.553234
65,89.553234
58,89.242054
65,89.242054
58,89.242054
