@relation 'FinalSampleData_test-weka.filters.unsupervised.attribute.Remove-R1-12,14-26,28'

@attribute ' Entropy ' numeric
@attribute a2a numeric

@data
0,100
0,100
0.993234,99.872774
0,100
0,100
0.872724,99.768161
0,100
0.12395,100
2.109653,100
0,100
0,99.43958
0,100
0,100
0,100
0,100
0.72128,99.776885
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,99.84985
0,100
2.895,99.610558
0,100
0.681291,99.815055
0,100
0,100
1.918899,99.857296
0,100
0.143726,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
1.675822,100
0,100
1.870136,99.715909
0,100
0,100
0,100
0.969204,100
0.791066,99.776119
0.754186,99.964552
0,100
0,100
0.141441,100
0,100
0,100
0.764205,100
0,100
0,100
0.549483,100
0.98806,100
0,100
0,100
0,100
3.11214,99.686083
0.362051,100
0,100
0,100
0,99.011299
0,100
0,100
0,100
0,100
0,100
0,100
0.347706,99.830795
2.144669,98.500914
0,100
0,100
0.924291,100
0,100
0.985228,100
3.66309,99.889527
0,100
0,100
0,100
0,100
0,100
1,100
0,100
0,100
1.254137,100
0,100
0.970951,100
3.98033,98.997326
2.185894,99.543379
0,100
0,100
0.995939,100
0,100
0,100
0,100
2.476155,100
0,99.980119
1.822674,98.968254
0,100
0,100
1.072691,99.426386
0,100
0.639457,100
0,100
0,100
0,100
1,99.86532
0,100
0,100
0,100
0,100
0,100
0.552495,100
0,100
1.846439,100
0,100
0,100
1.027084,100
2.869871,99.623803
0,100
0,100
0.784992,100
0,100
0,100
0,100
0,100
0.200622,98.944989
0,100
0,99.885123
0,100
0.619382,100
0,100
0,100
0,99.873897
0,100
0.94566,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0.117595,100
0,100
2.602239,99.775449
0,100
4.818685,94.043528
4.82085,94.043528
4.818685,94.043528
4.819403,94.043528
4.818685,94.043528
4.827543,94.043528
4.818685,94.043528
4.818267,94.043528
4.828354,94.043528
4.843884,94.043528
4.829153,94.043528
4.828737,94.043528
4.829153,94.043528
4.828737,94.043528
4.829153,94.043528
4.831313,94.043528
4.832715,94.043528
4.831133,94.043528
4.831548,94.043528
4.873514,93.971767
4.831548,94.033549
4.831133,94.033549
1.804818,96.496159
0.520738,96.1395
5.458067,93.262012
5.458015,93.262012
5.456735,93.262012
5.462865,93.262012
6.095662,93.205706
5.520691,93.262012
5.517786,93.262012
5.525687,93.262012
5.525736,93.262012
5.525631,93.262012
5.525682,93.262012
5.526716,93.262012
5.539234,93.262012
5.537292,93.262012
5.544659,93.262012
5.526913,93.262012
5.527897,93.262012
5.526913,93.262012
5.526964,93.262012
5.526913,93.262012
5.526964,93.262012
5.528839,93.262012
5.526964,93.262012
4.919961,93.13192
4.669178,92.715356
4.670684,92.715356
6.149658,93.205706
4.670197,92.715356
5.813553,87.581815
4.930992,87.723333
4.675551,92.70619
4.675526,92.70619
4.675551,92.70619
4.675526,92.70619
4.907052,87.915194
4.898422,87.915194
4.675551,92.70619
4.677387,92.70619
4.675551,92.70619
4.675526,92.70619
4.675551,92.70619
6.399956,80.329691
4.904637,87.915194
4.675551,92.70619
6.399451,80.329691
4.902476,87.915194
4.675551,92.70619
4.678239,92.70619
4.675551,92.70619
6.447,80.267807
4.922633,87.903512
4.675551,92.70619
4.673424,92.70619
4.930884,87.903512
6.325642,87.617694
4.672992,92.70619
4.672967,92.70619
4.676046,92.70619
4.676022,92.70619
6.557529,87.808779
6.559422,87.808779
4.677834,92.711643
6.521942,80.208722
6.410139,85.980479
6.414345,87.848641
6.433117,87.687953
4.675816,92.711643
6.569851,80.582344
6.489471,87.687953
4.675816,92.711643
6.605159,80.582344
6.489471,87.687953
4.755911,92.711643
6.600223,80.582344
6.43193,87.687953
4.755911,92.711643
4.755887,92.711643
4.761518,92.711643
5.299428,92.546236
6.805196,87.466855
6.409848,87.687953
6.409396,87.687953
6.819066,87.466855
6.404477,87.705352
6.417699,87.674378
5.30651,92.533134
5.305383,92.533134
5.327069,92.4986
5.324103,92.4986
5.31306,92.4986
5.294797,92.4986
5.288663,92.4986
5.318662,92.4986
5.288663,92.4986
5.290712,92.4986
5.288663,92.4986
5.282075,92.4986
5.288663,92.4986
5.300174,92.4986
5.305094,92.4986
5.289938,92.4986
5.289056,92.4986
5.291054,92.4986
5.290684,92.079955
5.291565,92.079955
5.290684,92.079955
5.292731,92.079955
5.290684,92.079955
6.790091,79.738073
6.410796,87.649965
5.331592,92.478537
5.324752,92.478537
5.22593,92.079955
4.991916,92.203201
5.932706,92.043741
5.254183,92.079955
5.253297,92.079955
5.254183,92.079955
5.253297,92.079955
5.271264,92.079955
5.270389,92.079955
5.271373,92.079955
5.271601,92.079955
6.77569,79.738073
6.404477,87.649965
6.404477,87.649965
6.404477,87.649965
6.404477,87.649965
6.407831,87.649965
6.404477,87.649965
5.719852,87.619048
5.270108,92.079955
6.778649,79.708248
6.517267,86.935825
6.526519,86.935825
6.538164,86.935825
5.276249,91.784971
6.811392,79.109781
6.513958,87.274336
6.513958,87.274336
6.532689,87.274336
5.280879,91.784971
6.840117,79.109781
6.538647,87.274336
5.281509,91.784971
6.841018,79.109781
6.840073,79.109781
6.841045,79.109781
6.525024,87.274336
6.573959,86.419972
6.882381,84.578612
6.882381,84.578612
6.882381,84.578612
6.880178,84.578612
6.918538,84.50779
6.917211,84.50779
7.049658,75.687382
7.048912,75.687382
7.045505,75.712423
7.04597,75.712423
0.985228,100
0,100
0.949452,100
0,100
0,100
0,100
1.138594,100
0,100
0,100
1.520375,100
1.28755,99.843014
1.5,100
0,100
2.647724,98.850575
0,100
0,100
0,100
0.37602,100
0,100
0,100
0,100
0,100
0,100
0.721928,99.918434
0,100
0,100
0.66876,100
0,100
2,100
0.509335,100
0,100
1,100
2.582565,99.793483
0,100
0,100
0,100
0,100
0,100
0,100
0,100
