@relation 'FinalSampleData_test-weka.filters.unsupervised.attribute.Remove-R1-11,13-26,28'

@attribute ' NMD' numeric
@attribute a2a numeric

@data
46,94.043528
44,94.043528
46,93.971767
44,94.033549
46,94.033549
2,96.496159
1,96.1395
47,93.262012
50,93.262012
47,93.262012
50,93.262012
55,93.205706
50,93.262012
47,93.262012
50,93.262012
47,93.262012
50,93.262012
47,93.262012
50,93.262012
47,93.262012
50,93.262012
47,93.262012
50,93.262012
47,93.262012
50,93.262012
47,93.262012
50,93.262012
47,93.262012
50,93.262012
47,93.262012
50,93.13192
54,92.715356
57,92.715356
56,93.205706
57,92.715356
69,87.581815
47,87.723333
54,92.70619
57,92.70619
54,92.70619
57,92.70619
51,87.915194
44,87.915194
54,92.70619
58,92.70619
54,92.70619
57,92.70619
54,92.70619
106,80.329691
44,87.915194
54,92.70619
106,80.329691
44,87.915194
54,92.70619
58,92.70619
54,92.70619
107,80.267807
44,87.903512
54,92.70619
57,92.70619
53,87.903512
80,87.617694
54,92.70619
57,92.70619
54,92.70619
57,92.70619
71,87.808779
69,87.808779
54,92.711643
107,80.208722
66,85.980479
68,87.848641
67,87.687953
54,92.711643
107,80.582344
67,87.687953
54,92.711643
107,80.582344
67,87.687953
55,92.711643
107,80.582344
66,87.687953
55,92.711643
58,92.711643
55,92.711643
65,92.546236
84,87.466855
68,87.687953
69,87.687953
84,87.466855
68,87.705352
67,87.674378
62,92.533134
65,92.533134
62,92.4986
65,92.4986
62,92.4986
65,92.4986
62,92.4986
65,92.4986
62,92.4986
65,92.4986
62,92.4986
65,92.4986
62,92.4986
65,92.4986
62,92.4986
65,92.4986
62,92.4986
65,92.4986
62,92.079955
65,92.079955
62,92.079955
65,92.079955
62,92.079955
112,79.738073
66,87.649965
63,92.478537
66,92.478537
62,92.079955
65,92.203201
62,92.043741
65,92.079955
62,92.079955
65,92.079955
62,92.079955
65,92.079955
62,92.079955
65,92.079955
62,92.079955
112,79.738073
66,87.649965
68,87.649965
66,87.649965
68,87.649965
67,87.649965
68,87.649965
68,87.619048
62,92.079955
112,79.708248
72,86.935825
74,86.935825
72,86.935825
62,91.784971
114,79.109781
72,87.274336
74,87.274336
73,87.274336
63,91.784971
115,79.109781
75,87.274336
63,91.784971
115,79.109781
112,79.109781
115,79.109781
73,87.274336
77,86.419972
80,84.578612
82,84.578612
80,84.578612
81,84.578612
81,84.50779
83,84.50779
117,75.687382
120,75.687382
117,75.712423
120,75.712423
1,100
1,100
2,100
0,100
1,100
1,100
2,100
1,100
1,100
1,100
3,99.843014
2,100
0,100
2,98.850575
1,100
0,100
0,100
2,100
0,100
0,100
1,100
0,100
0,100
2,99.918434
0,100
0,100
3,100
0,100
3,100
2,100
1,100
2,100
2,99.793483
0,100
0,100
1,100
0,100
1,100
1,100
1,100
6,100
1,100
0,100
1,98.940678
0,100
3,100
0,100
3,100
0,100
0,100
5,99.850299
2,98.065984
2,99.44645
0,100
0,100
2,100
1,100
1,99.608227
7,98.524649
0,100
1,100
0,100
1,99.852941
3,100
2,100
0,100
0,100
0,100
0,100
3,99.697885
7,100
2,100
1,100
1,100
0,100
0,100
2,100
0,100
6,100
0,100
0,100
0,100
3,100
1,100
0,100
0,100
0,100
0,100
1,100
0,100
0,100
0,100
2,99.943052
2,100
0,100
0,100
0,100
0,100
0,100
0,100
2,98.139256
1,100
0,100
8,100
2,100
0,100
0,100
0,100
0,100
2,100
0,100
2,100
0,100
0,100
1,100
1,100
3,99.915541
