@relation 'FinalSampleData_test-weka.filters.unsupervised.attribute.Remove-R2-26,28'

@attribute NMF numeric
@attribute a2a numeric

@data
148,94.043528
150,93.971767
148,94.033549
148,94.033549
6,96.496159
2,96.1395
178,93.262012
179,93.262012
179,93.262012
179,93.262012
232,93.205706
182,93.262012
182,93.262012
183,93.262012
183,93.262012
183,93.262012
183,93.262012
184,93.262012
185,93.262012
185,93.262012
185,93.262012
184,93.262012
184,93.262012
184,93.262012
184,93.262012
184,93.262012
184,93.262012
185,93.262012
184,93.262012
187,93.13192
208,92.715356
208,92.715356
237,93.205706
208,92.715356
271,87.581815
202,87.723333
209,92.70619
209,92.70619
209,92.70619
209,92.70619
196,87.915194
196,87.915194
209,92.70619
210,92.70619
209,92.70619
209,92.70619
209,92.70619
451,80.329691
196,87.915194
209,92.70619
451,80.329691
196,87.915194
209,92.70619
210,92.70619
209,92.70619
453,80.267807
197,87.903512
209,92.70619
209,92.70619
200,87.903512
330,87.617694
209,92.70619
209,92.70619
213,92.70619
213,92.70619
268,87.808779
268,87.808779
214,92.711643
459,80.208722
258,85.980479
258,87.848641
259,87.687953
213,92.711643
463,80.582344
261,87.687953
213,92.711643
465,80.582344
261,87.687953
218,92.711643
465,80.582344
259,87.687953
218,92.711643
218,92.711643
218,92.711643
267,92.546236
334,87.466855
260,87.687953
259,87.687953
336,87.466855
258,87.705352
260,87.674378
273,92.533134
272,92.533134
274,92.4986
274,92.4986
274,92.4986
274,92.4986
274,92.4986
274,92.4986
274,92.4986
274,92.4986
274,92.4986
274,92.4986
274,92.4986
274,92.4986
274,92.4986
274,92.4986
274,92.4986
275,92.4986
275,92.079955
275,92.079955
275,92.079955
275,92.079955
275,92.079955
523,79.738073
259,87.649965
278,92.478537
278,92.478537
276,92.079955
275,92.203201
274,92.043741
275,92.079955
275,92.079955
275,92.079955
275,92.079955
278,92.079955
278,92.079955
278,92.079955
279,92.079955
526,79.738073
258,87.649965
258,87.649965
258,87.649965
258,87.649965
259,87.649965
258,87.649965
262,87.619048
278,92.079955
528,79.708248
273,86.935825
273,86.935825
276,86.935825
279,91.784971
537,79.109781
271,87.274336
271,87.274336
274,87.274336
281,91.784971
541,79.109781
277,87.274336
282,91.784971
542,79.109781
541,79.109781
541,79.109781
276,87.274336
289,86.419972
343,84.578612
343,84.578612
343,84.578612
341,84.578612
346,84.50779
345,84.50779
604,75.687382
603,75.687382
604,75.712423
604,75.712423
2,100
1,100
2,100
0,100
1,100
1,100
3,100
1,100
1,100
3,100
4,99.843014
3,100
0,100
14,98.850575
1,100
0,100
0,100
2,100
0,100
0,100
1,100
0,100
0,100
2,99.918434
0,100
0,100
4,100
0,100
5,100
3,100
1,100
2,100
11,99.793483
0,100
0,100
1,100
0,100
1,100
1,100
1,100
23,100
1,100
0,100
1,98.940678
0,100
8,100
0,100
4,100
0,100
0,100
25,99.850299
5,98.065984
2,99.44645
0,100
0,100
2,100
1,100
2,99.608227
22,98.524649
0,100
1,100
0,100
2,99.852941
14,100
3,100
0,100
0,100
0,100
0,100
6,99.697885
19,100
2,100
1,100
1,100
0,100
0,100
2,100
0,100
18,100
0,100
0,100
0,100
3,100
1,100
0,100
0,100
0,100
0,100
1,100
0,100
0,100
0,100
2,99.943052
5,100
0,100
0,100
0,100
0,100
0,100
0,100
7,98.139256
1,100
0,100
32,100
2,100
0,100
0,100
0,100
0,100
2,100
0,100
2,100
0,100
0,100
1,100
1,100
4,99.915541
0,100
0,100
0,100
1,100
0,100
0,100
21,98.664122
11,100
0,100
1,100
2,100
2,100
1,100
0,100
1,100
0,100
0,100
2,100
0,100
0,100
0,100
3,99.617737
1,100
1,100
0,100
1,100
0,100
0,100
0,100
2,100
0,100
4,99.728261
0,100
0,100
0,100
1,100
2,100
0,100
1,100
0,100
2,100
0,100
19,100
4,100
0,100
0,100
1,100
0,100
7,100
0,100
0,100
1,100
0,100
2,100
0,100
0,100
0,100
0,100
0,100
11,100
0,100
2,100
0,100
0,100
0,100
2,100
2,98.635123
0,100
2,100
1,100
0,100
2,100
1,100
0,100
0,100
2,100
1,100
1,100
1,100
1,100
4,100
0,100
1,99.947424
1,100
1,100
1,100
3,100
0,100
1,100
0,100
0,100
4,99.869622
1,100
1,100
0,100
0,100
0,100
0,100
0,100
0,100
5,98.991935
32,100
0,100
0,100
2,99.838319
0,100
0,100
0,100
1,100
0,100
5,100
1,100
0,100
0,100
0,100
0,100
4,100
0,100
8,98.375242
1,100
0,100
0,100
1,100
2,99.975586
2,100
1,100
1,100
0,100
7,100
0,100
0,100
1,100
0,100
229,86.807611
229,86.807611
229,86.807611
229,86.807611
229,86.807611
229,86.807611
229,86.807611
229,86.807611
229,86.807611
229,86.807611
229,86.807611
229,86.807611
235,86.280358
236,86.206897
236,86.12766
236,86.12766
236,86.12766
236,86.12766
237,86.12766
236,86.12766
236,86.12766
236,86.12766
236,86.12766
236,86.12766
240,85.835454
239,86.046512
239,86.046512
239,86.046512
239,86.046512
8,91.555243
36,93.822526
20,97.388579
53,95.670996
10,97.435105
1,97.432905
95,88.80814
33,96.160558
509,38.875306
2,97.204659
225,68.274278
19,96.998828
744,82.60208
744,82.556962
744,82.65692
744,82.65692
744,82.65692
745,83.253709
745,83.253709
745,83.253709
745,83.253709
745,83.253709
745,83.253709
749,84.767866
749,84.767866
749,84.767866
749,84.767866
749,84.707724
748,84.639498
748,84.639498
748,84.639498
749,81.65038
748,81.687466
748,81.687466
750,82.094684
750,82.094684
750,82.094684
750,82.094684
750,82.094684
750,82.094684
750,82.094684
750,82.133404
750,82.133404
750,82.133404
750,82.133404
750,82.133404
750,82.133404
750,82.133404
750,82.133404
750,82.133404
750,82.133404
750,82.133404
14,96.548395
750,80.953589
750,80.953589
750,80.953589
3,96.615905
3,96.615905
413,89.075829
404,89.304307
404,89.304307
416,89.085337
416,89.085337
416,89.085337
416,89.085337
416,89.085337
416,89.085337
416,89.085337
16,97.754454
429,88.954729
431,88.891521
433,88.891521
433,88.891521
433,88.891521
436,88.849432
468,88.734058
468,88.734058
468,88.734058
471,88.70283
3,96.970387
474,88.291279
484,87.907489
485,87.907489
485,87.907489
485,87.907489
485,87.907489
485,87.907489
485,87.907489
485,87.907489
485,87.907489
486,87.86878
486,87.86878
486,87.86878
486,87.86878
486,87.86878
486,87.86878
486,87.86878
486,87.86878
17,89.631285
493,84.924506
493,84.924506
493,84.924506
493,84.924506
493,84.924506
494,84.924506
493,84.924506
493,85.054477
493,85.054477
494,85.054477
493,85.054477
493,85.054477
493,85.054477
493,85.054477
493,85.054477
493,85.054477
494,85.054477
17,89.631285
28,93.925348
28,93.925348
32,93.925348
28,93.925348
28,93.925348
27,93.925348
27,93.925348
27,93.925348
27,93.925348
27,93.925348
28,93.925348
28,93.925348
30,93.925348
28,93.925348
28,93.925348
27,93.925348
29,93.925348
27,93.925348
29,93.925348
27,93.925348
27,93.925348
27,93.925348
29,93.876555
27,93.962356
28,93.962356
27,93.962356
27,93.962356
27,93.868371
28,93.868371
27,93.868371
27,93.868371
27,93.868371
29,93.800284
27,93.874172
27,93.874172
27,93.874172
27,93.874172
28,93.874172
28,93.874172
28,93.874172
28,93.874172
28,93.874172
29,93.874172
28,93.874172
30,93.826869
28,93.874172
28,93.874172
3,97.760041
36,94.165863
36,94.165863
36,94.165863
37,94.165863
36,94.165863
36,94.165863
39,94.117647
38,94.117647
38,94.093539
39,94.093539
38,94.093539
54,90.253411
54,90.253411
55,90.253411
55,90.253411
59,90.253411
59,90.253411
60,90.253411
59,90.253411
59,90.253411
59,90.253411
59,90.253411
59,90.253411
59,90.253411
59,90.253411
59,90.253411
1,97.970639
59,89.860217
59,89.860217
60,89.860217
61,89.860217
60,89.860217
65,89.83803
60,89.860217
62,89.860217
62,89.860217
62,89.860217
62,89.860217
62,89.860217
62,89.824873
62,89.824873
62,89.824873
63,89.824873
67,89.824873
66,89.824873
66,89.824873
74,89.600887
74,89.600887
74,89.600887
74,89.600887
86,89.553234
86,89.553234
87,89.553234
107,89.242054
107,89.242054
107,89.242054
