@relation 'FinalSampleData_test-weka.filters.unsupervised.attribute.Remove-R1-9,11-26,28'

@attribute ' AGE' numeric
@attribute a2a numeric

@data
766,94.043528
791,94.043528
757,94.043528
791,94.043528
766,94.043528
791,94.043528
749,93.971767
791,94.033549
766,94.033549
358,96.496159
398,96.1395
668,93.262012
658,93.262012
668,93.262012
658,93.262012
580,93.205706
658,93.262012
665,93.262012
649,93.262012
664,93.262012
649,93.262012
664,93.262012
649,93.262012
656,93.262012
642,93.262012
656,93.262012
649,93.262012
659,93.262012
649,93.262012
659,93.262012
649,93.262012
659,93.262012
646,93.262012
659,93.262012
634,93.13192
682,92.715356
705,92.715356
591,93.205706
705,92.715356
214,87.581815
789,87.723333
677,92.70619
705,92.70619
677,92.70619
705,92.70619
190,87.915194
816,87.915194
677,92.70619
706,92.70619
677,92.70619
705,92.70619
677,92.70619
590,80.329691
816,87.915194
677,92.70619
590,80.329691
820,87.915194
677,92.70619
703,92.70619
677,92.70619
592,80.267807
810,87.903512
677,92.70619
704,92.70619
182,87.903512
660,87.617694
677,92.70619
704,92.70619
659,92.70619
696,92.70619
590,87.808779
583,87.808779
657,92.711643
618,80.208722
609,85.980479
605,87.848641
608,87.687953
659,92.711643
629,80.582344
627,87.687953
659,92.711643
639,80.582344
627,87.687953
648,92.711643
639,80.582344
625,87.687953
651,92.711643
692,92.711643
651,92.711643
763,92.546236
544,87.466855
619,87.687953
620,87.687953
662,87.466855
616,87.705352
624,87.674378
576,92.533134
770,92.533134
569,92.4986
770,92.4986
569,92.4986
770,92.4986
569,92.4986
770,92.4986
569,92.4986
765,92.4986
569,92.4986
770,92.4986
569,92.4986
770,92.4986
569,92.4986
770,92.4986
569,92.4986
767,92.4986
572,92.079955
768,92.079955
566,92.079955
763,92.079955
572,92.079955
655,79.738073
615,87.649965
581,92.478537
763,92.478537
574,92.079955
763,92.203201
574,92.043741
763,92.079955
572,92.079955
763,92.079955
572,92.079955
757,92.079955
573,92.079955
755,92.079955
578,92.079955
646,79.738073
616,87.649965
617,87.649965
616,87.649965
617,87.649965
615,87.649965
617,87.649965
627,87.619048
573,92.079955
644,79.708248
609,86.935825
591,86.935825
601,86.935825
573,91.784971
634,79.109781
604,87.274336
596,87.274336
605,87.274336
574,91.784971
638,79.109781
603,87.274336
567,91.784971
636,79.109781
492,79.109781
638,79.109781
601,87.274336
580,86.419972
575,84.578612
649,84.578612
575,84.578612
650,84.578612
568,84.50779
642,84.50779
488,75.687382
650,75.687382
489,75.712423
650,75.712423
51,100
435,100
1277,100
0,100
341,100
0,100
127,100
15,100
77,100
294,100
18,99.843014
580,100
0,100
184,98.850575
33,100
0,100
0,100
1855,100
0,100
0,100
257,100
0,100
0,100
396,99.918434
0,100
0,100
132,100
0,100
205,100
6,100
103,100
110,100
1002,99.793483
0,100
0,100
382,100
0,100
25,100
44,100
1844,100
181,100
105,100
0,100
36,98.940678
0,100
30,100
0,100
94,100
0,100
0,100
829,99.850299
26,98.065984
900,99.44645
0,100
0,100
1193,100
23,100
46,99.608227
697,98.524649
0,100
15,100
0,100
43,99.852941
206,100
127,100
0,100
0,100
0,100
0,100
316,99.697885
109,100
12,100
357,100
0,100
0,100
0,100
107,100
0,100
106,100
0,100
0,100
0,100
776,100
2733,100
0,100
0,100
0,100
0,100
15,100
0,100
0,100
0,100
61,99.943052
