@relation 'FinalSampleData_test-weka.filters.unsupervised.attribute.Remove-R1-7,9-26,28'

@attribute NAD numeric
@attribute a2a numeric

@data
402,75.712423
444,75.712423
1,100
0,100
0,100
0,100
0,100
0,100
1,100
1,100
0,100
1,100
3,99.843014
0,100
0,100
4,98.850575
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
1,99.918434
0,100
0,100
0,100
0,100
0,100
1,100
0,100
0,100
4,99.793483
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
1,98.940678
0,100
1,100
0,100
1,100
0,100
0,100
4,99.850299
1,98.065984
1,99.44645
0,100
0,100
0,100
0,100
1,99.608227
10,98.524649
0,100
0,100
0,100
0,99.852941
5,100
1,100
0,100
0,100
0,100
0,100
4,99.697885
1,100
1,100
0,100
0,100
0,100
0,100
1,100
0,100
1,100
0,100
0,100
0,100
3,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
1,99.943052
0,100
0,100
0,100
0,100
0,100
0,100
0,100
1,98.139256
0,100
0,100
0,100
1,100
0,100
0,100
0,100
0,100
1,100
0,100
0,100
0,100
0,100
0,100
0,100
1,99.915541
0,100
0,100
0,100
0,100
0,100
0,100
16,98.664122
1,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
2,99.617737
0,100
0,100
0,100
0,100
0,100
0,100
0,100
2,100
0,100
2,99.728261
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
1,100
0,100
0,100
0,100
0,100
4,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
1,100
0,100
2,100
0,100
0,100
0,100
0,100
2,98.635123
0,100
0,100
0,100
0,100
1,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,99.947424
0,100
1,100
0,100
1,100
0,100
0,100
0,100
0,100
2,99.869622
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,98.991935
0,100
0,100
0,100
1,99.838319
0,100
0,100
0,100
1,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
1,98.375242
1,100
0,100
0,100
0,100
0,99.975586
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
79,86.807611
84,86.807611
79,86.807611
84,86.807611
79,86.807611
82,86.807611
79,86.807611
84,86.807611
79,86.807611
84,86.807611
79,86.807611
84,86.807611
80,86.280358
86,86.206897
81,86.12766
86,86.12766
81,86.12766
86,86.12766
81,86.12766
86,86.12766
81,86.12766
86,86.12766
81,86.12766
86,86.12766
84,85.835454
86,86.046512
81,86.046512
86,86.046512
81,86.046512
1,91.555243
2,93.822526
17,97.388579
8,95.670996
0,97.435105
0,97.432905
94,88.80814
33,96.160558
509,38.875306
1,97.204659
225,68.274278
1,96.998828
158,82.60208
156,82.556962
168,82.65692
156,82.65692
168,82.65692
155,83.253709
167,83.253709
155,83.253709
167,83.253709
155,83.253709
167,83.253709
158,84.767866
170,84.767866
158,84.767866
170,84.767866
159,84.707724
170,84.639498
157,84.639498
170,84.639498
158,81.65038
170,81.687466
157,81.687466
170,82.094684
157,82.094684
170,82.094684
157,82.094684
170,82.094684
157,82.094684
170,82.094684
157,82.133404
170,82.133404
157,82.133404
170,82.133404
157,82.133404
170,82.133404
157,82.133404
170,82.133404
157,82.133404
170,82.133404
157,82.133404
0,96.548395
170,80.953589
157,80.953589
170,80.953589
1,96.615905
1,96.615905
36,89.075829
43,89.304307
35,89.304307
46,89.085337
39,89.085337
46,89.085337
39,89.085337
46,89.085337
39,89.085337
46,89.085337
14,97.754454
52,88.954729
61,88.891521
54,88.891521
61,88.891521
54,88.891521
64,88.849432
58,88.734058
66,88.734058
58,88.734058
67,88.70283
2,96.970387
60,88.291279
76,87.907489
68,87.907489
75,87.907489
67,87.907489
75,87.907489
67,87.907489
75,87.907489
67,87.907489
74,87.907489
68,87.86878
75,87.86878
68,87.86878
75,87.86878
68,87.86878
75,87.86878
68,87.86878
75,87.86878
8,89.631285
71,84.924506
78,84.924506
71,84.924506
78,84.924506
70,84.924506
77,84.924506
70,84.924506
77,85.054477
69,85.054477
77,85.054477
69,85.054477
77,85.054477
69,85.054477
77,85.054477
69,85.054477
77,85.054477
69,85.054477
8,89.631285
6,93.925348
4,93.925348
8,93.925348
4,93.925348
6,93.925348
4,93.925348
6,93.925348
4,93.925348
6,93.925348
4,93.925348
6,93.925348
4,93.925348
7,93.925348
4,93.925348
6,93.925348
4,93.925348
7,93.925348
4,93.925348
6,93.925348
4,93.925348
6,93.925348
4,93.925348
7,93.876555
4,93.962356
7,93.962356
4,93.962356
6,93.962356
4,93.868371
6,93.868371
4,93.868371
6,93.868371
4,93.868371
7,93.800284
4,93.874172
6,93.874172
4,93.874172
6,93.874172
5,93.874172
6,93.874172
5,93.874172
6,93.874172
5,93.874172
7,93.874172
5,93.874172
7,93.826869
5,93.874172
6,93.874172
2,97.760041
6,94.165863
8,94.165863
6,94.165863
8,94.165863
6,94.165863
8,94.165863
6,94.117647
8,94.117647
6,94.093539
7,94.093539
6,94.093539
22,90.253411
12,90.253411
23,90.253411
12,90.253411
24,90.253411
15,90.253411
24,90.253411
15,90.253411
24,90.253411
15,90.253411
24,90.253411
15,90.253411
24,90.253411
15,90.253411
24,90.253411
0,97.970639
15,89.860217
24,89.860217
13,89.860217
24,89.860217
14,89.860217
24,89.83803
14,89.860217
24,89.860217
14,89.860217
24,89.860217
14,89.860217
24,89.860217
14,89.824873
24,89.824873
14,89.824873
24,89.824873
14,89.824873
24,89.824873
14,89.824873
24,89.600887
15,89.600887
24,89.600887
15,89.600887
32,89.553234
17,89.553234
32,89.553234
22,89.242054
37,89.242054
22,89.242054
