CommitID,FileNum,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NS,ND,Entropy ,LT,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,NIR,a2a
c9e9a7c294458c8bb1166e0646a5fa580661e21e,33,688,297,391,4,0,4,1,60,287,2,9,3.913040568,4930,208,8,420,385,35,29733,27553,2180,244,217,27,1,98.12868291
c69a23cfe661afd7862201d94b45282e4450b9ee,79,2218,2882,664,21,21,42,2,5,272,1,32,5.663187078,6430,1193,9,441,541,100,30067,36176,6109,310,386,76,1,92.98742573
af42f434f4a4c3d9087c6058b359033736d3b5e8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1194,10,0,0,0,0,0,0,0,0,0,1,100
7f992a6b7474267691e48fd2e5a64230cda41390,3,89,50,39,1,0,1,2,5,0,1,2,1.452222489,241,221,10,18,16,2,1552,1482,70,13,10,3,1,99.98760843
e58ac3e033670aeb83e8543ab7b8779227ca10d8,77,16,7043,7027,0,74,74,6,20,273,3,12,5.696870404,7338,222,11,40,791,751,2031,39687,37656,11,402,391,1,92.35341601
da0bc6a75b2b395dfb8204a2f0f85ae0fe1566ec,108,6786,3159,3627,56,28,84,6,19,1213,5,20,6.109655324,4015,221,10,816,403,413,41326,19516,21810,419,241,178,1,91.98730985
3883bf74c7e706d83f3d721257a285f8fdf4b969,34,3122,54,3068,31,0,31,6,8,861,3,8,4.443988439,303,1195,11,357,25,332,16942,1639,15303,226,17,209,1,95.79281469
a7e817bcd1424d300ab5bad06c5d9f4729d9f347,77,16,7043,7027,0,75,75,6,20,273,3,12,5.696870404,7339,1196,12,40,791,751,2031,39687,37656,11,402,391,1,92.35341601
de59923e37911885975fc097d4313fae14ef5f37,1,1,1,0,0,0,0,6,8,132,1,1,0,108,23,0,15,15,0,575,575,0,2,2,0,1,100
ab0b1a80b4d8eb85e307bfaf344ea33b7a44ec7f,2,9,10,1,0,0,0,10,23,138,2,2,0.485460761,878,8,0,148,148,0,5091,5098,7,45,45,0,1,100
7a0fa47f76e5cdfc6a5a0b89352e191b17e74b13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,3,0,0,0,0,0,0,0,0,0,1,100
5084c9756a4d792c4ac3a2a64e0d0ec2da8530e5,1,1,1,0,0,0,0,18,61,44,1,1,0,725,46,0,111,111,0,4164,4162,2,38,38,0,0,100
882cfff9f8249248ff09b5898389523512ede40b,3,11,9,2,0,0,0,9,60,66,2,3,0.74758468,2701,1197,5,413,413,0,14564,14548,16,185,185,0,1,100
f1e9a7941d6c90ab687a49eee49eb272e771d94b,3464,261427,340869,79442,1207,1651,2858,0,49,0,13,540,9.702361467,386629,1011,0,43786,59816,16030,1600695,2315094,714399,20054,26970,6916,1,42.24505622
82961751f9c09bccd776e6ad4c67006a5a93ce65,3464,340898,261457,79441,1651,1207,2858,1,79,9,13,540,9.702379106,307187,1198,5,57101,46462,10639,2197707,1716982,480725,25547,21468,4079,1,42.24505622
335b388aa6983ae22fb9411c738001a8084cff1f,3464,261427,340868,79441,1207,1651,2858,0,49,0,13,540,9.702361616,386628,1012,1,43786,59816,16030,1600695,2315087,714392,20054,26970,6916,1,42.24505622
7e271799adeeea24d4ac7b3477f4988c34cf7daa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,1,100
93732d3114dc84a9baeb8f482b7b401be2d6ee08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013,2,0,0,0,0,0,0,0,0,0,1,100
b9dbf8c9700c847e7d4fe0fd1e8b51b1fac9ef6c,3464,340898,261457,79441,1651,1207,2858,1,79,9,13,540,9.702379106,307187,1199,6,57101,46462,10639,2197709,1716982,480727,25547,21468,4079,0,42.24505622
5f386b1da383f6b4039d81074e5ce58c191483bf,1,1,1,0,0,0,0,6,8,132,1,1,0,108,1200,7,15,15,0,575,575,0,2,2,0,1,100
9cc5b72c1fae78c60061b9f3c3f3d41277ca93cf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201,8,0,0,0,0,0,0,0,0,0,0,100
5ed30b564f37deba00318f330c2b6e2dcf731cdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
9394f82f6da85fac89e52ce50073cf337bb52990,3464,261427,340868,79441,1207,1651,2858,0,49,0,13,540,9.702361616,386628,0,0,43786,59816,16030,1600695,2315089,714394,20054,26970,6916,0,42.24505622
c8896efcca5b6101942f51434d2100f45df456c6,3464,339781,261457,78324,1651,1207,2858,1,80,9,13,540,9.71262759,307187,209,0,56856,46462,10394,2190064,1716982,473082,25442,21468,3974,1,42.24505622
31624a2d2f9ed2df0fd37ee871e45e321735d27c,31,4,3033,3029,0,30,30,7,9,240,2,6,4.309751054,3091,210,1,9,339,330,157,15390,15233,7,213,206,1,95.23639925
146beff6a5e7f0b39147bcf8e9f798c8738c2379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,2,0,0,0,0,0,0,0,0,0,1,100
7c4ae00adb17bd0acb00263f5e3b000501e5b517,3436,261519,336814,75295,1209,1623,2832,0,49,0,13,540,9.695754424,382482,48,0,43786,59182,15396,1600695,2290001,689306,20054,26625,6571,1,42.40536655
eb7924a5c754e04566d6f64d57a2bc1910cac282,3436,336840,261541,75299,1623,1209,2832,1,80,11,13,540,9.695731452,307187,228,1,56527,46403,10124,2174841,1714822,460019,25236,21434,3802,1,42.40536655
8fb87ed7211cfde104ca1f5a2a3689190414ae2c,2,11,15,4,0,0,0,4,40,150,2,2,0.619382195,1824,228,1,326,327,1,10227,10231,4,126,126,0,1,100
4d43947dc87d490efbcdd446a6c45f79f7d9e6ea,7,50,98,48,0,0,0,7,81,299,2,7,2.575721723,5914,9,1,935,939,4,41614,41901,287,274,277,3,1,100
5ef7c1d3580f7a6ede03ecab7ca1fa6e86e03ed7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,1,0,0,0,0,0,0,0,0,0,1,100
5c6e102aa4e4d5c8f9515fa919f38130872eb18a,7,143,88,55,0,0,0,6,80,144,1,7,2.255729271,6475,24,1,1031,1025,6,45622,45297,325,302,299,3,1,100
aff667643e220d4f5353a63b9a759d1646366224,6,39,87,48,0,0,0,7,81,179,1,6,2.313114943,5833,212,3,924,928,4,41101,41382,281,269,272,3,1,100
05d907b8b1390e39443487fe0d6a2a185344d256,8,143,99,44,0,0,0,2,80,258,2,8,2.419961111,6749,9,1,1054,1052,2,47009,46737,272,314,311,3,1,100
ec418b755e1b9828bd415fb885e8b83290459d88,9,103,143,40,0,0,0,1,81,132,3,9,2.500505096,8532,230,3,1368,1369,1,56455,56717,262,432,435,3,1,100
e8dc31d34c901d50d7de6a88d845f0ca22074c22,1,11,11,0,0,0,0,4,4,301,1,1,0,81,232,5,11,11,0,519,513,6,5,5,0,1,100
674a7cb4a1bae26b30a87b0d3d5204c48cd13ebe,1,7,4,3,0,0,0,2,4,1147,1,1,0,267,233,6,25,25,0,1431,1396,35,12,12,0,1,100
fe94434a48f4f5e4f3812f6787117fa2b57e6d5d,13,245,187,58,1,0,1,3,80,249,4,12,3.12580353,9124,9,1,1415,1412,3,61165,60866,299,452,448,4,1,99.92953404
d644636096c37fb7cace1b6823453d398f0a7024,10,117,151,34,0,0,0,2,81,265,4,10,2.704739152,8610,213,4,1379,1380,1,57009,57195,186,437,440,3,1,100
034ac677eb486a5bd07da28246d7682730cb5072,31,3381,362,3019,10,1,11,3,12,273,2,15,2.478034859,4331,11,0,636,440,196,43911,27170,16741,300,192,108,1,99.59571102
1828a17e553927419d380203055803647aab2aa1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,5,0,0,0,0,0,0,0,0,0,3,100
d86ef7d2d5f21d5e4f29fce97a681f33c4ffa0ad,47,731,3682,2951,1,12,13,2,80,349,5,27,3.236846902,16844,0,0,1887,2077,190,90540,106519,15979,663,763,100,1,99.38466948
fdfeb14166301fed82b045f41934b693e95577c4,47,3645,770,2875,11,2,13,3,81,265,5,27,3.23737394,13931,1202,5,2077,1887,190,106450,90613,15837,763,663,100,1,99.38466948
4bc28e7e8ecd13ed7c0a7276927014be1b0dbaff,4,188,54,134,1,0,1,1,5,556,2,3,1.386323746,2252,234,7,216,209,7,14456,13698,758,108,102,6,1,99.85966143
88ba5f6cb042bd6bb7f499ea7f95749b2a3f96e7,2,40,21,19,0,0,0,5,7,12,1,2,0.349184374,273,12,4,45,43,2,1680,1646,34,20,18,2,1,100
73382d9ecee7dc193070ec136b34ea9ac568b20d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,8,0,0,0,0,0,0,0,0,0,1,100
ecec9cf52e61ffd889e51309b1bc2c1df99d7366,2,2,2,0,0,0,0,1,2,8,1,2,1,888,12,1,47,47,0,4518,4524,6,32,32,0,1,100
66a1aa34141aa6f5b8b04c73935fd140cf47987e,3,3,3,0,0,0,0,1,2,4,1,3,1.584962501,2832,12,1,229,229,0,16670,16656,14,120,120,0,1,100
bc1078d9114da5840c133a56ffda5e1d917b023d,1,13,15,2,0,0,0,1,2,12,1,1,0,1944,12,1,181,182,1,12110,12146,36,88,88,0,1,100
422f2255732c7c01e905327cbc81fc3827b045fe,21,555,137,418,7,0,7,1,19,78,3,11,4.05428101,7706,13,4,886,848,38,46952,45336,1616,378,355,23,4,99.83362522
c9efe3be960b3144f0b64954b94f249cfbe50b2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,1,100
fc942ee10d86649db9e9b8ce3dc0a04ea23439ce,3456,261665,340515,78850,1210,1643,2853,0,49,0,13,545,9.706350601,386098,135,0,43793,59420,15627,1601076,2308561,707485,20057,26757,6700,1,42.20017174
e270a1eeab20d794dcc60a697c440b65b03aecc2,3456,340537,261687,78850,1643,1210,2853,1,81,11,13,545,9.706336118,307248,1203,5,56769,46405,10364,2193879,1714718,479161,25373,21432,3941,1,42.20017174
44cf25fa9987b8f91f0147580ab245d73de51928,2,2,2,0,0,0,0,1,2,8,1,2,1,888,1204,6,47,47,0,4518,4524,6,32,32,0,1,100
70e379f7beef92ec6292119161ade8f4b3d20bdd,1,1,1,0,0,0,0,2,4,7,1,1,0,1944,1205,7,182,182,0,12146,12138,8,88,88,0,1,100
16e500844481aaf8179ea786d00030b1f18729b0,1,12,14,2,0,0,0,2,6,0,1,1,0,1944,1206,8,181,182,1,12118,12146,28,88,88,0,1,100
bf81b6840dba16b506187c53448db8e09a6a9f14,25,740,275,465,3,0,3,3,82,121,3,17,3.643121427,13196,14,5,1607,1577,30,88485,85516,2969,602,589,13,3,99.78164032
154173a70fb0e1b11c08be9b4499c811c30163f1,3,16,18,2,0,0,0,1,6,6,1,3,0.640206433,2832,75,1,228,229,1,16636,16662,26,120,120,0,1,100
078e8cc239788bbec14a0e38492ed683341af7dc,23,284,748,464,0,3,3,3,81,315,3,15,3.634533442,12771,15,4,1530,1559,29,80999,83941,2942,557,570,13,1,99.78164032
9d36724e88f54ae48fd892b001eeb76313adc9da,31,822,290,532,3,0,3,3,83,156,4,21,3.906279673,16276,156,0,2021,1984,37,102841,99445,3396,761,745,16,1,99.76417154
c2931dab720a2f6dcafa80a2a771c970302dca86,10,31,100,69,0,0,0,2,82,140,4,9,2.52022603,10698,1207,9,1407,1415,8,65650,66103,453,481,484,3,1,99.98254799
0fe39c8844f1d7e508b4f314942e26ee66bb503b,10,120,31,89,0,0,0,2,84,128,4,9,2.397651364,10629,157,1,1419,1407,12,66214,65650,564,487,481,6,1,99.98254799
3358effa636d7e405971f3dc0ab19ed9ec8ae76d,4,13,33,20,0,0,0,3,85,0,2,4,0.927447923,5831,158,2,932,936,4,41937,42048,111,287,290,3,1,100
c12ddb3f7d6c28a35bd4c90b0df48f48715c3f6e,4,5,5,0,0,0,0,16,86,22,2,4,1.970950594,7594,159,3,979,979,0,46464,46459,5,330,330,0,1,100
4c42ee3d259d5d90a4e7d3445d1c119601eec6c7,1,24,25,1,0,0,0,2,7,1,1,1,0,1942,1208,6,181,181,0,12119,12118,1,88,88,0,1,100
4f8b0e39baf12b7e6993d6785822a2a01745a9cb,3459,261665,341043,79378,1210,1646,2856,0,49,0,13,545,9.708268895,386626,1014,0,43793,59447,15654,1601076,2311769,710693,20057,26767,6710,1,42.19405261
cac56053b40c888cc7e448f2b525c7baea419205,3459,341065,261687,79378,1646,1210,2856,1,86,11,13,545,9.708254377,307248,25,1,56805,46396,10409,2197256,1714557,482699,25389,21426,3963,1,42.19405261
5aff46584b8ee22fa8e80ef47f9cc385e5f11e14,2,5,4,1,0,0,0,2,5,427,2,2,0.764204507,118,1,0,12,12,0,602,594,8,5,5,0,1,100
88d19b09846838715218cfcb30fe72b6b906b546,2,4,5,1,0,0,0,3,4,519,2,2,0.764204507,119,236,5,12,12,0,594,602,8,5,5,0,1,100
806bb11ca26b5caa41c6d0ef7c4658855219cec3,1,0,124,124,0,1,1,3,3,347,1,1,0,124,237,6,0,16,16,0,684,684,0,8,8,1,99.98254495
8bbee40c3c2426aea9028290296cd758c3a3b567,23,220,43,177,1,0,1,2,13,1323,2,7,3.149508093,1614,1,0,182,166,16,6080,5412,668,130,122,8,1,99.98254495
42981a09361e34cac639a867fa32134c76e4cbbc,3472,261572,341136,79564,1209,1646,2855,0,49,0,13,547,9.709071395,387587,110,0,43875,59545,15670,1602828,2314189,711361,20128,26846,6718,1,42.20209724
2875c838a9577ca81e119de6601a0f5d0184b663,3458,341066,261554,79512,1646,1209,2855,1,86,11,13,545,9.707404617,307115,1209,7,56805,46380,10425,2197264,1713873,483391,25389,21418,3971,1,42.20209724
518f9470312170525fb50cc614a157547514b9b5,22,96,43,53,0,0,0,5,13,1369,1,6,4.07149702,1614,1210,8,166,166,0,5396,5412,16,122,122,0,1,100
04f75bfad131ac2be4450433231814f3eba25717,1,1,1,0,0,0,0,3,5,287,1,1,0,406,26,1,53,53,0,2177,2171,6,18,18,0,1,100
43faecc870468a00d5f1b2d5ba1c5c4274ae77b0,3473,261706,341137,79431,1210,1646,2856,0,49,0,13,547,9.709930855,387588,136,1,43891,59545,15654,1603514,2314209,710695,20136,26846,6710,1,42.19405261
dd90dcadd63c579838e32090c491c9192a9105c5,3473,341181,261740,79441,1646,1210,2856,1,86,9,13,547,9.710032911,308157,1193,0,56907,46494,10413,2199752,1716995,482757,25468,21505,3963,1,42.19405261
c4966d4b2c2386a54b7fadf2b08e8d454fddb219,3473,261690,341129,79439,1210,1646,2856,0,49,0,13,547,9.709792156,387598,960,0,43895,59549,15654,1603558,2314265,710707,20136,26846,6710,1,42.23111365
ea84f47e12c65ba0f1e6856a1c8eef9c758a671d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,1,100
b8f2039d64cea990917540f1e0f4a3dacca14db0,1,1,0,1,0,0,0,16,49,39,1,1,0,2599,1015,1,53,53,0,5231,5229,2,47,47,0,1,100
2f399579d2ab990946b0b7a5b36c9b0340019c82,3473,341177,261749,79428,1646,1210,2856,1,86,9,13,547,9.710077411,308160,1211,8,56903,46498,10405,2199690,1717041,482649,25468,21505,3963,1,42.23111365
47575ec6f0a5f3d1bf7dfb6153e9827bc8791e84,4,58,48,10,0,0,0,3,42,187,3,3,1.228770995,2287,215,0,367,363,4,13752,13684,68,152,152,0,1,100
aa6bc4d2cc49a36f65dcf9c4792c426f17fff069,1,0,124,124,0,1,1,3,3,347,1,1,0,124,216,1,0,16,16,0,684,684,0,8,8,1,99.98254495
fe56cfc5a63b7714d6afb486658daff10d0ee78d,3471,261558,341005,79447,1209,1645,2854,0,49,0,13,547,9.708113978,387474,50,1,43879,59533,15654,1602876,2313593,710717,20128,26838,6710,1,42.24721243
9f815caafe82164e1b22ddfacdc227f28cb4afad,3471,341027,261580,79447,1645,1209,2854,1,86,9,13,547,9.708099443,308027,216,0,56890,46482,10408,2199070,1716357,482713,25460,21497,3963,0,42.24721243
2d2e80bfd531e86fb0a1c7c7bdd4ce238f31108d,2,35,6,29,0,0,0,1,11,37,2,2,0.461216041,467,16,0,42,41,1,2955,2651,304,14,14,0,1,100
91458a32cded87fb64dbb1b22db8059edd6af99d,2,10,37,27,0,0,0,1,17,106,2,2,0.746736607,1126,27,1,133,132,1,6168,6460,292,53,53,0,1,100
066c967990002d553d1f2239b43051412171c359,2,37,10,27,0,0,0,1,16,56,2,2,0.746736607,1099,217,2,132,133,1,6460,6168,292,53,53,0,1,100
3274324a237403aebca2e2b2d6d4d2b3a7dac4c4,4,45,51,6,0,0,0,1,19,73,2,3,1.801836476,2244,1194,1,230,229,1,15896,16019,123,95,95,0,1,100
288eb7fad97adea12c69bc610c30fb9bf7807fd2,5,53,47,6,0,0,0,1,18,130,3,4,1.972055206,2554,218,3,265,267,2,17786,17667,119,107,107,0,1,100
26bfefb258282ab90b1577dd332c0d4e5cef87a8,3,14,39,25,0,0,0,1,18,0,3,3,1.128499237,1442,28,2,170,168,2,7949,8227,278,65,65,0,1,100
cd3e471407495702d87e9f3f0f416cfa451a7f09,4,45,26,19,0,0,0,8,20,9,1,3,1.791298191,3014,1195,2,352,352,0,20320,20129,191,144,144,0,1,100
8df4ce27c1c689bd1e0d1e771b2506f2e05dbefc,6,54,48,6,0,0,0,1,18,120,3,5,2.072620456,2731,17,1,283,285,2,18849,18762,87,110,110,0,1,100
c179ea7ea1d7619d2a377f9961a9d45d47c3fbfe,1,2,2,0,0,0,0,2,3,86,1,1,0,177,27,1,18,18,0,1063,1063,0,3,3,0,1,100
8ea2679d47dd14443f44944fed98b9e7b6c6c516,1,2,2,0,0,0,0,1,3,74,1,1,0,177,219,4,18,18,0,1063,1063,0,3,3,0,1,100
88fc18b2f2d031e9915b852e16cd406fbc21a91e,1,8,4,4,0,0,0,9,18,2,1,1,0,946,220,5,128,127,1,5294,5276,18,51,51,0,1,100
17a69e001dac77108b32a71b13296167ae607130,3,41,18,23,0,0,0,8,20,0,1,2,1.366874848,2064,221,6,225,224,1,15044,14835,209,93,93,0,1,100
ffb7351f9c3a38b33e9b0eefa150c74a0933da89,3,49,1,48,0,0,0,3,46,173,2,3,1.142517111,2387,76,0,125,120,5,8150,7805,345,80,78,2,1,100
26a6c878ce368ddba026a2977f484523a70f3d56,4,4,51,47,0,0,0,16,87,337,3,4,1.478148906,7153,76,0,892,897,5,42903,43236,333,283,285,2,1,100
4300e944a0d453191c23ef4d818956a8f84eb5f0,4,196,28,168,1,0,1,1,86,110,3,4,1.454024702,5009,1196,2,821,813,8,36890,36617,273,227,224,3,1,99.98254495
b99982ef3518ffbd502e0e43d57030dfc090ec32,4,26,195,169,0,1,1,3,13,27,3,4,1.391810574,636,222,6,59,67,8,2582,2867,285,22,25,3,1,99.98254495
7da6d6ab5cdc6cc9de137a9623acbb6edc4da73d,3,49,1,48,0,0,0,3,46,173,2,3,1.142517111,2387,223,7,125,120,5,8150,7805,345,80,78,2,1,100
bc06df529721e0684abc335b7868092c9ab0773c,1,3,2,1,0,0,0,16,87,73,1,1,0,4718,224,8,772,772,0,35098,35086,12,205,205,0,1,100
e39988646d9ed3e96d129c85b65a0ddeb4233910,12,299,42,257,1,0,1,5,86,235,1,6,2.75434417,9361,1196,2,1287,1248,39,55204,53950,1254,420,409,11,1,99.95635856
c7d9d68ade30ffa241a2688ce6552d6a2e18745d,15,234,322,88,1,1,2,1,87,108,3,9,3.166163949,9908,225,8,1297,1328,31,55754,56723,969,431,439,8,1,99.93891265
f2ced23fa4e3f699558663baef4ee582ee148fa2,1,2,2,0,0,0,0,7,15,3,1,1,0,286,226,9,33,33,0,1172,1172,0,16,16,0,1,100
