,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
commit1--commit2,93.09333333,98.25750469,80.71,90.66455696
commit2--commit3,95.97333333,99.02166611,93.02,100
commit3--commit4,94.07666667,98.54826955,93.02,100
commit4--commit5,91.61,98.01314382,93.02,100
commit5--commit6,95.16666667,98.88418458,93.02,100
commit6--commit7,94.03,98.57885079,93.02,100
commit7--commit8,93.56,97.28390685,93.02,98.91122278
commit8--commit9,88.88666667,96.90013112,81.93,89.30369128
commit9--commit10,92.52666667,98.25635374,96.49,100
commit10--commit11,93.10666667,98.39044193,96.49,100
commit11--commit12,94.56333333,98.61394224,96.49,100
commit12--commit13,93.63666667,98.40529619,96.49,100
commit13--commit14,93.05666667,98.30080324,96.49,100
commit14--commit15,93.11,98.40540948,96.49,100
commit15--commit16,92.79666667,97.98837729,96.49,100
commit16--commit17,94.56,98.61423535,96.49,100
commit17--commit18,94.43,98.52497625,96.49,100
commit18--commit19,94.49666667,98.67369915,96.49,100
commit19--commit20,92.97333333,98.27121467,96.49,100
commit20--commit21,96,99.01654001,96.49,100
commit21--commit22,92.33333333,98.24178578,96.49,100
commit22--commit23,94.09666667,98.55475143,96.49,100
commit23--commit24,96.19666667,99.00173891,96.49,100
commit24--commit25,95.48,98.97173716,96.49,100
commit25--commit26,91.93333333,97.79466547,96.49,100
commit26--commit27,92.32333333,98.10777765,96.49,100
commit27--commit28,93.9,98.56977241,96.49,100
commit28--commit29,94.49666667,98.70366071,96.49,100
commit29--commit30,92.86,98.34563258,96.49,100
commit30--commit31,92.79333333,98.30156936,96.3,99.95751912
commit31--commit32,92.92,98.36219094,96.49,100
commit32--commit33,92.91333333,98.25815096,96.49,100
commit33--commit34,95.01333333,98.6914187,96.3,99.83029275
commit34--commit35,92.48666667,98.14495561,96.22,98.93162393
commit35--commit36,92.48333333,98.23641783,96.43,100
commit36--commit37,93.14,98.38469773,96.43,100
commit37--commit38,93.4,98.48826293,96.43,100
commit38--commit39,94.78666667,98.7550153,96.43,100
commit39--commit40,93.33666667,98.32518156,96.43,100
commit40--commit41,95.03333333,98.85902212,96.43,100
commit41--commit42,93.72333333,98.54795053,96.43,100
commit42--commit43,94.38333333,98.59191391,96.43,100
commit43--commit44,94.52333333,98.69546608,96.43,100
commit44--commit45,92.55,98.28044704,96.43,100
commit45--commit46,93.79333333,98.47344152,96.43,100
commit46--commit47,94.51333333,98.63644399,96.43,100
commit47--commit48,93.41333333,98.34017423,96.43,100
commit48--commit49,94.70666667,98.78494804,96.43,100
commit49--commit50,94.13,98.51924242,96.43,99.91386736
commit50--commit51,92.37333333,98.12102382,96.44,100
commit51--commit52,94.51666667,98.68323717,96.44,100
commit52--commit53,91.97333333,98.03252241,96.44,100
