,ACDC,,,FCA
index,MOJOFM,A2A,MOJOFM,A2A
commit1--commit2,96.35666667,99.19678715,93.37,100
commit2--commit3,95.43333333,98.89558233,93.37,100
commit3--commit4,97.24666667,95.51374819,91.37,95.67147614
commit4--commit5,96.41666667,99.21077066,91.54,100
commit5--commit6,94.94333333,98.79294336,91.54,100
commit6--commit7,97.04666667,99.35004643,91.54,100
commit7--commit8,97.27,99.39647168,91.54,100
commit8--commit9,94.95,98.88579387,91.54,100
commit9--commit10,96.21333333,99.1643454,91.54,100
commit10--commit11,98.10333333,99.5821727,91.54,100
commit11--commit12,97.26666667,99.39647168,91.54,100
commit12--commit13,97.26666667,99.39647168,91.54,100
commit13--commit14,98.32,99.62859796,91.54,100
commit14--commit15,97.26,99.39647168,91.54,100
commit15--commit16,93.92,98.6536676,91.54,100
commit16--commit17,96.42666667,99.21077066,91.54,100
commit17--commit18,95.58333333,99.02506964,91.54,100
commit18--commit19,96,99.11792015,91.54,100
commit19--commit20,97.68,99.48932219,91.54,100
commit20--commit21,95.15666667,98.93221913,91.54,100
commit21--commit22,95.16333333,98.93221913,91.54,100
commit22--commit23,93.46,98.56081708,91.54,100
commit23--commit24,93.68333333,98.60724234,91.54,100
commit24--commit25,96.41333333,99.21077066,91.54,100
commit25--commit26,94.94666667,98.88579387,91.54,100
commit26--commit27,97.26,99.39647168,91.54,100
commit27--commit28,97.68,99.48932219,91.54,100
commit28--commit29,96.84666667,99.30362117,91.54,100
commit29--commit30,95.78,99.07149489,91.54,100
commit30--commit31,97.89,99.53574745,91.54,100
commit31--commit32,95.78333333,99.07149489,91.54,100
commit32--commit33,96.41666667,99.21077066,91.54,100
commit33--commit34,96.84333333,99.30362117,91.54,100
commit34--commit35,97.46666667,99.44289694,91.54,100
commit35--commit36,95.45333333,95.12783406,92.86,95.67147614
commit36--commit37,93.58,94.74191992,89.85,95.33851276
commit37--commit38,97.06,99.35004643,91.54,100
commit38--commit39,97.05333333,99.35004643,93.53,100
commit39--commit40,94.51666667,98.79294336,93.53,100
commit40--commit41,93.85333333,94.79015919,91.21,95.33851276
commit41--commit42,97.72333333,99.49799197,93.37,100
commit42--commit43,95.17,95.07959479,89.85,95.33851276
commit43--commit44,95.16,98.93221913,93.53,100
commit44--commit45,95.79666667,99.07149489,93.53,100
commit45--commit46,94.73,98.83936862,93.53,100
commit46--commit47,96.01,99.11792015,93.53,100
commit47--commit48,96.62666667,99.25719591,93.53,100
commit48--commit49,97.49333333,95.56198746,91.21,95.33851276
commit49--commit50,99.31666667,95.94790159,89.85,95.33851276
commit50--commit51,98.11,99.5821727,93.53,100
commit51--commit52,95.58333333,99.02506964,93.53,100
commit52--commit53,96.41333333,99.21077066,93.53,100
commit53--commit54,97.26333333,95.51374819,91.21,95.33851276
commit54--commit55,97.03666667,99.34738956,93.37,100
commit55--commit56,97.03333333,99.34738956,93.37,100
commit56--commit57,96.81,99.29718876,93.37,100
commit57--commit58,94.31666667,98.74497992,93.37,100
commit58--commit59,92.71666667,98.3935743,93.37,100
commit59--commit60,95.66666667,98.94578313,93.37,100
commit60--commit61,94.99,98.89558233,93.37,100
commit61--commit62,95.86,95.22431259,89.85,95.33851276
commit62--commit63,94.98,95.03135552,91.21,95.33851276
commit63--commit64,95.42333333,95.12783406,89.85,95.33851276
commit64--commit65,96.35,95.32079112,91.21,95.33851276
commit65--commit66,95.41333333,95.12783406,89.85,95.33851276
commit66--commit67,96.58,95.36903039,91.21,95.33851276
commit67--commit68,98.16666667,95.70670526,89.85,95.33851276
commit68--commit69,94.78333333,94.98311626,91.21,95.33851276
commit69--commit70,96.32,95.32079112,89.85,95.33851276
commit70--commit71,97.03333333,95.46550892,91.21,95.33851276
commit71--commit72,96.58333333,99.24698795,93.37,100
commit72--commit73,94.29666667,98.74497992,93.37,100
commit73--commit74,94.75666667,98.84538153,93.37,100
commit74--commit75,95.23333333,98.94578313,93.37,100
commit75--commit76,96.12333333,99.14658635,93.37,100
commit76--commit77,97.50333333,99.44779116,93.37,100
commit77--commit78,96.81,99.29718876,93.37,100
commit78--commit79,97.94666667,99.54819277,93.37,100
commit79--commit80,97.50333333,99.44779116,93.37,100
commit80--commit81,96.81666667,99.29718876,93.37,100
commit81--commit82,97.73,99.49799197,93.37,100
commit82--commit83,95.45333333,98.99598394,93.37,100
commit83--commit84,96.58,99.24698795,93.37,100
commit84--commit85,95.45,98.99598394,93.37,100
commit85--commit86,97.95333333,99.54819277,93.37,100
commit86--commit87,96.33666667,95.32079112,89.85,95.33851276
commit87--commit88,94.31333333,94.88663772,91.21,95.33851276
commit88--commit89,96.59,99.24698795,93.37,100
commit89--commit90,95.88,95.22431259,89.85,95.33851276
commit90--commit91,96.35666667,95.32079112,91.21,95.33851276
commit91--commit92,96.13,99.14658635,93.37,100
commit92--commit93,94.50333333,94.93487699,89.85,95.33851276
commit93--commit94,95.68,95.17607332,91.21,95.33851276
commit94--commit95,65.63666667,50.75268817,24.16,58.81826321
commit95--commit96,29.6,50.78853047,38.62,58.81826321
commit96--commit97,96.34666667,99.19678715,93.37,100
commit97--commit98,98.18666667,99.59839357,93.37,100
commit98--commit99,95.42,95.12783406,89.85,95.33851276
commit99--commit100,96.62333333,99.25719591,93.53,100
commit100--commit101,95.22,95.07959479,91.21,95.33851276
commit101--commit102,97.02666667,95.46550892,89.85,95.33851276
commit102--commit103,94.52666667,98.79294336,93.53,100
commit103--commit104,95.37,98.97864438,93.53,100
commit104--commit105,96.42666667,99.21077066,93.53,100
commit105--commit106,97.89333333,99.53574745,93.53,100
commit106--commit107,87.84,93.0758988,69.09,88.83034773
commit107--commit108,93.97666667,98.1764207,76.5,97.97979798
commit108--commit109,94.04666667,98.47715736,83.56,100
commit109--commit110,93.99333333,98.01184433,83.49,99.59758551
commit110--commit111,97.69333333,99.23857868,83.56,100
commit111--commit112,92.48666667,98.35025381,83.56,100
commit112--commit113,90.17666667,97.26430976,72.85,88.58921162
commit113--commit114,94.57333333,97.82244556,94.09,99.14346895
commit114--commit115,91.06666667,97.786132,91.71,99.24973205
commit115--commit116,93.36666667,98.54166667,94.12,100
commit116--commit117,94.7,98.83333333,94.12,100
commit117--commit118,91.86,96.95096827,74.88,96.8238691
commit118--commit119,94.26,98.73675632,76.56,100
commit119--commit120,94.45666667,98.77750611,76.56,100
commit120--commit121,92.8,98.32925835,76.56,100
commit121--commit122,92.60333333,98.12550937,74.51,99.2139738
commit122--commit123,92.97666667,98.45150774,74.61,99.2139738
commit123--commit124,83.9,92.98245614,86.36,89.93288591
commit124--commit125,96.25666667,99.18032787,95.59,100
commit125--commit126,93.57,97.86573535,93.33,97.23991507
commit126--commit127,91.87,98.03240741,92.16,100
commit127--commit128,94.88333333,98.88117284,92.16,100
commit128--commit129,92.22333333,98.30246914,92.16,100
commit129--commit130,90.30333333,97.80092593,92.16,100
commit130--commit131,95.77,99.07407407,92.16,100
commit131--commit132,94.36,98.7654321,92.16,100
commit132--commit133,93.28333333,95.54807333,80.1,94.59459459
commit133--commit134,92.54,98.03921569,86.03,100
commit134--commit135,81.39666667,95.44468547,82.53,93.90774587
commit135--commit136,92.06333333,97.98416127,88,100
commit136--commit137,86.31666667,96.26838895,86.55,99.1290578
commit137--commit138,89.90333333,97.67525036,85.92,100
commit138--commit139,96.26333333,98.57549858,78.17,98.96988906
commit139--commit140,92.86666667,98.33333333,82.48,100
commit140--commit141,91.77666667,98.15602837,82.48,100
commit141--commit142,96.94,99.14893617,82.48,100
commit142--commit143,92.75666667,98.33333333,82.48,100
commit143--commit144,93.07666667,98.29787234,82.48,100
commit144--commit145,95.47666667,99.0070922,82.48,100
commit145--commit146,92.57666667,98.36879433,82.48,100
commit146--commit147,94.35666667,98.68794326,82.48,100
commit147--commit148,86.03666667,96.03090973,82.48,98.0127186
commit148--commit149,95.06,98.92136395,88.3,100
commit149--commit150,96.99666667,98.60675723,88.3,100
commit150--commit151,98.72333333,99.72105997,88.3,100
commit151--commit152,95.55,99.0237099,88.3,100
commit152--commit153,95.39333333,98.9888424,88.3,100
commit153--commit154,93.20666667,98.50069735,88.3,100
commit154--commit155,93.98333333,98.67503487,88.3,100
commit155--commit156,95.87333333,99.09344491,88.3,100
commit156--commit157,97.14,99.37238494,88.3,99.84326019
commit157--commit158,95.37666667,98.9888424,87.63,99.76544175
commit158--commit159,94.59666667,98.81450488,88.34,100
commit159--commit160,91.39666667,98.11715481,88.34,100
commit160--commit161,96.66333333,99.26778243,88.34,100
commit161--commit162,96.34,99.19804742,88.34,100
commit162--commit163,93.15666667,98.50069735,88.34,100
commit163--commit164,94.9,98.88423989,88.34,100
commit164--commit165,95.22,98.9539749,88.34,100
commit165--commit166,94.27333333,98.53862213,87.99,99.68823071
commit166--commit167,95.41333333,98.99305556,88.38,100
