,ACDC,,,FCA,,
index,MOJOFM,A2A,MOJOFM,A2A
commit1--commit2,94.52,98.79518072289156,93.37,100.0
commit2--commit3,94.52,98.79518072289156,93.37,100.0
commit3--commit4,95.86,95.22431259044862,91.37,95.67147613762485
commit4--commit5,98.73,99.72144846796658,91.54,100.0
commit5--commit6,96.86,99.30362116991644,91.54,100.0
commit6--commit7,97.47,99.44289693593315,91.54,100.0
commit7--commit8,97.47,99.44289693593315,91.54,100.0
commit8--commit9,93.04,98.46796657381616,91.54,100.0
commit9--commit10,94.3,98.74651810584957,91.54,100.0
commit10--commit11,100.0,100.0,91.54,100.0
commit11--commit12,98.74,99.72144846796658,91.54,100.0
commit12--commit13,98.73,99.72144846796658,91.54,100.0
commit13--commit14,98.73,99.72144846796658,91.54,100.0
commit14--commit15,98.11,99.58217270194986,91.54,100.0
commit15--commit16,93.71,98.60724233983287,91.54,100.0
commit16--commit17,94.97,98.88579387186628,91.54,100.0
commit17--commit18,97.47,99.44289693593315,91.54,100.0
commit18--commit19,96.2,99.16434540389972,91.54,100.0
commit19--commit20,94.3,98.74651810584957,91.54,100.0
commit20--commit21,96.23,99.16434540389972,91.54,100.0
commit21--commit22,96.84,99.30362116991644,91.54,100.0
commit22--commit23,94.3,98.74651810584957,91.54,100.0
commit23--commit24,93.71,98.60724233983287,91.54,100.0
commit24--commit25,92.41,98.32869080779945,91.54,100.0
commit25--commit26,92.41,98.32869080779945,91.54,100.0
commit26--commit27,99.37,99.86072423398329,91.54,100.0
commit27--commit28,98.1,99.58217270194986,91.54,100.0
commit28--commit29,94.94,98.88579387186628,91.54,100.0
commit29--commit30,95.57,99.025069637883,91.54,100.0
commit30--commit31,98.1,99.58217270194986,91.54,100.0
commit31--commit32,98.11,99.58217270194986,91.54,100.0
commit32--commit33,96.84,99.30362116991644,91.54,100.0
commit33--commit34,96.2,99.16434540389972,91.54,100.0
commit34--commit35,100.0,100.0,91.54,100.0
commit35--commit36,96.6,95.36903039073806,92.86,95.67147613762485
commit36--commit37,96.55,95.36903039073806,89.85,95.338512763596
commit37--commit38,93.08,98.46796657381616,91.54,100.0
commit38--commit39,96.2,99.16434540389972,93.53,100.0
commit39--commit40,95.57,99.025069637883,93.53,100.0
commit40--commit41,97.26,95.51374819102749,91.21,95.338512763596
commit41--commit42,98.63,99.69879518072288,93.37,100.0
commit42--commit43,97.24,95.51374819102749,89.85,95.338512763596
commit43--commit44,96.2,99.16434540389972,93.53,100.0
commit44--commit45,94.34,98.74651810584957,93.53,100.0
commit45--commit46,92.41,98.32869080779945,93.53,100.0
commit46--commit47,91.82,98.18941504178274,93.53,100.0
commit47--commit48,94.3,98.74651810584957,93.53,100.0
commit48--commit49,98.64,95.80318379160637,91.21,95.338512763596
commit49--commit50,98.63,95.80318379160637,89.85,95.338512763596
commit50--commit51,98.11,99.58217270194986,93.53,100.0
commit51--commit52,93.08,98.46796657381616,93.53,100.0
commit52--commit53,94.94,98.88579387186628,93.53,100.0
commit53--commit54,95.21,95.07959479015919,91.21,95.338512763596
commit54--commit55,99.32,99.84939759036145,93.37,100.0
commit55--commit56,100.0,100.0,93.37,100.0
commit56--commit57,97.95,99.54819277108435,93.37,100.0
commit57--commit58,96.6,99.24698795180723,93.37,100.0
commit58--commit59,95.21,98.94578313253012,93.37,100.0
commit59--commit60,97.95,99.54819277108435,93.37,100.0
commit60--commit61,96.58,99.24698795180723,93.37,100.0
commit61--commit62,97.24,95.51374819102749,89.85,95.338512763596
commit62--commit63,96.58,95.36903039073806,91.21,95.338512763596
commit63--commit64,97.26,95.51374819102749,89.85,95.338512763596
commit64--commit65,97.26,95.51374819102749,91.21,95.338512763596
commit65--commit66,95.86,95.22431259044862,89.85,95.338512763596
commit66--commit67,95.21,95.07959479015919,91.21,95.338512763596
commit67--commit68,98.62,95.80318379160637,89.85,95.338512763596
commit68--commit69,98.63,95.80318379160637,91.21,95.338512763596
