,ACDC,,,FCA
index,MOJOFM,A2A,MOJOFM,A2A
commit1--commit2,92.86,97.88359788,88.54,100
commit2--commit3,98.81,99.73544974,88.54,100
commit3--commit4,95.24,98.94179894,88.54,100
commit4--commit5,87.95,94.83204134,78.12,94.9339207
commit5--commit6,100,100,87.25,100
commit6--commit7,96.55,99.24242424,87.25,100
commit7--commit8,100,100,87.25,100
commit8--commit9,95.4,98.98989899,87.25,100
commit9--commit10,93.1,98.23232323,87.25,100
commit10--commit11,91.95,96.75810474,73.53,94.9044586
commit11--commit12,86.36,97.04433498,88.35,100
commit12--commit13,97.73,99.50738916,88.35,100
commit13--commit14,96.59,99.26108374,88.35,100
commit14--commit15,96.59,99.26108374,88.35,100
commit15--commit16,100,98.30508475,88.35,98.54469854
commit16--commit17,76.92,93.31742243,78.85,96.57794677
commit17--commit18,83.7,96.41148325,75.81,100
commit18--commit19,85.71,96.88995215,75.81,100
commit19--commit20,81.52,95.47619048,79.75,77.59433962
commit20--commit21,88.04,97.39336493,100,100
commit21--commit22,82.8,95.73459716,100,100
commit22--commit23,83.87,96.44549763,100,100
commit23--commit24,83.87,95.76470588,90.74,76.04938272
commit24--commit25,80.65,95.09345794,88.7,100
commit25--commit26,91.49,97.6635514,88.7,100
commit26--commit27,88.3,97.42990654,88.7,100
commit27--commit28,91.49,98.13084112,88.7,100
commit28--commit29,81.93,87.09677419,76.04,91.09730849
