,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
commit1--commit2,95.73,99.02687673772012,92.38,100.0
commit2--commit3,93.51,98.471514590088,92.38,100.0
commit3--commit4,94.3,98.70370370370371,92.38,100.0
commit4--commit5,96.95,99.21259842519686,92.38,100.0
commit5--commit6,94.11,98.61046780917091,92.38,100.0
commit6--commit7,92.31,97.96578825705039,77.76,94.83585392843969
commit7--commit8,94.5,98.56614246068455,80.73,94.83585392843969
commit8--commit9,90.63,97.64216366158114,77.76,94.83585392843969
commit9--commit10,92.73,98.24642362713428,74.67,100.0
commit10--commit11,92.9,98.19611470860315,80.73,94.83585392843969
commit11--commit12,94.73,98.79518072289156,92.38,100.0
commit12--commit13,95.11,98.88785912882298,92.38,100.0
commit13--commit14,92.87,98.3325613710051,92.38,100.0
commit14--commit15,98.17,99.58333333333333,92.38,100.0
commit15--commit16,97.76,99.39786938397405,92.38,100.0
commit16--commit17,93.29,98.4251968503937,92.38,100.0
commit17--commit18,92.29,97.77674849467346,92.38,100.0
commit18--commit19,94.31,98.37812789620018,92.38,100.0
commit19--commit20,93.9,98.56415006947661,92.38,100.0
commit20--commit21,95.12,98.88888888888889,92.38,100.0
commit21--commit22,95.52,98.6574074074074,92.38,100.0
commit22--commit23,93.72,98.471514590088,92.38,100.0
commit23--commit24,97.77,99.4902687673772,92.38,100.0
commit24--commit25,95.53,98.9805375347544,92.38,100.0
commit25--commit26,95.93,99.07321594068583,92.38,100.0
commit26--commit27,91.85,98.10097267253359,92.38,100.0
commit27--commit28,93.29,98.3788791106994,92.38,100.0
commit28--commit29,94.7,98.79518072289156,92.38,100.0
commit29--commit30,95.13,98.88785912882298,92.38,100.0
commit30--commit31,94.91,98.84151992585728,92.38,100.0
commit31--commit32,96.54,99.11996294580825,92.38,100.0
commit32--commit33,93.91,98.19360815192219,92.38,100.0
commit33--commit34,95.33,98.88837424733673,82.83,90.99567099567099
commit34--commit35,93.91,98.51783232978231,85.89,90.99567099567099
commit35--commit36,92.46,98.10185185185185,82.83,90.99567099567099
commit36--commit37,97.96,99.53746530989824,94.99,100.0
commit37--commit38,93.48,98.51988899167438,94.99,100.0
commit38--commit39,94.51,98.75115633672526,94.99,100.0
commit39--commit40,96.75,99.25994449583719,94.99,100.0
commit40--commit41,96.15,99.0282276723739,94.99,100.0
commit41--commit42,95.93,99.0282276723739,94.99,100.0
commit42--commit43,91.45,97.9639055992596,94.99,100.0
commit43--commit44,98.78,99.72222222222223,94.99,100.0
commit44--commit45,94.12,98.6574074074074,94.99,100.0
commit45--commit46,94.91,98.7968533086534,94.99,100.0
commit46--commit47,96.35,99.16743755781684,94.99,100.0
commit47--commit48,94.72,98.79740980573543,94.99,100.0
commit48--commit49,99.39,99.86123959296947,94.99,100.0
commit49--commit50,93.09,98.2415548357242,94.99,100.0
commit50--commit51,94.73,98.79629629629629,94.99,100.0
commit51--commit52,96.14,99.07450254511801,94.99,100.0
commit52--commit53,94.91,98.84366327474561,94.99,100.0
commit53--commit54,97.76,99.3984266543267,94.99,100.0
commit54--commit55,96.74,99.16705229060621,94.99,100.0
commit55--commit56,92.68,98.2415548357242,94.99,100.0
commit56--commit57,96.14,99.07450254511801,94.99,100.0
commit57--commit58,94.7,98.79740980573543,94.99,100.0
commit58--commit59,95.33,98.93617021276596,94.99,100.0
commit59--commit60,92.49,98.1952799629801,94.99,100.0
commit60--commit61,93.28,98.3341045812124,94.99,100.0
commit61--commit62,94.92,98.75231053604436,94.99,100.0
commit62--commit63,94.12,98.47926267281106,87.16,91.04606112785191
commit63--commit64,95.34,98.94204231830727,88.95,100.0
commit64--commit65,100.0,100.0,88.95,100.0
commit65--commit66,96.15,99.033594109526,88.95,100.0
commit66--commit67,96.36,99.12563276576162,88.95,100.0
commit67--commit68,95.14,98.89604415823368,88.95,100.0
commit68--commit69,95.14,98.89604415823368,88.95,100.0
commit69--commit70,92.34,98.15922687528762,88.95,100.0
commit70--commit71,95.13,98.38560885608855,82.4,91.04606112785191
commit71--commit72,90.87,97.87528868360276,94.99,100.0
commit72--commit73,94.93,98.75288683602771,94.99,100.0
commit73--commit74,92.28,98.1986143187067,94.99,100.0
commit74--commit75,95.14,98.75403784033226,86.13,91.01123595505618
commit75--commit76,96.36,99.07706506691278,92.41,100.0
commit76--commit77,93.54,98.47715736040608,82.9,91.10535405872193
commit77--commit78,96.55,98.70848708487084,94.99,99.82078853046595
commit78--commit79,95.55,98.98523985239852,95.0,100.0
commit79--commit80,92.94,98.38560885608855,95.0,100.0
commit80--commit81,97.17,99.30843706777317,95.0,100.0
commit81--commit82,92.28,97.69691386457853,87.13,90.79569892473118
