,ACDC,,,FCA,,
index,MOJOFM,A2A,MOJOFM,A2A
commit111--commit113,94.8,98.35858585858585,72.85,88.58921161825725
commit112--commit114,94.71,97.34848484848484,72.48,87.96680497925311
commit113--commit115,93.06,97.24310776942356,91.63,98.39228295819936
commit114--commit116,97.14,99.12280701754386,91.71,99.2497320471597
commit115--commit117,90.34,97.625,94.12,100.0
commit116--commit118,90.4,96.78615574783683,74.88,96.82386910490857
commit117--commit119,90.91,96.9097651421508,74.88,96.82386910490857
commit118--commit120,93.89,98.41075794621027,76.56,100.0
commit119--commit121,94.44,98.77750611246944,76.56,100.0
commit120--commit122,91.71,97.79951100244499,74.51,99.21397379912665
commit121--commit123,92.82,98.41075794621027,76.56,100.0
commit122--commit124,81.82,92.34449760765551,83.88,89.44337811900192
commit123--commit125,81.82,92.58373205741627,86.36,89.93288590604027
commit124--commit126,91.94,97.67171129220024,93.33,97.23991507430998
commit125--commit127,94.65,97.90454016298021,93.33,97.23991507430998
commit126--commit128,89.95,97.80092592592592,92.16,100.0
commit127--commit129,93.12,98.26388888888889,92.16,100.0
commit128--commit130,93.12,98.49537037037037,92.16,100.0
commit129--commit131,93.12,98.49537037037037,92.16,100.0
commit130--commit132,95.24,98.95833333333334,92.16,100.0
commit131--commit133,93.12,95.51066217732884,80.1,94.5945945945946
commit132--commit134,88.24,94.50056116722784,80.1,94.5945945945946
commit133--commit135,75.0,93.70932754880694,82.53,93.9077458659704
commit134--commit136,74.63,93.8177874186551,82.53,93.9077458659704
commit135--commit137,89.66,96.9860064585576,86.55,99.12905779889152
commit136--commit138,90.64,97.6318622174381,86.55,99.12905779889152
commit137--commit139,97.07,98.93162393162393,78.17,98.96988906497623
commit138--commit140,90.64,97.54273504273505,78.17,98.96988906497623
commit139--commit141,99.52,99.8936170212766,82.48,100.0
commit140--commit142,88.89,97.44680851063829,82.48,100.0
commit141--commit143,93.24,98.51063829787235,82.48,100.0
commit142--commit144,92.75,98.19148936170212,82.48,100.0
commit143--commit145,91.75,98.19148936170212,82.48,100.0
commit144--commit146,90.29,97.87234042553192,82.48,100.0
commit145--commit147,92.72,98.40425531914893,82.48,100.0
commit146--commit148,89.27,96.73340358271865,82.48,98.0127186009539
commit147--commit149,87.8,96.4172813487882,82.48,98.0127186009539
commit148--commit150,94.79,98.11912225705329,88.3,100.0
commit149--commit151,95.73,98.32810867293625,88.3,100.0
commit150--commit152,95.22,98.9539748953975,88.3,100.0
commit151--commit153,98.57,99.68619246861925,88.3,100.0
commit152--commit154,89.57,97.69874476987448,88.3,100.0
commit153--commit155,98.58,99.68619246861925,88.3,100.0
commit154--commit156,89.05,97.59414225941423,88.3,100.0
commit155--commit157,97.14,99.3723849372385,88.3,99.84326018808778
commit156--commit158,96.17,99.16317991631799,87.59,99.60845732184808
commit157--commit159,92.82,98.43096234309623,87.63,99.76544175136826
commit158--commit160,95.24,98.9539748953975,88.34,100.0
commit159--commit161,92.86,98.43096234309623,88.34,100.0
commit160--commit162,94.76,98.84937238493724,88.34,100.0
commit161--commit163,95.22,98.9539748953975,88.34,100.0
commit162--commit164,94.74,98.84937238493724,88.34,100.0
commit163--commit165,94.29,98.74476987447699,88.34,100.0
commit164--commit166,96.17,98.95615866388309,87.99,99.68823070927513
commit165--commit167,99.05,99.58246346555325,87.99,99.68823070927513
commit166--commit168,96.21,99.16666666666667,88.38,100.0
commit167--commit169,98.57,99.6875,88.38,100.0
commit168--commit170,93.81,98.64583333333333,88.38,100.0
commit169--commit171,96.19,99.16666666666667,88.38,100.0
commit170--commit172,94.26,98.75,88.03,99.92223950233281
commit171--commit173,91.43,98.125,88.03,99.92223950233281
commit172--commit174,95.71,99.0625,88.38,100.0
commit173--commit175,97.62,99.47916666666666,88.38,100.0
commit174--commit176,96.65,99.27083333333333,88.38,100.0
commit175--commit177,97.62,99.47916666666666,88.38,100.0
commit176--commit178,98.56,99.6875,88.38,100.0
commit177--commit179,97.62,99.47916666666666,88.38,100.0
commit178--commit180,99.04,99.79166666666667,88.38,100.0
commit179--commit181,93.84,98.64583333333333,88.38,100.0
