NMF,TotalAddLines,TotalDeleteLines,LC,LC_1,FileAdd,FileDelete,NAD,NUC,AGE,NMS,NMD,Entropy ,MLMF,NDVE,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a,Tag
1,5,5,0,10,0,0,0,89,133,1,1,0.0,1038,11,27,27,208,208,0,4998,4998,0,90,90,0,0,100.0,NoArch
4,65,51,14,116,1,0,1,5,0,1,4,0.984268642,1240,1,29,29,163,162,1,5344,5258,86,92,92,0,0,100.0,NoArch
1,6,16,10,22,0,0,0,2,1669,1,1,0.0,252,2,62,3,34,36,2,888,926,38,15,15,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,739,71,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,66,7,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,716,67,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,140,140,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
4,7,5,2,12,0,0,0,330,110,1,4,1.79248125,4858,1,2043,37,1148,1147,1,32146,32116,30,211,211,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,161,161,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
2,88,30,58,118,0,0,0,2,2,1,2,0.95285881,386,1,19,12,73,56,17,3441,2960,481,31,26,5,0,100.0,NoArch
1,1,1,0,2,0,0,0,5,0,1,1,0.0,264,3,41,6,42,42,0,995,988,7,14,14,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,188,13,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
1,32,24,8,56,0,0,0,112,10,1,1,0.0,2572,15,41,5,526,526,0,12620,12562,58,83,83,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,79,65,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
1,14,4,10,18,0,0,0,383,0,1,1,0.0,11038,27,11,9,1309,1305,4,35642,35549,93,663,663,0,1,100.0,NoArch
1,19,28,9,47,0,0,0,81,20,1,1,0.0,854,12,530,11,120,122,2,3153,3199,46,61,61,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,88,5,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
