CommitID,Filename,complexity,token_count
,JsonDecoder.java,73,2156
,JsonEncoder.java,39,1312
,ResolvingGrammarGenerator.java,76,1729
,ValidatingGrammarGenerator.java,23,611
,TestSchema.java,27,1632
f736dfd4dd6089d9323cf7290ca7852c9dd045cd,DataFileWriter.java,21,1065
,GenericDatumWriter.java,63,1375
,ReflectDatumWriter.java,8,248
,BarRecord.java,6,130
,FooRecord.java,6,108
,TestDataFileReflect.java,7,794
73b69bc59c61294a6689b695342e7f9d6b48db90,BlockingBinaryEncoder.java,89,2752
,TestBlockingIO2.java,3,930
b9821a460520ea9c7f5bcc6cb35a33c725295f44,BinaryDecoder.java,50,1149
,Decoder.java,1,278
,GenerateBlockingData.java,6,381
a1ea81add49b8684f979988f342193a547795fb0,SpecificCompiler.java,75,1964
710e2379a2ef1c5c4d2cf6ada9e0dc49795f5c86,BarRecord.java,6,130
,FooRecord.java,6,108
97a5793f050400d38b07d4fbab0539809ce579ff,ReflectData.java,68,2009
,ReflectDatumWriter.java,10,302
,ReflectRequestor.java,14,607
,ReflectResponder.java,30,774
,SpecificRequestor.java,8,344
,BarRecord.java,7,155
,TestDataFileReflect.java,9,1018
,TestReflect.java,21,847
acba0fcdc047d14f0a28a88aec0a9b8b0cf524f8,Protocol.java,69,1891
,Schema.java,198,4554
b062afaea6c4534bea3e2ec1387afb549da72570,BinaryData.java,59,1315
,TestCompare.java,15,1094
490d0c72dc345c4683e9099e8f2b5244cffb868a,GenericArray.java,0,46
,GenericContainer.java,0,28
,GenericData.java,144,2940
,GenericDatumReader.java,129,2873
,GenericDatumWriter.java,37,1055
,GenericRecord.java,0,30
,BinaryData.java,59,1315
,ReflectData.java,73,2124
,ReflectDatumWriter.java,8,229
,ReflectRequestor.java,14,610
,ReflectResponder.java,30,775
,SpecificCompiler.java,75,1964
,SpecificData.java,9,262
,SpecificExceptionBase.java,2,101
,SpecificRecord.java,0,44
,SpecificRecordBase.java,13,341
,SpecificRequestor.java,8,335
,Utf8.java,18,404
,RandomData.java,29,987
,TestCompare.java,20,1584
,TestDataFileReflect.java,9,1022
,TestReflect.java,21,852
,TestSchema.java,27,1657
b43975aa1e773cd471f5771d7c7faac7a0f73a7c,Schema.java,204,4735
,GenericData.java,146,2984
,BinaryData.java,53,1250
,SpecificData.java,11,323
,TestCompare.java,20,1683
604f27bc286f17bb8b43c25c1aa3302882c80395,ParsingEncoder.java,8,207
,TestResolvingIO_resolving.java,4,501
e6994922462bdae76cceebdd19515a76f15497bf,/,0,0
12b51f98003fb0af5966eb6710a8270d69dd7ee3,/,0,0
116a973813541d4f6ca000ae27090074871e714e,/,0,0
