CommitID,Filename,complexity,token_count
751a179769ed29c686558cd618a7934754b6691f,ReflectData.java,66,1906
,ReflectDatumReader.java,18,590
,ReflectDatumWriter.java,9,298
,TestReflect.java,13,500
e2e7fd906abe882be5d9ffa6f8ce0ef9025f7107,GenericDatumReader.java,129,2864
0039f146bd31549fee2b80119a3c977a5072a5d5,GenericDatumReader.java,129,2862
,GenericDatumWriter.java,62,1360
,Decoder.java,1,287
,JsonDecoder.java,72,2162
,JsonEncoder.java,38,1317
,ParsingDecoder.java,16,348
,ParsingEncoder.java,8,207
,ParsingTable.java,,
,ResolvingDecoder.java,28,903
,ResolvingTable.java,,
,ValidatingDecoder.java,37,1111
,ValidatingEncoder.java,27,933
,JsonGrammarGenerator.java,18,453
,Parser.java,18,440
,ResolvingGrammarGenerator.java,76,1733
,SkipParser.java,8,256
,Symbol.java,42,1628
,ValidatingGrammarGenerator.java,23,615
,ReflectDatumWriter.java,9,298
,TestSchema.java,26,1366
,TestParsingTable.java,,
,TestResolvingIO.java,15,1244
,TestResolvingTable.java,,
,TestValidatingIO.java,140,4023
f352f56536e1855bdb97208b23f65c659eed3b69,AvroRuntimeException.java,2,40
,AvroTypeException.java,1,27
,Protocol.java,68,1874
,Schema.java,203,4672
,SchemaParseException.java,2,40
,DataFileReader.java,38,1240
,DataFileWriter.java,19,966
,SeekableFileInput.java,4,110
,SeekableInput.java,0,61
,GenericArray.java,0,44
,GenericData.java,97,2051
,GenericDatumReader.java,129,2862
,GenericFixed.java,0,21
,GenericRecord.java,0,42
,GenericRequestor.java,4,244
,GenericResponder.java,4,200
,BinaryDecoder.java,50,1149
,BinaryEncoder.java,36,1383
,BlockingBinaryEncoder.java,88,2734
,DatumWriter.java,0,52
,Decoder.java,1,278
,Encoder.java,3,337
,JsonDecoder.java,72,2137
,JsonEncoder.java,38,1297
,ParsingDecoder.java,16,348
,ParsingEncoder.java,8,207
,ResolvingDecoder.java,28,903
,ValidatingDecoder.java,37,1111
,ValidatingEncoder.java,27,933
,JsonGrammarGenerator.java,18,453
,Parser.java,18,438
,ResolvingGrammarGenerator.java,76,1733
,SkipParser.java,8,254
,Symbol.java,42,1628
,ValidatingGrammarGenerator.java,23,615
,AvroRemoteException.java,5,94
,ByteBufferInputStream.java,12,324
,ByteBufferOutputStream.java,11,392
,Requestor.java,20,1052
,Responder.java,19,1112
,SocketServer.java,13,470
,SocketTransceiver.java,12,413
,Transceiver.java,2,106
,FixedSize.java,0,83
,ReflectData.java,66,1907
,ReflectDatumReader.java,18,570
,ReflectDatumWriter.java,9,278
,ReflectRequestor.java,9,452
,ReflectResponder.java,29,748
,ProtocolTask.java,17,574
,SchemaTask.java,1,49
,SpecificCompiler.java,66,1820
,SpecificDatumReader.java,6,177
,SpecificDatumWriter.java,3,83
,SpecificExceptionBase.java,2,101
,SpecificFixed.java,1,69
,SpecificRecord.java,0,45
,SpecificRecordBase.java,12,300
,SpecificRequestor.java,4,219
,SpecificResponder.java,3,116
,Utf8.java,17,353
2034a4ee5bc4fd9623797590e1dbb411e4848787,TestDataFile.java,17,840
,TestFsData.java,13,803
,TestProtocolGeneric.java,15,1270
,TestProtocolReflect.java,1,151
,TestProtocolSpecific.java,15,1039
,TestReflect.java,13,498
,TestSchema.java,26,1364
,TestBinaryDecoder.java,9,388
,TestBlockingIO.java,65,3811
,TestResolvingIO.java,12,982
,TestResolvingIO_resolving.java,4,501
,TestValidatingIO.java,144,4184
,TestInvocationReporter.java,,
,TestOutputInterceptor.java,,
,TestSuiteInterceptor.java,,
62806bad9162f22afe69f01e97ea96321d83710a,RPCContext.java,17,356
,RPCPlugin.java,7,77
,Requestor.java,27,1252
,Responder.java,23,1270
,ReflectRequestor.java,11,516
,SpecificRequestor.java,6,283
,RPCMetaTestPlugin.java,14,1007
,TestProtocolGeneric.java,15,1270
,TestProtocolGenericMeta.java,1,175
,TestProtocolReflectMeta.java,1,216
,TestProtocolSpecific.java,15,1039
,TestProtocolSpecificMeta.java,1,227
79d571847ca673a23733377fdfd9a489017c499c,SeekableInput.java,0,61
,FixedSize.java,0,83
,ReflectDatumReader.java,18,570
,ReflectDatumWriter.java,9,278
,SpecificDatumReader.java,6,177
,SpecificDatumWriter.java,3,83
,SpecificRequestor.java,6,283
,SpecificResponder.java,3,116
a02c72575832bd9a451bd6d8fed62c7818eac611,SpecificCompiler.java,72,1882
e1d53e342f55f7ee51b8f4b04fc03aaa287712dd,Schema.java,197,4542
