@relation 'AvroData-weka.filters.unsupervised.attribute.Remove-R1-6,9-10,13_predicted'

@attribute JavaFileNum numeric
@attribute TotalChangedLines numeric
@attribute FileChangedNum numeric
@attribute predictedA2A numeric
@attribute A2A numeric

@data
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
4,51,0,95.843687,93.776824
0,0,0,99.998981,100
1,0,0,99.997533,100
24,378,14,93.526131,93.466425
61,66,0,93.339775,92.901879
0,0,0,99.998981,100
15,24,4,95.740914,97.593583
0,0,0,99.998981,100
12,641,6,96.480218,96.401028
0,0,0,99.998981,100
8,9,0,99.968119,100
1,11,0,99.993737,100
6,23,0,99.977163,100
6,229,3,95.160099,93.995381
2,168,1,97.43384,98.728814
3,85,1,99.594182,99.590164
0,0,0,99.998981,100
0,0,0,99.998981,100
1,7,0,99.993721,100
2,28,0,99.978295,100
8,163,0,99.97844,100
2,3,0,99.993726,100
0,0,0,99.998981,100
2,350,2,96.786459,96.746204
23,243,2,98.145576,98.394495
0,0,0,99.998981,100
5,43,0,99.960776,100
0,0,0,99.998981,100
2,34,0,99.992691,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
97,2508,33,82.41357,79.764706
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
12,221,4,95.076402,94.933921
1,12,0,99.993737,100
0,0,0,99.998981,100
1,3,0,99.994177,100
5,20,0,99.936037,100
0,0,0,99.998981,100
25,222,2,95.843153,94.904459
2,7,0,99.992955,100
0,0,0,99.998981,100
1,58,0,99.591691,100
0,0,0,99.998981,100
3,233,3,96.896599,98.544699
3,29,2,97.428971,96.577947
0,0,0,99.998981,100
0,0,0,99.998981,100
3,39,1,84.133247,77.59434
0,0,0,99.998981,100
0,0,0,99.998981,100
1,1,0,99.997567,100
3,41,1,83.301078,76.049383
3,3,0,99.985314,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
52,831,13,91.73921,91.097308
0,0,0,99.998981,100
0,0,0,99.998981,100
13,1089,13,96.509892,95.671476
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
3,32,0,99.994888,100
2,16,0,99.992999,100
1,3,0,99.994177,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
17,1134,13,95.420596,95.671476
20,1165,13,95.256734,95.338513
2,15,0,99.992999,100
20,204,0,99.562348,100
0,0,0,99.998981,100
42,1384,13,95.339793,95.338513
0,0,0,99.998981,100
42,1384,13,95.339793,95.338513
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
42,1384,13,95.339793,95.338513
42,1384,13,95.339793,95.338513
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
42,1384,13,95.339793,95.338513
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
3,32,0,99.994888,100
39,1352,13,95.355313,95.338513
38,1355,13,95.35532,95.338513
38,1355,13,95.35532,95.338513
36,1340,13,95.339799,95.338513
36,1340,13,95.339799,95.338513
36,1340,13,95.339799,95.338513
36,1340,13,95.339799,95.338513
36,1340,13,95.339799,95.338513
36,1340,13,95.339799,95.338513
36,1340,13,95.339799,95.338513
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
36,1340,13,95.339799,95.338513
36,1340,13,95.339799,95.338513
0,0,0,99.998981,100
36,1340,13,95.339799,95.338513
36,1340,13,95.339799,95.338513
0,0,0,99.998981,100
36,1340,13,95.339799,95.338513
36,1340,13,95.339799,95.338513
158,24136,158,61.223209,58.818263
158,24136,158,61.223209,58.818263
0,0,0,99.998981,100
0,0,0,99.998981,100
36,1340,13,95.339799,95.338513
0,0,0,99.998981,100
36,1340,13,95.339799,95.338513
36,1340,13,95.339799,95.338513
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
0,0,0,99.998981,100
29,1566,15,90.398192,88.830348
3,140,1,97.992878,97.979798
0,0,0,99.998981,100
1,0,0,99.997533,99.597586
2,38,0,99.992509,100
0,0,0,99.998981,100
4,237,2,91.57723,88.589212
3,0,0,99.88991,99.143469
3,165,1,99.044195,99.249732
7,89,0,99.979808,100
0,0,0,99.998981,100
4,635,4,97.791889,96.823869
3,12,0,99.992375,100
22,34,0,99.315638,100
2,3,0,99.993726,100
3,309,0,99.312149,99.213974
3,309,0,99.312149,99.213974
29,761,10,91.190759,89.932886
1,2,0,99.183165,100
5,385,2,97.074478,97.239915
6,72,0,99.981915,100
2,37,0,99.992509,100
1,6,0,99.993721,100
0,0,0,99.998981,100
3,8,0,99.992339,100
0,0,0,99.998981,100
14,2354,13,93.930844,94.594595
1,1,0,99.997567,100
27,40,1,94.927811,93.907746
2,2,0,99.991025,100
4,279,1,98.704086,99.129058
4,65,0,99.9828,100
8,629,2,98.312698,98.969889
3,221,0,99.719873,100
1,7,0,99.993721,100
2,1,0,99.997683,100
0,0,0,99.998981,100
2,16,0,99.992999,100
2,30,0,99.849294,100
0,0,0,99.998981,100
0,0,0,99.998981,100
13,794,4,97.483711,98.012719
