@relation 'SampleData-weka.filters.unsupervised.attribute.Remove-R1-6,9-10,12-13,15-16,18-19,22'

@attribute JavaFileNum numeric
@attribute TotalChangedLines numeric
@attribute FileChangedNum numeric
@attribute changedComplexity numeric
@attribute changedToken numeric
@attribute ChangedMethodNum numeric
@attribute A2A numeric

@data
4,502,2,63,3053,25,96.495655
2,94,1,8,322,2,96.645161
2,148,1,11,829,10,86.852086
13,2158,7,281,13228,138,89.134438
2,33,1,0,59,0,90.995671
15,423,0,48,2142,19,90.664557
6,195,1,13,1106,13,89.303691
3,343,2,63,2321,10,94.835854
3,343,2,63,2321,10,94.835854
15,448,2,64,2339,11,94.835854
5,331,2,62,2227,8,94.835854
2,33,1,0,59,0,90.995671
2,33,1,0,59,0,90.995671
2,33,1,0,59,0,90.995671
3,334,2,60,2274,10,91.046061
2,331,2,60,2303,10,91.046061
2,37,1,2,237,1,91.011236
1,2,0,0,22,0,91.105354
7,125,3,40,1219,1,90.795699
10,116,3,37,1004,3,90.795699
2,18,0,3,122,1,87.116837
9,1543,3,250,8598,143,87.872683
327,1938,7,293,10654,163,87.891101
2,37,1,2,237,1,91.011236
1,2,0,0,22,0,91.105354
2,18,0,3,122,1,87.116837
9,1543,3,250,8598,143,87.872683
15,423,0,48,2142,19,90.664557
15,423,0,48,2142,19,90.664557
15,423,0,48,2142,19,90.664557
331,1889,8,264,9830,166,86.443515
331,1889,8,264,9830,166,86.443515
6,195,1,13,1106,13,89.303691
21,1446,13,87,5498,68,88.337574
20,1446,13,87,5496,68,88.337574
39,2028,15,129,9375,93,87.483981
6,195,1,13,1106,13,89.303691
18,613,6,96,3028,16,97.371715
18,613,6,96,3028,16,97.371715
26,1013,5,152,5699,33,97.290538
6,714,5,115,3776,19,97.373906
30,1360,9,186,7288,55,96.890547
30,1343,9,186,7288,55,96.890547
9,1049,9,149,5321,41,96.973466
45,173,0,0,1529,0,90.368509
18,901,10,98,3814,61,90.463725
6,184,2,17,824,11,95.401869
16,130,1,15,759,14,95.064541
97,340,1,10,2458,2,95.490057
3,32,3,1,127,1,90.270889
8,84,3,3,156,3,90.296181
14,225,2,50,1493,9,93.598312
23,674,7,83,3344,44,92.571429
27,53,0,3,587,1,97.378178
41,5112,40,430,27752,258,89.338235
13,20,4,2,5,1,92.232683
22,17,0,6,170,2,95.834925
40,0,0,0,184,0,90.769767
65,395,2,41,2538,33,90.655509
40,0,0,0,184,0,90.750436
21,1644,4,195,9425,134,95.003353
46,1249,6,154,7067,101,94.864048
46,1249,6,154,7067,101,94.864048
47,1249,6,154,7065,101,94.864048
47,1249,6,154,7065,101,94.864048
47,1249,6,154,7065,101,94.864048
48,1249,6,154,7065,101,94.864048
47,1249,6,154,7065,101,94.864048
47,1249,6,154,7065,101,94.864048
47,1249,6,154,7065,101,94.864048
47,1249,6,154,7065,101,94.864048
51,1249,6,154,7057,101,94.864048
51,1249,6,154,7057,101,94.864048
51,1249,6,154,7057,101,94.864048
51,1249,6,154,7057,101,94.864048
53,1242,6,154,6999,101,94.864048
52,1242,6,154,6999,101,94.864048
52,1242,6,154,6999,101,94.864048
53,1242,6,154,6999,101,94.864048
2,51,1,3,191,1,89.359468
64,1197,7,166,6868,101,93.026992
64,1197,7,166,6868,101,93.026992
64,1197,7,166,6868,101,93.026992
64,1197,7,166,6868,101,93.026992
64,1197,7,166,6868,101,93.026992
64,1177,7,165,6802,100,93.026992
64,1196,7,166,6861,101,93.026992
64,1196,7,166,6861,101,93.026992
64,1199,7,166,6905,101,93.026992
64,1199,7,166,6905,101,93.026992
66,1201,7,166,6934,101,93.026992
66,1201,7,166,6934,101,93.026992
83,1207,7,162,6936,101,93.026992
84,1166,7,160,6621,99,93.026992
83,1207,7,162,6936,101,93.026992
2,51,1,3,191,1,92.382813
79,497,8,13,2645,41,88.79047
74,1292,6,172,7447,105,91.176471
76,1292,6,169,7435,105,91.176471
74,1292,6,172,7447,105,91.176471
77,1318,7,173,7455,106,92.610677
77,1318,7,173,7455,106,92.610677
77,1318,7,173,7455,106,92.610677
77,1318,7,173,7455,106,92.610677
75,1293,6,172,7446,105,92.67101
75,1293,6,172,7446,105,92.67101
76,1293,6,172,7445,105,92.67101
79,1284,6,172,7354,104,92.67101
75,1283,6,172,7339,104,92.67101
75,1283,6,172,7339,104,92.67101
75,1283,6,172,7339,104,92.67101
12,153,2,10,856,11,93.074004
