CommitID,FileName,FileMethodNum,CommitMethodNum,LastFileMethodNum,LastCommitMethodNum
,src/java/org/apache/avro/specific/SpecificRequestor.java,4,,4,
,src/java/org/apache/avro/specific/SpecificResponder.java,3,,3,
,src/java/org/apache/avro/util/Utf8.java,8,,8,
f03f432cc7d71b7969d56f9dc17ca264a3771650,/,0,0.0,0,0.0
2034a4ee5bc4fd9623797590e1dbb411e4848787,src/test/java/org/apache/avro/TestDataFile.java,8,132.0,8,135.0
,src/test/java/org/apache/avro/TestFsData.java,6,,6,
,src/test/java/org/apache/avro/TestProtocolGeneric.java,10,,10,
,src/test/java/org/apache/avro/TestProtocolReflect.java,1,,1,
,src/test/java/org/apache/avro/TestProtocolSpecific.java,13,,13,
,src/test/java/org/apache/avro/TestReflect.java,6,,6,
,src/test/java/org/apache/avro/TestSchema.java,24,,24,
,src/test/java/org/apache/avro/io/TestBinaryDecoder.java,9,,9,
,src/test/java/org/apache/avro/io/TestBlockingIO.java,17,,16,
,src/test/java/org/apache/avro/io/TestResolvingIO.java,8,,11,
,src/test/java/org/apache/avro/io/TestResolvingIO_resolving.java,4,,0,
,src/test/java/org/apache/avro/io/TestValidatingIO.java,26,,24,
,src/test/java/org/apache/avro/test/TestInvocationReporter.java,0,,2,
,src/test/java/org/apache/avro/test/TestOutputInterceptor.java,0,,3,
,src/test/java/org/apache/avro/test/TestSuiteInterceptor.java,0,,2,
eeb1023f9630a576bf8ea2d5b0e485f565e90e42,/,0,0.0,0,0.0
62806bad9162f22afe69f01e97ea96321d83710a,src/java/org/apache/avro/ipc/RPCContext.java,13,85.0,0,47.0
,src/java/org/apache/avro/ipc/RPCPlugin.java,7,,0,
,src/java/org/apache/avro/ipc/Requestor.java,9,,8,
,src/java/org/apache/avro/ipc/Responder.java,5,,4,
,src/java/org/apache/avro/reflect/ReflectRequestor.java,10,,8,
,src/java/org/apache/avro/specific/SpecificRequestor.java,6,,4,
,src/test/java/org/apache/avro/RPCMetaTestPlugin.java,9,,0,
,src/test/java/org/apache/avro/TestProtocolGeneric.java,10,,10,
,src/test/java/org/apache/avro/TestProtocolGenericMeta.java,1,,0,
,src/test/java/org/apache/avro/TestProtocolReflectMeta.java,1,,0,
,src/test/java/org/apache/avro/TestProtocolSpecific.java,13,,13,
,src/test/java/org/apache/avro/TestProtocolSpecificMeta.java,1,,0,
127800a158ce6d6af08e5b32e01e153ade03d474,/,0,0.0,0,0.0
79d571847ca673a23733377fdfd9a489017c499c,src/java/org/apache/avro/file/SeekableInput.java,0,35.0,0,35.0
,src/java/org/apache/avro/reflect/FixedSize.java,0,,0,
,src/java/org/apache/avro/reflect/ReflectDatumReader.java,10,,10,
,src/java/org/apache/avro/reflect/ReflectDatumWriter.java,7,,7,
,src/java/org/apache/avro/specific/SpecificDatumReader.java,6,,6,
,src/java/org/apache/avro/specific/SpecificDatumWriter.java,3,,3,
,src/java/org/apache/avro/specific/SpecificRequestor.java,6,,6,
,src/java/org/apache/avro/specific/SpecificResponder.java,3,,3,
a02c72575832bd9a451bd6d8fed62c7818eac611,src/java/org/apache/avro/specific/SpecificCompiler.java,16,16.0,15,15.0
e1d53e342f55f7ee51b8f4b04fc03aaa287712dd,src/java/org/apache/avro/Schema.java,100,194.0,106,199.0
,src/java/org/apache/avro/io/JsonDecoder.java,32,,32,
,src/java/org/apache/avro/io/JsonEncoder.java,23,,23,
,src/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java,9,,9,
,src/java/org/apache/avro/io/parsing/ValidatingGrammarGenerator.java,5,,5,
,src/test/java/org/apache/avro/TestSchema.java,25,,24,
f736dfd4dd6089d9323cf7290ca7852c9dd045cd,src/java/org/apache/avro/file/DataFileWriter.java,16,66.0,15,49.0
,src/java/org/apache/avro/generic/GenericDatumWriter.java,28,,27,
,src/java/org/apache/avro/reflect/ReflectDatumWriter.java,7,,7,
,src/test/java/org/apache/avro/BarRecord.java,5,,0,
,src/test/java/org/apache/avro/FooRecord.java,5,,0,
,src/test/java/org/apache/avro/TestDataFileReflect.java,5,,0,
73b69bc59c61294a6689b695342e7f9d6b48db90,src/java/org/apache/avro/io/BlockingBinaryEncoder.java,34,37.0,33,33.0
,src/test/java/org/apache/avro/io/TestBlockingIO2.java,3,,0,
b9821a460520ea9c7f5bcc6cb35a33c725295f44,src/java/org/apache/avro/io/BinaryDecoder.java,29,32.0,29,30.0
,src/java/org/apache/avro/io/Decoder.java,1,,1,
,src/test/java/org/apache/avro/GenerateBlockingData.java,2,,0,
c529c6d5821d89bfb3f37e2c6bb0ec9b83635899,/,0,0.0,0,0.0
a84db2bc15c8876d40993d29adfe22f8aa9601cd,/,0,0.0,0,0.0
a1ea81add49b8684f979988f342193a547795fb0,src/java/org/apache/avro/specific/SpecificCompiler.java,16,16.0,16,16.0
710e2379a2ef1c5c4d2cf6ada9e0dc49795f5c86,src/test/java/org/apache/avro/BarRecord.java,5,10.0,5,10.0
,src/test/java/org/apache/avro/FooRecord.java,5,,5,
97a5793f050400d38b07d4fbab0539809ce579ff,src/java/org/apache/avro/reflect/ReflectData.java,9,71.0,7,54.0
,src/java/org/apache/avro/reflect/ReflectDatumWriter.java,9,,7,
,src/java/org/apache/avro/reflect/ReflectRequestor.java,13,,10,
,src/java/org/apache/avro/reflect/ReflectResponder.java,9,,8,
,src/java/org/apache/avro/specific/SpecificRequestor.java,8,,6,
,src/test/java/org/apache/avro/BarRecord.java,5,,5,
,src/test/java/org/apache/avro/TestDataFileReflect.java,6,,5,
,src/test/java/org/apache/avro/TestReflect.java,12,,6,
acba0fcdc047d14f0a28a88aec0a9b8b0cf524f8,src/java/org/apache/avro/Protocol.java,31,131.0,31,131.0
,src/java/org/apache/avro/Schema.java,100,,100,
f49a465349ae11ffccfffb1ed0693363a8b28a87,/,0,0.0,0,0.0
b062afaea6c4534bea3e2ec1387afb549da72570,src/java/org/apache/avro/io/BinaryData.java,8,23.0,0,0.0
,src/test/java/org/apache/avro/TestCompare.java,15,,0,
490d0c72dc345c4683e9099e8f2b5244cffb868a,src/java/org/apache/avro/generic/GenericArray.java,0,254.0,0,232.0
,src/java/org/apache/avro/generic/GenericContainer.java,0,,0,
,src/java/org/apache/avro/generic/GenericData.java,39,,23,
,src/java/org/apache/avro/generic/GenericDatumReader.java,30,,30,
,src/java/org/apache/avro/generic/GenericDatumWriter.java,20,,28,
,src/java/org/apache/avro/generic/GenericRecord.java,0,,0,
,src/java/org/apache/avro/io/BinaryData.java,8,,8,
,src/java/org/apache/avro/reflect/ReflectData.java,14,,9,
,src/java/org/apache/avro/reflect/ReflectDatumWriter.java,7,,9,
,src/java/org/apache/avro/reflect/ReflectRequestor.java,13,,13,
,src/java/org/apache/avro/reflect/ReflectResponder.java,9,,9,
,src/java/org/apache/avro/specific/SpecificCompiler.java,16,,16,
,src/java/org/apache/avro/specific/SpecificData.java,5,,0,
,src/java/org/apache/avro/specific/SpecificExceptionBase.java,2,,2,
,src/java/org/apache/avro/specific/SpecificRecord.java,0,,0,
,src/java/org/apache/avro/specific/SpecificRecordBase.java,5,,4,
,src/java/org/apache/avro/specific/SpecificRequestor.java,8,,8,
,src/java/org/apache/avro/util/Utf8.java,9,,8,
,src/test/java/org/apache/avro/RandomData.java,7,,7,
,src/test/java/org/apache/avro/TestCompare.java,19,,15,
,src/test/java/org/apache/avro/TestDataFileReflect.java,6,,6,
,src/test/java/org/apache/avro/TestReflect.java,12,,12,
,src/test/java/org/apache/avro/TestSchema.java,25,,25,
c454652c1cd491976b894dc293856c8f73495725,/,0,0.0,0,0.0
b43975aa1e773cd471f5771d7c7faac7a0f73a7c,src/java/org/apache/avro/Schema.java,104,178.0,100,171.0
,src/java/org/apache/avro/generic/GenericData.java,39,,39,
,src/java/org/apache/avro/io/BinaryData.java,11,,8,
,src/java/org/apache/avro/specific/SpecificData.java,5,,5,
,src/test/java/org/apache/avro/TestCompare.java,19,,19,
7d83e93e0d50487125d747265d2aa325cdce029d,/,0,0.0,0,0.0
604f27bc286f17bb8b43c25c1aa3302882c80395,src/java/org/apache/avro/io/ParsingEncoder.java,5,9.0,5,9.0
,src/test/java/org/apache/avro/io/TestResolvingIO_resolving.java,4,,4,
d8d90987da6300e3c0a8741dfedc8109fee49da2,/,0,0.0,0,0.0
14c0ae1564cd6a067abb735c3b4f09ddf200910a,/,0,0.0,0,0.0
1dbb683d17f571213a8367d8e1306019063325d3,/,0,0.0,0,0.0
e6994922462bdae76cceebdd19515a76f15497bf,/,0,0.0,0,0.0
12b51f98003fb0af5966eb6710a8270d69dd7ee3,/,0,0.0,0,0.0
116a973813541d4f6ca000ae27090074871e714e,src/java/org/apache/avro/AvroRuntimeException.java,2,793.0,2,952.0
,src/java/org/apache/avro/AvroTypeException.java,1,,1,
,src/java/org/apache/avro/Protocol.java,31,,31,
,src/java/org/apache/avro/Schema.java,106,,104,
,src/java/org/apache/avro/SchemaParseException.java,2,,2,
,src/java/org/apache/avro/file/DataFileReader.java,18,,18,
,src/java/org/apache/avro/file/DataFileWriter.java,15,,16,
,src/java/org/apache/avro/file/SeekableFileInput.java,4,,4,
,src/java/org/apache/avro/file/SeekableInput.java,0,,0,
,src/java/org/apache/avro/generic/GenericArray.java,0,,0,
,src/java/org/apache/avro/generic/GenericContainer.java,0,,0,
,src/java/org/apache/avro/generic/GenericData.java,23,,39,
,src/java/org/apache/avro/generic/GenericDatumReader.java,30,,30,
,src/java/org/apache/avro/generic/GenericDatumWriter.java,27,,20,
,src/java/org/apache/avro/generic/GenericFixed.java,0,,0,
,src/java/org/apache/avro/generic/GenericRecord.java,0,,0,
,src/java/org/apache/avro/generic/GenericRequestor.java,4,,4,
,src/java/org/apache/avro/generic/GenericResponder.java,4,,4,
,src/java/org/apache/avro/io/BinaryData.java,0,,11,
,src/java/org/apache/avro/io/BinaryDecoder.java,29,,29,
,src/java/org/apache/avro/io/BinaryEncoder.java,31,,31,
,src/java/org/apache/avro/io/BlockingBinaryEncoder.java,33,,34,
,src/java/org/apache/avro/io/DatumWriter.java,0,,0,
,src/java/org/apache/avro/io/Decoder.java,2,,1,
,src/java/org/apache/avro/io/Encoder.java,3,,3,
,src/java/org/apache/avro/io/JsonDecoder.java,0,,32,
,src/java/org/apache/avro/io/JsonEncoder.java,0,,23,
,src/java/org/apache/avro/io/ParsingDecoder.java,0,,3,
,src/java/org/apache/avro/io/ParsingEncoder.java,0,,5,
,src/java/org/apache/avro/io/ParsingTable.java,30,,0,
,src/java/org/apache/avro/io/ResolvingDecoder.java,10,,9,
,src/java/org/apache/avro/io/ResolvingTable.java,33,,0,
,src/java/org/apache/avro/io/ValidatingDecoder.java,31,,26,
,src/java/org/apache/avro/io/ValidatingEncoder.java,23,,24,
,src/java/org/apache/avro/io/parsing/JsonGrammarGenerator.java,0,,2,
,src/java/org/apache/avro/io/parsing/Parser.java,0,,9,
,src/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java,0,,9,
,src/java/org/apache/avro/io/parsing/SkipParser.java,0,,4,
,src/java/org/apache/avro/io/parsing/Symbol.java,0,,35,
,src/java/org/apache/avro/io/parsing/ValidatingGrammarGenerator.java,0,,5,
,src/java/org/apache/avro/ipc/AvroRemoteException.java,4,,4,
,src/java/org/apache/avro/ipc/ByteBufferInputStream.java,5,,5,
,src/java/org/apache/avro/ipc/ByteBufferOutputStream.java,7,,7,
,src/java/org/apache/avro/ipc/RPCContext.java,0,,13,
,src/java/org/apache/avro/ipc/RPCPlugin.java,0,,7,
,src/java/org/apache/avro/ipc/Requestor.java,8,,9,
,src/java/org/apache/avro/ipc/Responder.java,4,,5,
,src/java/org/apache/avro/ipc/SocketServer.java,7,,7,
,src/java/org/apache/avro/ipc/SocketTransceiver.java,7,,7,
,src/java/org/apache/avro/ipc/Transceiver.java,2,,2,
,src/java/org/apache/avro/reflect/FixedSize.java,0,,0,
,src/java/org/apache/avro/reflect/ReflectData.java,6,,14,
,src/java/org/apache/avro/reflect/ReflectDatumReader.java,10,,10,
,src/java/org/apache/avro/reflect/ReflectDatumWriter.java,7,,7,
,src/java/org/apache/avro/reflect/ReflectRequestor.java,8,,13,
,src/java/org/apache/avro/reflect/ReflectResponder.java,8,,9,
,src/java/org/apache/avro/specific/ProtocolTask.java,6,,6,
,src/java/org/apache/avro/specific/SchemaTask.java,1,,1,
,src/java/org/apache/avro/specific/SpecificCompiler.java,15,,16,
,src/java/org/apache/avro/specific/SpecificData.java,0,,5,
,src/java/org/apache/avro/specific/SpecificDatumReader.java,6,,6,
,src/java/org/apache/avro/specific/SpecificDatumWriter.java,3,,3,
,src/java/org/apache/avro/specific/SpecificExceptionBase.java,2,,2,
,src/java/org/apache/avro/specific/SpecificFixed.java,1,,1,
,src/java/org/apache/avro/specific/SpecificRecord.java,0,,0,
,src/java/org/apache/avro/specific/SpecificRecordBase.java,4,,5,
,src/java/org/apache/avro/specific/SpecificRequestor.java,4,,8,
,src/java/org/apache/avro/specific/SpecificResponder.java,3,,3,
,src/java/org/apache/avro/util/Utf8.java,8,,9,
,src/test/java/org/apache/avro/BarRecord.java,0,,5,
,src/test/java/org/apache/avro/FooRecord.java,0,,5,
,src/test/java/org/apache/avro/GenerateBlockingData.java,0,,2,
,src/test/java/org/apache/avro/RPCMetaTestPlugin.java,0,,9,
,src/test/java/org/apache/avro/RandomData.java,7,,7,
,src/test/java/org/apache/avro/TestCompare.java,0,,19,
,src/test/java/org/apache/avro/TestDataFile.java,8,,8,
,src/test/java/org/apache/avro/TestDataFileReflect.java,0,,6,
,src/test/java/org/apache/avro/TestFsData.java,6,,6,
,src/test/java/org/apache/avro/TestProtocolGeneric.java,10,,10,
,src/test/java/org/apache/avro/TestProtocolGenericMeta.java,0,,1,
,src/test/java/org/apache/avro/TestProtocolReflect.java,1,,1,
,src/test/java/org/apache/avro/TestProtocolReflectMeta.java,0,,1,
,src/test/java/org/apache/avro/TestProtocolSpecific.java,13,,13,
,src/test/java/org/apache/avro/TestProtocolSpecificMeta.java,0,,1,
,src/test/java/org/apache/avro/TestReflect.java,3,,12,
,src/test/java/org/apache/avro/TestSchema.java,23,,25,
,src/test/java/org/apache/avro/io/TestBinaryDecoder.java,9,,9,
,src/test/java/org/apache/avro/io/TestBlockingIO.java,16,,17,
