CommitID,FileName,FromFile,ToFile,FileDeps,FilesDeps,CommitDeps
,ValidatingEncoder.java,8,1,9,,
,JsonGrammarGenerator.java,3,3,6,,
,Parser.java,4,9,13,,
,ResolvingGrammarGenerator.java,5,1,6,,
,SkipParser.java,2,3,5,,
,Symbol.java,0,11,11,,
,ValidatingGrammarGenerator.java,2,4,6,,
,AvroRemoteException.java,0,11,11,,
,ByteBufferInputStream.java,0,3,3,,
,ByteBufferOutputStream.java,0,3,3,,
,Requestor.java,47,6,53,,
,Responder.java,45,6,51,,
,SocketServer.java,2,4,6,,
,SocketTransceiver.java,1,5,6,,
,Transceiver.java,1,13,14,,
,FixedSize.java,1,2,3,,
,ReflectData.java,9,6,15,,
,ReflectDatumReader.java,5,5,10,,
,ReflectDatumWriter.java,6,4,10,,
,ReflectRequestor.java,12,2,14,,
,ReflectResponder.java,14,2,16,,
,ProtocolTask.java,2,1,3,,
,SchemaTask.java,2,0,2,,
,SpecificCompiler.java,2,2,4,,
,SpecificDatumReader.java,4,5,9,,
,SpecificDatumWriter.java,4,4,8,,
,SpecificExceptionBase.java,4,0,4,,
,SpecificFixed.java,2,0,2,,
,SpecificRecord.java,1,4,5,,
,SpecificRecordBase.java,2,1,3,,
,SpecificRequestor.java,10,1,11,,
,SpecificResponder.java,7,1,8,,
,Utf8.java,0,24,24,,
f03f432cc7d71b7969d56f9dc17ca264a3771650,/,0,0,0,0,361
2034a4ee5bc4fd9623797590e1dbb411e4848787,TestDataFile.java,10,0,10,98,5400
,TestFsData.java,12,0,12,,
,TestProtocolGeneric.java,14,0,14,,
,TestProtocolReflect.java,5,0,5,,
,TestProtocolSpecific.java,7,1,8,,
,TestReflect.java,9,0,9,,
,TestSchema.java,15,0,15,,
,TestBinaryDecoder.java,3,0,3,,
,TestBlockingIO.java,4,0,4,,
,TestResolvingIO.java,6,0,6,,
,TestResolvingIO_resolving.java,0,0,0,,
,TestValidatingIO.java,11,1,12,,
,TestInvocationReporter.java,0,0,0,,
,TestOutputInterceptor.java,0,0,0,,
,TestSuiteInterceptor.java,0,0,0,,
eeb1023f9630a576bf8ea2d5b0e485f565e90e42,/,0,0,0,0,364
62806bad9162f22afe69f01e97ea96321d83710a,RPCContext.java,0,0,0,148,4356
,RPCPlugin.java,0,0,0,,
,Requestor.java,46,6,52,,
,Responder.java,44,6,50,,
,ReflectRequestor.java,12,2,14,,
,SpecificRequestor.java,9,1,10,,
,RPCMetaTestPlugin.java,0,0,0,,
,TestProtocolGeneric.java,14,0,14,,
,TestProtocolGenericMeta.java,0,0,0,,
,TestProtocolReflectMeta.java,0,0,0,,
,TestProtocolSpecific.java,7,1,8,,
,TestProtocolSpecificMeta.java,0,0,0,,
127800a158ce6d6af08e5b32e01e153ade03d474,/,0,0,0,0,398
79d571847ca673a23733377fdfd9a489017c499c,SeekableInput.java,0,2,2,56,3176
,FixedSize.java,0,2,2,,
,ReflectDatumReader.java,4,5,9,,
,ReflectDatumWriter.java,5,4,9,,
,SpecificDatumReader.java,3,5,8,,
,SpecificDatumWriter.java,3,4,7,,
,SpecificRequestor.java,9,2,11,,
,SpecificResponder.java,6,2,8,,
a02c72575832bd9a451bd6d8fed62c7818eac611,SpecificCompiler.java,2,2,4,4,397
e1d53e342f55f7ee51b8f4b04fc03aaa287712dd,Schema.java,17,42,59,109,2382
,JsonDecoder.java,7,5,12,,
,JsonEncoder.java,9,2,11,,
,ResolvingGrammarGenerator.java,5,1,6,,
,ValidatingGrammarGenerator.java,2,4,6,,
,TestSchema.java,15,0,15,,
f736dfd4dd6089d9323cf7290ca7852c9dd045cd,DataFileWriter.java,4,3,7,34,2382
,GenericDatumWriter.java,9,9,18,,
,ReflectDatumWriter.java,5,4,9,,
,BarRecord.java,0,0,0,,
,FooRecord.java,0,0,0,,
,TestDataFileReflect.java,0,0,0,,
73b69bc59c61294a6689b695342e7f9d6b48db90,BlockingBinaryEncoder.java,4,2,6,6,816
,TestBlockingIO2.java,0,0,0,,
b9821a460520ea9c7f5bcc6cb35a33c725295f44,BinaryDecoder.java,7,9,16,83,1239
,Decoder.java,38,29,67,,
,GenerateBlockingData.java,0,0,0,,
c529c6d5821d89bfb3f37e2c6bb0ec9b83635899,/,0,0,0,0,421
a84db2bc15c8876d40993d29adfe22f8aa9601cd,/,0,0,0,0,421
a1ea81add49b8684f979988f342193a547795fb0,SpecificCompiler.java,2,2,4,4,420
710e2379a2ef1c5c4d2cf6ada9e0dc49795f5c86,BarRecord.java,1,1,2,3,840
,FooRecord.java,0,1,1,,
97a5793f050400d38b07d4fbab0539809ce579ff,ReflectData.java,9,7,16,89,3360
,ReflectDatumWriter.java,5,5,10,,
,ReflectRequestor.java,12,3,15,,
,ReflectResponder.java,14,3,17,,
,SpecificRequestor.java,9,2,11,,
,BarRecord.java,1,1,2,,
,TestDataFileReflect.java,9,0,9,,
,TestReflect.java,9,0,9,,
acba0fcdc047d14f0a28a88aec0a9b8b0cf524f8,Protocol.java,3,12,15,76,840
,Schema.java,17,44,61,,
f49a465349ae11ffccfffb1ed0693363a8b28a87,/,0,0,0,0,421
b062afaea6c4534bea3e2ec1387afb549da72570,BinaryData.java,0,0,0,0,840
,TestCompare.java,0,0,0,,
490d0c72dc345c4683e9099e8f2b5244cffb868a,GenericArray.java,0,8,8,234,9913
,GenericContainer.java,0,0,0,,
,GenericData.java,6,7,13,,
,GenericDatumReader.java,10,8,18,,
,GenericDatumWriter.java,9,11,20,,
,GenericRecord.java,1,6,7,,
,BinaryData.java,2,1,3,,
,ReflectData.java,9,7,16,,
