CommitID,FileNum,TotalAddLines,TotalDeleteLines,FileName,AddLines,DeleteLines,CodeLines,FileAdd,FileDelete
,,,,src/java/org/apache/avro/reflect/ReflectDatumWriter.java,0,2,67,,
,,,,src/java/org/apache/avro/reflect/ReflectRequestor.java,1,0,85,,
,,,,src/java/org/apache/avro/reflect/ReflectResponder.java,1,0,124,,
,,,,src/java/org/apache/avro/specific/ProtocolTask.java,3,2,105,,
,,,,src/java/org/apache/avro/specific/SchemaTask.java,1,0,28,,
,,,,src/java/org/apache/avro/specific/SpecificCompiler.java,2,1,269,,
,,,,src/java/org/apache/avro/specific/SpecificDatumReader.java,1,1,48,,
,,,,src/java/org/apache/avro/specific/SpecificDatumWriter.java,1,1,36,,
,,,,src/java/org/apache/avro/specific/SpecificExceptionBase.java,1,0,40,,
,,,,src/java/org/apache/avro/specific/SpecificFixed.java,1,0,28,,
,,,,src/java/org/apache/avro/specific/SpecificRecord.java,1,0,28,,
,,,,src/java/org/apache/avro/specific/SpecificRecordBase.java,1,0,64,,
,,,,src/java/org/apache/avro/specific/SpecificRequestor.java,1,1,56,,
,,,,src/java/org/apache/avro/specific/SpecificResponder.java,1,1,41,,
,,,,src/java/org/apache/avro/util/Utf8.java,4,2,80,,
f03f432cc7d71b7969d56f9dc17ca264a3771650,0,0,0,/,-1,-1,-1,0,0
2034a4ee5bc4fd9623797590e1dbb411e4848787,15,302,326,src/test/java/org/apache/avro/TestDataFile.java,4,4,141,1,3
,,,,src/test/java/org/apache/avro/TestFsData.java,3,5,141,,
,,,,src/test/java/org/apache/avro/TestProtocolGeneric.java,9,9,192,,
,,,,src/test/java/org/apache/avro/TestProtocolReflect.java,2,2,39,,
,,,,src/test/java/org/apache/avro/TestProtocolSpecific.java,7,7,167,,
,,,,src/test/java/org/apache/avro/TestReflect.java,2,2,101,,
,,,,src/test/java/org/apache/avro/TestSchema.java,3,3,253,,
,,,,src/test/java/org/apache/avro/io/TestBinaryDecoder.java,10,10,78,,
,,,,src/test/java/org/apache/avro/io/TestBlockingIO.java,45,29,467,,
,,,,src/test/java/org/apache/avro/io/TestResolvingIO.java,40,93,266,,
,,,,src/test/java/org/apache/avro/io/TestResolvingIO_resolving.java,103,0,0,,
,,,,src/test/java/org/apache/avro/io/TestValidatingIO.java,74,49,819,,
,,,,src/test/java/org/apache/avro/test/TestInvocationReporter.java,0,35,35,,
,,,,src/test/java/org/apache/avro/test/TestOutputInterceptor.java,0,39,39,,
,,,,src/test/java/org/apache/avro/test/TestSuiteInterceptor.java,0,39,39,,
eeb1023f9630a576bf8ea2d5b0e485f565e90e42,0,0,0,/,-1,-1,-1,0,0
62806bad9162f22afe69f01e97ea96321d83710a,12,657,16,src/java/org/apache/avro/ipc/RPCContext.java,149,0,0,6,0
,,,,src/java/org/apache/avro/ipc/RPCPlugin.java,74,0,0,,
,,,,src/java/org/apache/avro/ipc/Requestor.java,53,5,184,,
,,,,src/java/org/apache/avro/ipc/Responder.java,40,4,186,,
,,,,src/java/org/apache/avro/reflect/ReflectRequestor.java,12,0,86,,
,,,,src/java/org/apache/avro/specific/SpecificRequestor.java,13,0,56,,
,,,,src/test/java/org/apache/avro/RPCMetaTestPlugin.java,176,0,0,,
,,,,src/test/java/org/apache/avro/TestProtocolGeneric.java,6,6,192,,
,,,,src/test/java/org/apache/avro/TestProtocolGenericMeta.java,42,0,0,,
,,,,src/test/java/org/apache/avro/TestProtocolReflectMeta.java,45,0,0,,
,,,,src/test/java/org/apache/avro/TestProtocolSpecific.java,1,1,167,,
,,,,src/test/java/org/apache/avro/TestProtocolSpecificMeta.java,46,0,0,,
127800a158ce6d6af08e5b32e01e153ade03d474,0,0,0,/,-1,-1,-1,0,0
79d571847ca673a23733377fdfd9a489017c499c,8,19,10,src/java/org/apache/avro/file/SeekableInput.java,3,3,37,0,0
,,,,src/java/org/apache/avro/reflect/FixedSize.java,4,1,34,,
,,,,src/java/org/apache/avro/reflect/ReflectDatumReader.java,4,1,115,,
,,,,src/java/org/apache/avro/reflect/ReflectDatumWriter.java,4,1,65,,
,,,,src/java/org/apache/avro/specific/SpecificDatumReader.java,1,1,48,,
,,,,src/java/org/apache/avro/specific/SpecificDatumWriter.java,1,1,36,,
,,,,src/java/org/apache/avro/specific/SpecificRequestor.java,1,1,69,,
,,,,src/java/org/apache/avro/specific/SpecificResponder.java,1,1,41,,
a02c72575832bd9a451bd6d8fed62c7818eac611,1,12,1,src/java/org/apache/avro/specific/SpecificCompiler.java,12,1,270,0,0
e1d53e342f55f7ee51b8f4b04fc03aaa287712dd,6,70,47,src/java/org/apache/avro/Schema.java,12,32,726,0,0
,,,,src/java/org/apache/avro/io/JsonDecoder.java,12,9,396,,
,,,,src/java/org/apache/avro/io/JsonEncoder.java,7,4,238,,
,,,,src/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java,1,1,338,,
,,,,src/java/org/apache/avro/io/parsing/ValidatingGrammarGenerator.java,1,1,139,,
,,,,src/test/java/org/apache/avro/TestSchema.java,37,0,253,,
f736dfd4dd6089d9323cf7290ca7852c9dd045cd,6,234,5,src/java/org/apache/avro/file/DataFileWriter.java,13,0,194,3,0
,,,,src/java/org/apache/avro/generic/GenericDatumWriter.java,8,1,253,,
,,,,src/java/org/apache/avro/reflect/ReflectDatumWriter.java,3,4,68,,
,,,,src/test/java/org/apache/avro/BarRecord.java,35,0,0,,
,,,,src/test/java/org/apache/avro/FooRecord.java,33,0,0,,
,,,,src/test/java/org/apache/avro/TestDataFileReflect.java,142,0,0,,
73b69bc59c61294a6689b695342e7f9d6b48db90,2,168,0,src/java/org/apache/avro/io/BlockingBinaryEncoder.java,5,0,623,1,0
,,,,src/test/java/org/apache/avro/io/TestBlockingIO2.java,163,0,0,,
b9821a460520ea9c7f5bcc6cb35a33c725295f44,3,87,2,src/java/org/apache/avro/io/BinaryDecoder.java,1,1,301,1,0
,,,,src/java/org/apache/avro/io/Decoder.java,1,1,280,,
,,,,src/test/java/org/apache/avro/GenerateBlockingData.java,85,0,0,,
c529c6d5821d89bfb3f37e2c6bb0ec9b83635899,0,0,0,/,-1,-1,-1,0,0
a84db2bc15c8876d40993d29adfe22f8aa9601cd,0,0,0,/,-1,-1,-1,0,0
a1ea81add49b8684f979988f342193a547795fb0,1,8,1,src/java/org/apache/avro/specific/SpecificCompiler.java,8,1,281,0,0
710e2379a2ef1c5c4d2cf6ada9e0dc49795f5c86,2,30,2,src/test/java/org/apache/avro/BarRecord.java,15,1,35,0,0
,,,,src/test/java/org/apache/avro/FooRecord.java,15,1,33,,
97a5793f050400d38b07d4fbab0539809ce579ff,8,206,43,src/java/org/apache/avro/reflect/ReflectData.java,40,13,253,0,0
,,,,src/java/org/apache/avro/reflect/ReflectDatumWriter.java,16,3,67,,
,,,,src/java/org/apache/avro/reflect/ReflectRequestor.java,18,2,98,,
,,,,src/java/org/apache/avro/reflect/ReflectResponder.java,5,1,125,,
,,,,src/java/org/apache/avro/specific/SpecificRequestor.java,13,2,69,,
,,,,src/test/java/org/apache/avro/BarRecord.java,5,1,49,,
,,,,src/test/java/org/apache/avro/TestDataFileReflect.java,38,4,142,,
,,,,src/test/java/org/apache/avro/TestReflect.java,71,17,101,,
