Avro,,Calcite,,Cxf,,Groovy,,Zookeeper,
Release,commit,Release,commit,Release,commit,Release,commit,Release,commit
,100,,86.60856935,92.20032066,95.33857251,98.13599761,100,84.72953566,100
,100,,100,94.58229942,100,99.95214548,100,100,100
,100,,100,92.52853193,100,100,100,100,100
,100,,85.50157918,93.88466762,100,99.20087747,100,100,100
,100,,100,97.15655066,100,99.89235737,100,98.83215022,100
,100,,100,92.87127428,96.71343767,100,100,100,100
,78.73303167,,99.83901261,93.45232675,100,99.86185725,100,100,100
,100,,100,97.31439521,100,99.83134008,100,89.20239947,100
,90.60402685,,100,95.63536204,100,100,100,99.95563443,100
,100,,100,100,100,100,100,99.39461883,100
,100,,100,96.98349884,100,100,99.18166939,100,100
,100,,100,97.62979972,100,98.43202923,100,100,100
,100,,100,100,100,99.51226947,100,,100
,100,,94.76685251,99.94307008,100,99.81609195,96.66136725,,100
,100,,100,89.56511768,100,100,100,,100
,100,,99.60582895,92.4047524,99.44278011,99.6947031,100,,100
,100,,100,96.13978782,100,99.8015873,100,,100
,100,,99.97625831,98.2909661,99.96967124,99.04571341,100,,100
,100,,100,93.08852424,100,98.43582273,99.84423676,,99.52606635
,100,,100,96.4849486,94.69122427,98.48555092,98.4375,,100
,100,,97.226831,94.59999481,100,99.68666771,100,,100
,100,,97.30726257,93.18373398,100,100,100,,100
,100,,100,95.44217687,99.98531787,99.8443822,100,,100
,100,,99.88375779,96.55544758,100,99.98446723,100,,99.06323185
,100,,100,99.96943086,100,99.78267619,100,,98.85057471
,100,,100,95.50082879,100,99.73635236,100,,96.68874172
,100,,100,93.32148627,100,99.96901147,100,,100
,99.23664122,,99.52355744,93.79521964,100,99.2449923,100,,100
,100,,100,99.84828371,100,99.96935336,100,,100
,98.87218045,,100,95.27625987,92.53663524,100,100,,99.57264957
,100,,100,97.51814224,96.87715991,100,100,,98.94067797
,100,,100,99.43020759,99.77050724,100,100,,100
,74.56359102,,100,99.90048054,100,100,100,,98.94067797
,100,,100,80.47571853,100,44.95681452,100,,100
,100,,100,89.88608741,100,99.0142996,100,,98.53249476
,100,,100,90.93293796,100,99.94501718,99.53125,,100
,100,,100,90.66570838,99.35631108,97.52574562,100,,100
,100,,100,92.16082073,100,97.93550128,98.58934169,,100
,100,,100,93.33855449,100,99.97202015,100,,94.93927126
,100,,100,88.16319678,100,99.63682079,100,,98.99193548
,94.83101392,,100,92.31525108,100,99.58275382,100,,100
,100,,100,95.23823375,94.78129713,100,100,,100
,100,,100,96.551894,100,98.78610297,100,,100
,100,,100,97.88141652,100,99.80372915,100,,99.59183673
,100,,100,98.31363505,100,100,100,,100
,100,,100,94.85708352,93.5795524,99.90200196,97.21362229,,100
,100,,100,99.00942598,99.56318989,99.97199664,100,,100
,92.91666667,,100,99.86642678,100,99.9299818,100,,100
,100,,100,99.87220621,99.94734071,99.08663161,100,,100
,99.59183673,,99.96812918,99.94575536,100,99.47973713,96.05055292,,97.8805395
,100,,100,99.96207812,100,99.91781948,99.18433931,,100
,100,,100,99.96478969,100,99.90424077,99.35170178,,100
,100,,100,89.61390902,100,99.83590866,100,,100
,100,,99.95753715,93.27469136,100,100,100,,100
,100,,100,93.1714472,99.98830546,99.95897155,100,,94.70899471
,100,,100,93.77085922,100,100,93.30289193,,100
,100,,98.87922908,92.74170064,93.62348178,79.18403436,100,,100
,100,,100,92.88415528,100,99.35506567,93.28571429,,100
,100,,100,92.70213792,99.98916694,98.4799905,99.71428571,,100
,92.63565891,,100,91.77605946,100,98.90891841,100,,100
,97.61029412,,100,95.02749771,100,99.34533552,99.71428571,,100
,100,,96.12491452,96.87173049,100,99.82490954,99.71590909,,100
,99.81751825,,99.96194342,93.13176895,100,98.69519219,100,,100
,96.92585895,,100,93.63352816,100,99.94069505,100,,100
,100,,99.32775241,93.3035147,93.69478799,99.49172577,98.44192635,,100
,100,,99.19018094,96.76888846,100,94.27737597,99.29278642,,100
,96.58703072,,100,93.57167581,100,97.31843575,92.20183486,,100
,100,,99.31680162,93.27936201,97.37972036,94.32633537,98.65319865,,100
,100,,100,94.91356537,100,100,98.48484848,,100
,98.14814815,,100,99.45481579,99.98922994,99.95002499,100,,100
,100,,100,99.91253575,100,99.97500625,100,,99.14965986
,100,,100,90.03160358,99.92460553,99.95000625,100,,100
,100,,100,93.08142629,100,95.23871471,100,,100
,95.93908629,,100,94.80504972,100,100,96.74796748,,100
,100,,100,91.75967214,100,82.79336735,96.90880989,,93.03135889
,99.67213115,,100,98.43486015,100,99.166071,96.54135338,,100
,100,,96.7308667,91.38768613,99.84398537,98.85809445,99.40209268,,93.03135889
,100,,100,99.66773602,100,92.69433781,100,,93.03135889
,96.32587859,,100,94.53353714,100,93.53370854,79.94579946,,100
,100,,100,95.28318043,100,99.36259771,100,,100
,100,,100,99.69401947,99.98387877,99.17325665,100,,100
,100,,100,99.91403722,100,98.51384823,96.46910467,,100
,100,,99.96202051,95.21538967,100,99.98929107,94.71649485,,100
,100,,99.83565107,99.77899892,100,100,100,,82.29007634
,100,,100,99.78542052,100,99.92506958,100,,100
,22.72727273,,99.6978852,94.72501895,99.903283,100,95.92105263,,79.22272048
,100,,99.79939819,91.1493498,100,99.9571872,100,,100
,100,,100,99.96929004,99.98925655,,98.28722003,,79.22272048
,100,,91.1152648,91.141754,100,,100,,100
,100,,100,94.42423895,100,,100,,29.12154031
,100,,100,94.55379374,100,,100,,100
,100,,100,96.87051193,100,,97.52604167,,58.10663765
,99.85294118,,100,96.69911504,100,,98.18887451,,100
,100,,90.48570358,97.31702173,99.94095228,,98.59335038,,28.36538462
,100,,100,93.18345648,100,,100,,100
,100,,100,95.17736803,99.96781634,,100,,100
,100,,100,99.85114013,100,,100,,48.8946684
,98.80597015,,100,97.91349946,100,,100,,51.80572852
