Avro,,Calcite,,Cxf,,Groovy,,Zookeeper,
Release,commit,Release,commit,Release,commit,Release,commit,Release,commit
,100,,100,,99.95959596,,100,,92.60726073
,100,,100,,100,,100,,99.46272666
,100,,100,,100,,100,,92.94195251
,100,,100,,100,,100,,99.93514916
,100,,89.63116575,,100,,100,,92.60726073
,100,,99.89206692,,95.93070105,,99.84152139,,99.33110368
,84.10774411,,100,,100,,100,,99.33110368
,100,,100,,100,,99.84152139,,100
,100,,100,,99.9642538,,100,,99.33110368
,96.37681159,,100,,100,,100,,99.33110368
,100,,100,,100,,100,,100
,95.88414634,,100,,100,,100,,99.00133156
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,99.98659278,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,99.96872068,,100,,100
,100,,89.75191583,,100,,100,,100
,98.67394696,,99.89309287,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,99.8927566,,100,,100
,100,,100,,100,,100,,100
,100,,99.92088608,,95.21392636,,100,,100
,98.67394696,,100,,100,,100,,100
,100,,92.78823529,,100,,100,,100
,99.29133858,,100,,100,,100,,100
,100,,100,,100,,100,,100
,87.95275591,,100,,100,,100,,100
,100,,99.99202425,,100,,100,,99.00133156
,100,,100,,100,,100,,91.28816083
,100,,100,,100,,100,,100
,92.5900277,,100,,99.96895925,,100,,100
,100,,100,,100,,100,,99.58088852
,100,,100,,99.98226715,,99.52494062,,100
,100,,100,,100,,100,,100
,100,,92.60306457,,100,,100,,90.61102832
,100,,83.36933045,,99.96454844,,99.60411718,,90.45151739
,100,,99.97809419,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,99.58982773
,93.26788219,,99.9890495,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,99.97342075,,100,,90.47619048
,100,,100,,100,,100,,90.47619048
,100,,99.95620278,,100,,100,,100
,100,,100,,100,,100,,100
,100,,99.86847874,,100,,100,,90.60606061
,100,,100,,100,,100,,100
,100,,100,,100,,100,,88.16242257
,100,,100,,100,,100,,100
,100,,100,,100,,99.84177215,,100
,100,,100,,95.50031619,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,99.77365812,,100,,88.16242257
,100,,100,,100,,100,,88.00827016
,100,,100,,100,,100,,88.09359945
,100,,90.35784145,,99.91390907,,99.84202212,,88.09359945
,100,,100,,100,,100,,88.09359945
,100,,100,,100,,100,,100
,100,,99.77061451,,100,,99.84251969,,100
,100,,88.71156092,,100,,99.37156324,,100
,100,,99.98274771,,99.93544917,,100,,100
,100,,100,,99.9838675,,97.36842105,,100
,100,,99.97123296,,100,,99.84732824,,100
,100,,100,,100,,100,,100
,100,,100,,100,,99.84732824,,100
,100,,100,,99.97850502,,100,,88.09359945
,100,,100,,100,,100,,100
,100,,100,,100,,97.13843774,,100
,100,,99.98848987,,99.94624812,,99.92163009,,100
,100,,100,,100,,99.37646142,,88.09359945
,100,,100,,99.94620185,,99.76780186,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,88.09359945
,100,,100,,100,,100,,88.66296981
,100,,100,,100,,100,,100
,100,,100,,99.97847495,,100,,97.1659919
,100,,100,,100,,100,,100
,100,,100,,100,,99.84567901,,100
,100,,100,,98.72296601,,100,,98.1392557
,100,,100,,99.93091878,,100,,100
,100,,100,,95.72761194,,100,,100
,100,,99.97698107,,100,,99.84615385,,100
,100,,100,,100,,100,,95.59748428
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,96.53127247,,100,,100
,100,,100,,100,,100,,94.45998881
,100,,100,,100,,100,,100
,100,,100,,99.99087258,,100,,94.45998881
,100,,92.09194433,,99.8860165,,100,,100
,99.83766234,,100,,99.96356681,,100,,94.45998881
,100,,100,,100,,100,,94.45998881
,100,,100,,100,,100,,94.45998881
,100,,86.81229773,,100,,100,,99.89384289
,99.5951417,,100,,100,,100,,94.26183844
,100,,100,,99.98178755,,98.21567106,,94.26183844
,100,,100,,100,,100,,94.26183844
,100,,100,,100,,100,,94.26183844
,100,,100,,99.98179004,,100,,100
,100,,100,,99.85931473,,98.83268482,,100
,94.73684211,,100,,100,,100,,94.26183844
,100,,100,,100,,100,,94.26183844
,100,,100,,100,,100,,94.26183844
,100,,100,,100,,99.38223938,,94.26183844
,99.29015084,,100,,100,,100,,94.26183844
,100,,100,,100,,100,,94.26183844
,100,,100,,100,,100,,94.26183844
,100,,89.91112413,,100,,100,,94.26183844
,100,,100,,100,,100,,94.26183844
,100,,99.946277,,99.92761819,,100,,92.66365688
,100,,100,,100,,100,,100
,100,,100,,99.89583805,,100,,92.66365688
,100,,100,,100,,100,,92.66365688
,100,,100,,100,,99.69183359,,100
,100,,100,,100,,100,,92.66365688
,100,,100,,100,,100,,100
,100,,100,,100,,100,,92.66365688
,100,,100,,100,,100,,92.66365688
,100,,100,,99.90015884,,100,,100
,100,,100,,100,,100,,100
,100,,100,,95.15716649,,100,,92.30769231
,100,,100,,100,,100,,95.63132658
,100,,100,,100,,100,,100
,100,,87.58642363,,100,,100,,100
,100,,99.9876161,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,96.18514751
,100,,100,,100,,100,,100
,99.20983319,,100,,100,,99.69325153,,100
,100,,99.9814276,,100,,100,,100
,100,,100,,100,,100,,88.12834225
,100,,100,,100,,100,,88.12834225
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,99.87698501,,100,,99.8046875
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,99.84732824,,87.96592119
,100,,100,,99.95530477,,100,,87.96592119
,100,,99.97524293,,100,,100,,100
,95.36480687,,99.93192648,,99.84922939,,100,,87.96592119
,100,,100,,100,,100,,100
,100,,99.96286439,,100,,100,,87.96592119
,100,,99.80183304,,100,,100,,100
,100,,100,,99.96093096,,100,,87.87234043
,100,,100,,99.96096146,,100,,87.99149841
,100,,100,,99.9777047,,100,,100
,100,,99.94423446,,100,,100,,87.99149841
,100,,100,,100,,100,,86.63567693
,100,,100,,100,,100,,86.63567693
,100,,100,,100,,99.25037481,,86.63567693
,99.83164983,,100,,99.98328039,,100,,92.99204771
,100,,100,,100,,99.26793558,,79.33715221
,100,,100,,100,,99.19117647,,100
,99.83164983,,100,,100,,100,,72.36414306
,99.83164983,,100,,100,,100,,72.34544597
,100,,100,,100,,100,,100
,99.83164983,,100,,100,,100,,100
,99.83164983,,100,,100,,100,,100
,99.83164983,,100,,100,,99.48109711,,72.34544597
,100,,100,,100,,100,,72.34544597
,99.83164983,,100,,100,,100,,99.92113565
,100,,100,,100,,100,,72.39755064
,100,,99.92573338,,99.99442649,,100,,72.39755064
,100,,100,,100,,100,,100
,100,,99.96290113,,100,,99.63154016,,100
,100,,95.07901303,,100,,100,,72.39755064
,100,,100,,99.97770221,,100,,72.39755064
,100,,100,,100,,100,,72.39755064
,100,,99.97635188,,100,,100,,72.39755064
,99.83221477,,100,,100,,100,,72.39755064
,100,,100,,100,,100,,72.39755064
,99.83221477,,100,,100,,100,,72.39755064
,99.83221477,,100,,100,,96.41407307,,72.39755064
,100,,100,,100,,100,,100
,100,,100,,99.9832664,,100,,100
,100,,100,,100,,99.87484355,,72.39755064
,99.83221477,,100,,100,,99.75015615,,100
,100,,99.85018136,,94.78333799,,100,,72.39755064
,99.83221477,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,99.98422962,,100,,100,,72.39755064
,99.83221477,,99.74771365,,100,,100,,72.39755064
,99.83221477,,99.99211605,,100,,100,,72.39755064
,99.83221477,,100,,100,,100,,72.39755064
,99.08333333,,100,,100,,100,,72.39755064
,99.83443709,,100,,100,,100,,72.39755064
,99.83443709,,99.98423459,,100,,100,,72.39755064
,99.83443709,,100,,100,,100,,72.39755064
,99.83443709,,99.98423459,,100,,100,,72.39755064
,99.83443709,,100,,99.95518709,,100,,100
,99.83443709,,100,,100,,100,,72.39755064
,100,,99.90543735,,100,,100,,100
,99.83443709,,100,,100,,97.09677419,,72.39755064
,99.83443709,,100,,100,,99.33598938,,72.39755064
,99.83443709,,100,,99.97200291,,100,,72.39755064
,93.85692068,,100,,100,,100,,72.39755064
,100,,100,,100,,100,,72.39755064
,93.85692068,,100,,100,,100,,72.39755064
,93.85692068,,100,,100,,100,,72.39755064
,93.85692068,,100,,100,,100,,72.39755064
,93.85692068,,100,,100,,100,,100
,93.85692068,,100,,100,,100,,100
,100,,100,,99.94954874,,99.73632169,,100
,100,,100,,100,,100,,100
,93.2046332,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,98.04381847
,100,,100,,99.91015779,,100,,100
,100,,100,,96.05497728,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,91.36331192,,100,,100,,100,,73.04997665
,100,,100,,100,,99.40906106,,73.04997665
,100,,100,,100,,100,,97.97901283
,95.85714286,,100,,100,,99.8034076,,100
,99.85549133,,100,,100,,100,,100
,100,,99.98424949,,100,,99.60707269,,99.84466019
,100,,100,,100,,100,,100
,100,,100,,100,,100,,71.6285581
,100,,100,,100,,100,,71.6285581
,100,,99.89761361,,99.97643871,,100,,99.72794403
,100,,100,,100,,100,,100
,100,,99.63364253,,100,,100,,71.32834425
,99.42611191,,100,,99.95878717,,100,,100
,100,,99.96144653,,100,,100,,71.32834425
,91.23674912,,100,,100,,100,,71.32834425
,100,,100,,100,,100,,71.32834425
,100,,99.96917386,,100,,100,,98.37524178
,98.75518672,,100,,99.81200799,,100,,71.22708039
,100,,100,,100,,99.93455497,,99.75830816
,100,,100,,100,,100,,71.45539906
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,71.69634489
,99.65916837,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,99.97068996,,99.47882736,,71.69634489
,100,,100,,100,,99.5463383,,71.69634489
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,71.69634489
,96.1352657,,100,,99.84766815,,99.6763754,,100
,100,,100,,100,,99.03163331,,100
,100,,100,,100,,100,,71.69634489
,100,,100,,95.89910326,,100,,71.69634489
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,99.96146732,,100,,100,,100
,100,,100,,100,,100,,100
,100,,91.93746706,,100,,100,,72.82913165
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,99.96937838,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,99.88123515
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,99.86013986,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,99.9489848,,100,,100,,94.2949408
,100,,88.63355135,,100,,99.67824968,,100
,100,,100,,100,,100,,96.27236581
,100,,100,,100,,100,,95.84647739
,100,,100,,100,,100,,100
,100,,99.98440424,,100,,100,,100
,100,,100,,100,,100,,97.73480663
,100,,100,,99.99050693,,98.9821883,,97.61634506
,100,,100,,98.82969347,,100,,100
,100,,100,,100,,100,,77.73183698
,100,,99.70457903,,98.81677141,,100,,77.73183698
,100,,100,,95.87164152,,100,,77.73183698
,100,,99.89144762,,100,,100,,77.73183698
,100,,100,,99.97904091,,100,,100
,100,,100,,99.96007346,,99.8738966,,100
,100,,100,,100,,100,,77.73183698
,100,,100,,100,,100,,77.73183698
,100,,98.71842635,,100,,100,,77.73183698
,100,,99.97132822,,99.88799104,,100,,77.73183698
,100,,99.97850387,,100,,99.74795211,,100
,100,,99.98567335,,100,,100,,100
,100,,100,,99.97996153,,99.81120201,,78.06379407
,99.31034483,,99.9856754,,100,,100,,78.06379407
,100,,99.9856754,,100,,100,,98.84526559
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,99.60159363
,99.31034483,,100,,100,,100,,100
,99.31034483,,100,,100,,100,,100
,88.84172226,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,97.69116381,,100,,77.09713024
,100,,100,,100,,100,,77.09713024
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,99.9961762,,100,,100
,100,,100,,100,,100,,100
,100,,99.97134876,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,95.13497352,,100,,100
,100,,100,,99.98065296,,100,,100
,100,,100,,100,,99.87421384,,100
,100,,99.95704467,,100,,100,,96.12159329
,100,,100,,100,,100,,100
,100,,100,,99.97581854,,100,,100
,100,,99.97138565,,95.27127462,,100,,100
,99.61811238,,99.98569794,,97.49811178,,100,,100
,100,,100,,100,,100,,99.90262902
,100,,100,,99.989995,,100,,100
,99.89071038,,100,,100,,100,,100
,99.94541485,,100,,100,,100,,99.90281827
,99.67302452,,100,,100,,100,,100
,100,,100,,100,,100,,100
,99.89130435,,100,,100,,100,,100
,100,,100,,100,,100,,100
,99.78319783,,100,,100,,100,,100
,100,,97.76520099,,100,,97.55952381,,98.66412214
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,99.54929577,,76.60320641
,100,,100,,95.05917905,,100,,76.60320641
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,99.97464889,,100,,100
,100,,100,,100,,100,,99.57786116
,100,,100,,100,,99.94388328,,100
,100,,100,,100,,100,,100
,100,,100,,99.28220058,,100,,99.29808142
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,76.20253165
,100,,99.97053841,,99.86579183,,100,,76.20253165
,99.46495452,,100,,99.86510791,,100,,100
,100,,100,,100,,99.60828204,,100
,100,,100,,99.95482608,,100,,100
,100,,100,,100,,100,,100
,100,,97.63277488,,99.99498345,,100,,100
,100,,100,,100,,100,,100
,96.83985003,,100,,100,,100,,99.90671642
,100,,100,,100,,100,,76.20010106
,100,,100,,100,,100,,75.93152064
,100,,100,,97.08622493,,100,,100
,100,,100,,100,,100,,75.93152064
,100,,100,,100,,100,,100
,100,,100,,100,,99.88826816,,75.93152064
,100,,100,,100,,100,,75.95381526
,100,,96.22563537,,99.98193315,,100,,75.95381526
,92.4037981,,99.96953077,,100,,100,,100
,100,,100,,100,,100,,75.95381526
,100,,100,,100,,100,,75.95381526
,100,,100,,100,,100,,100
,97.20998532,,85.66090612,,100,,100,,100
,99.90224829,,100,,100,,100,,100
,100,,100,,99.99096658,,100,,75.95381526
,100,,100,,100,,100,,100
,99.60841899,,100,,100,,100,,75.95381526
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,99.70631424,,100,,100,,100,,75.95381526
,97.41463415,,88.23698591,,100,,100,,100
,97.22492697,,100,,100,,100,,75.95381526
,98.67582148,,100,,100,,100,,100
,99.34967484,,89.35245845,,100,,100,,100
,99.74709155,,100,,100,,100,,100
,100,,99.80992608,,100,,96.74033149,,75.95381526
,100,,95.1849677,,99.88289419,,100,,75.95381526
,100,,100,,100,,99.78201635,,99.81507166
,100,,100,,99.96658731,,100,,98.72021183
,100,,100,,100,,100,,76.13365155
,100,,99.92702727,,99.85364834,,100,,76.13365155
,100,,100,,99.85364834,,100,,99.91554054
,100,,100,,99.85364834,,98.06927882,,98.61171367
,100,,100,,99.71158669,,100,,100
,100,,100,,100,,100,,100
,100,,99.99087758,,100,,100,,99.91079393
,100,,100,,100,,99.76261128,,76.52259332
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,76.52259332
,100,,100,,100,,100,,100
,100,,93.64788117,,100,,100,,100
,98.02431611,,100,,100,,98.95227008,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,76.52259332
,100,,100,,100,,100,,100
,100,,99.99161636,,100,,100,,100
,98.22154472,,99.95807831,,100,,100,,76.52259332
,100,,100,,100,,100,,76.40232108
,98.51129363,,87.43566455,,100,,100,,100
,100,,100,,100,,100,,100
,99.79274611,,100,,100,,100,,100
,100,,100,,100,,98.15242494,,100
,99.74133471,,100,,100,,100,,100
,100,,99.89860583,,99.71158669,,100,,99.89440338
,99.84520124,,99.87322515,,99.71158669,,100,,100
,100,,100,,100,,100,,100
,94.37119675,,100,,100,,100,,100
,100,,100,,100,,100,,100
,99.75099602,,100,,100,,100,,100
,95.49727857,,88.23988214,,99.85375841,,100,,100
,100,,100,,100,,100,,94.34940384
,99.75429975,,100,,100,,100,,100
,100,,100,,100,,100,,100
,97.48134328,,98.8710555,,99.85375841,,99.70896391,,100
,100,,99.9859353,,99.85375841,,95.50625711,,100
,98.95738894,,100,,99.85375841,,99.88839286,,100
,100,,100,,99.85375841,,100,,99.84725051
,98.03742583,,98.03214661,,99.85375841,,100,,100
,100,,100,,99.97914146,,100,,100
,100,,99.99193938,,99.83290166,,100,,100
,100,,99.96776533,,99.97908387,,100,,100
,100,,100,,99.85381949,,100,,100
,100,,100,,99.85381949,,100,,100
,100,,100,,99.85381949,,100,,100
,100,,100,,99.85381949,,99.77691021,,100
,100,,100,,99.85381949,,100,,99.54361055
,100,,100,,99.85381949,,99.61046188,,100
,100,,99.96777572,,100,,100,,100
,100,,100,,99.85381949,,100,,100
,100,,100,,99.85381949,,100,,100
,98.04923363,,100,,100,,100,,100
,100,,100,,99.85381949,,100,,100
,100,,100,,99.85381949,,99.77802442,,93.75928678
,100,,100,,99.85381949,,100,,100
,100,,99.94375703,,99.85381949,,100,,100
,100,,100,,99.85381949,,100,,100
,100,,100,,100,,99.88938053,,100
,100,,100,,100,,100,,100
,99.76076555,,100,,100,,100,,87.64805415
,100,,99.98397436,,99.85381949,,100,,100
,100,,100,,99.85381949,,100,,98.23609227
,91.95979899,,100,,99.85381949,,100,,100
,100,,100,,99.85381949,,100,,95.31039136
,100,,100,,99.85381949,,100,,98.02469136
,98.37362637,,99.95994873,,99.85381949,,100,,100
,99.69176574,,100,,99.85381949,,100,,43.18272691
,100,,100,,99.85381949,,100,,100
,93.91377853,,100,,99.85381949,,100,,73.19545823
,100,,100,,99.85381949,,100,,99.617737
,100,,100,,99.85381949,,100,,100
,99.43181818,,100,,99.85381949,,100,,100
,96.10058309,,100,,99.85381949,,100,,100
,100,,100,,99.85381949,,100,,100
,100,,100,,99.85381949,,100,,100
,99.933687,,99.96796155,,99.84126321,,100,,100
,100,,100,,100,,100,,100
,100,,100,,99.84126321,,100,,100
,100,,100,,99.84126321,,100,,100
,100,,93.97590361,,99.84126321,,100,,100
,100,,100,,99.84126321,,100,,100
,100,,100,,99.84126321,,100,,100
,100,,100,,99.7954071,,100,,100
,100,,100,,99.94162532,,100,,99.92372235
,100,,100,,99.94162532,,100,,100
,100,,100,,99.95412653,,100,,100
,100,,100,,99.95412653,,100,,100
,100,,100,,100,,100,,100
,100,,100,,98.49524815,,100,,100
,100,,100,,100,,100,,100
,100,,100,,99.95805565,,100,,100
,100,,100,,100,,100,,100
,100,,100,,99.98601268,,100,,100
,100,,100,,98.45503763,,100,,100
,100,,100,,98.45503763,,100,,100
,100,,93.99286409,,100,,100,,100
,100,,100,,98.45503763,,99.83443709,,100
,99.90056347,,100,,98.45503763,,100,,100
,100,,100,,100,,100,,98.7607245
,99.83449189,,100,,100,,100,,98.28934506
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,93.25337331,,100,,98.45503763,,100,,100
,93.15181518,,100,,98.45503763,,100,,94.39676931
,100,,87.0610687,,98.45503763,,100,,100
,100,,100,,98.45503763,,100,,95.30776993
,100,,100,,100,,100,,99.66052376
,100,,87.0610687,,98.45503763,,100,,100
,100,,99.88345635,,100,,100,,100
,100,,99.93871525,,100,,100,,100
,100,,100,,98.45503763,,100,,95.83530525
,100,,99.94986352,,98.45503763,,100,,95.83530525
,100,,100,,100,,100,,95.83530525
,100,,100,,100,,97.93871866,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,95.83530525
,98.53889128,,100,,98.45503763,,99.77515458,,100
,100,,100,,98.45503763,,100,,100
,100,,100,,98.45503763,,100,,95.83530525
,100,,100,,98.45503763,,100,,95.83530525
,100,,99.9888691,,98.45503763,,100,,95.83530525
,100,,100,,100,,100,,95.83530525
,91.22725152,,99.94437955,,100,,100,,95.83530525
,100,,94.88633236,,95.44083427,,100,,95.83530525
,100,,100,,95.44083427,,100,,95.83530525
,100,,100,,95.44083427,,100,,100
,100,,100,,99.97998799,,100,,95.83530525
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,86.97674419,,100,,95.4320403,,98.0587909,,95.83530525
,86.97674419,,100,,95.4320403,,100,,95.83530525
,100,,100,,95.43889845,,100,,100
,100,,100,,100,,100,,95.83530525
,100,,99.994551,,100,,100,,94.97652582
,99.89754098,,100,,95.43889845,,99.94517544,,100
,99.79560552,,100,,95.43889845,,100,,100
,89.06037222,,100,,95.43889845,,99.83561644,,100
,100,,100,,100,,100,,94.97652582
,99.11147011,,100,,95.43889845,,98.2869379,,94.97652582
,100,,100,,100,,100,,94.97652582
,100,,100,,95.43068583,,100,,94.88262911
,100,,100,,100,,100,,100
,100,,100,,95.43068583,,98.85892116,,100
,100,,95.98693133,,95.43068583,,100,,100
,100,,99.9078341,,95.43068583,,100,,100
,100,,93.06776297,,95.43068583,,100,,100
,100,,100,,100,,100,,100
,100,,99.9010041,,99.98001199,,100,,100
,100,,99.97884643,,95.41876371,,100,,94.88262911
,100,,100,,100,,100,,94.88262911
,99.40452561,,100,,99.97672145,,100,,100
,100,,99.97883896,,95.43265095,,100,,100
,100,,97.95357781,,100,,100,,99.90467112
,100,,100,,100,,100,,94.78383459
,100,,100,,95.43265095,,100,,94.78383459
,100,,95.41279001,,95.43265095,,100,,94.60347255
,100,,100,,95.43265095,,100,,94.79850047
,100,,100,,100,,100,,97.72925764
,100,,100,,100,,100,,94.42609414
,100,,100,,95.42073354,,100,,100
,100,,100,,95.43461439,,100,,94.29987608
,100,,100,,95.43461439,,100,,94.34585225
,100,,100,,100,,100,,98.61171367
,100,,100,,95.43461439,,100,,95.16334323
,100,,100,,95.41902799,,100,,95.16334323
,100,,100,,95.43621858,,100,,95.16334323
,100,,100,,95.43621858,,99.8973306,,95.08266214
,100,,100,,95.43621858,,100,,95.17153748
,100,,100,,95.43621858,,100,,95.17153748
,100,,100,,95.43621858,,100,,95.17153748
,100,,100,,95.43621858,,100,,95.17153748
,100,,100,,95.43621858,,100,,100
,100,,100,,95.40229885,,100,,95.17153748
,100,,100,,98.42973815,,100,,95.17153748
,99.92119779,,100,,96.41829229,,97.82146652,,100
,100,,100,,96.41829229,,100,,95.17153748
,99.49592865,,100,,96.41829229,,100,,100
,100,,100,,96.42253392,,100,,95.17153748
,88.9827856,,100,,96.43607786,,100,,95.17153748
,95.59112609,,100,,96.43607786,,100,,100
,88.8580354,,100,,98.9736137,,100,,95.17153748
,100,,100,,100,,100,,95.17153748
,100,,100,,100,,100,,95.17153748
,100,,100,,100,,100,,95.17153748
,100,,100,,100,,100,,95.17153748
,100,,100,,100,,100,,95.17153748
,90.53414469,,100,,99.93529901,,100,,95.17153748
,100,,100,,100,,94.61956522,,94.87505294
,100,,100,,100,,100,,95.03816794
,100,,100,,100,,100,,100
,99.09356725,,100,,100,,100,,100
,95.34487653,,100,,100,,100,,95.03816794
,99.94617869,,100,,99.99343207,,100,,100
,96.49565461,,100,,100,,100,,95.03816794
,99.85350132,,100,,100,,100,,94.94906621
,100,,100,,100,,100,,100
,96.64516129,,100,,100,,100,,98.88446215
,99.85627021,,100,,100,,99.24852389,,93.69519833
,100,,100,,100,,96.90721649,,100
,100,,100,,100,,100,,88.47262248
,100,,100,,99.96061829,,99.80276134,,88.47262248
,100,,100,,100,,99.70544919,,88.47262248
,99.92821249,,100,,99.98688525,,99.90196078,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,86.85208597,,100,,100,,97.35064935,,100
,100,,99.56004868,,100,,100,,87.57961783
,100,,100,,99.96391668,,100,,89.42518649
,100,,100,,99.98358826,,100,,100
,100,,100,,99.95407577,,100,,100
,100,,100,,99.95407577,,100,,100
,100,,100,,99.95407577,,100,,100
,99.03258656,,100,,99.95407577,,100,,89.42518649
,100,,100,,99.95407577,,100,,100
,100,,100,,97.67866458,,100,,100
,100,,100,,100,,100,,89.42518649
,100,,100,,100,,99.83351831,,89.42518649
,89.13443831,,100,,99.96756722,,100,,89.42518649
,99.91582492,,100,,100,,100,,100
,100,,100,,99.96756722,,100,,99.80787704
,100,,100,,99.96756722,,100,,100
,100,,100,,100,,100,,89.24967091
,100,,100,,99.96756722,,100,,89.133304
,100,,100,,100,,100,,89.133304
,100,,100,,100,,100,,89.133304
,100,,99.9906786,,92.04522579,,100,,89.133304
,100,,100,,100,,100,,89.133304
,100,,99.9534147,,100,,100,,89.133304
,100,,100,,100,,100,,89.133304
,99.79018044,,100,,100,,99.77753059,,89.133304
,100,,100,,92.00979899,,99.88901221,,89.01050788
,100,,100,,100,,100,,89.1503268
,99.79079498,,100,,100,,100,,89.1503268
,100,,99.94411847,,92.00979899,,100,,89.1503268
,100,,100,,92.00979899,,100,,89.1503268
,100,,99.96272829,,92.00979899,,100,,89.25294889
,100,,100,,92.00979899,,100,,89.25294889
,100,,100,,92.00979899,,100,,89.25294889
,100,,100,,92.00979899,,100,,89.25294889
,100,,100,,92.00671141,,100,,89.25294889
,100,,100,,92.01033522,,100,,89.25294889
,100,,100,,92.01033522,,100,,89.25294889
,100,,100,,92.01033522,,99.77863863,,89.25294889
,100,,100,,92.01033522,,100,,89.25294889
,100,,100,,92.01033522,,100,,89.25294889
,100,,100,,92.01033522,,100,,89.25294889
,100,,100,,100,,100,,89.25294889
,100,,100,,100,,100,,89.25294889
,100,,99.66564503,,92.01033522,,100,,100
,100,,99.9629801,,92.01033522,,100,,100
,100,,92.42627346,,100,,100,,100
,100,,100,,92.01033522,,100,,89.25294889
,100,,100,,92.01033522,,100,,89.25294889
,100,,100,,100,,100,,89.25294889
,100,,100,,92.01033522,,100,,89.25294889
,100,,100,,100,,99.88962472,,89.25294889
,100,,100,,100,,100,,89.25294889
,100,,100,,100,,100,,89.25294889
,100,,99.98017053,,100,,100,,100
,100,,100,,91.98755617,,100,,89.25294889
,100,,100,,100,,100,,89.25294889
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,99.95046072,,91.98755617,,99.77985691,,89.18447449
,100,,100,,99.98702352,,100,,88.83025506
,100,,100,,92.00055312,,100,,88.93315626
,100,,100,,92.00055312,,100,,88.93315626
,100,,100,,91.5979862,,100,,88.92334958
,100,,100,,100,,100,,88.92334958
,100,,100,,91.5979862,,100,,88.92334958
,100,,100,,91.5979862,,100,,88.92334958
,100,,100,,91.5979862,,99.89023052,,88.92334958
,100,,100,,91.5979862,,100,,88.92334958
,100,,100,,91.5979862,,100,,100
,100,,80.91717561,,91.5979862,,99.78106185,,89.98287671
,100,,100,,100,,100,,100
,100,,100,,100,,100,,89.40527767
,100,,100,,91.5979862,,100,,89.40527767
,100,,100,,91.5979862,,100,,89.40527767
,100,,100,,100,,100,,89.33910307
,100,,100,,91.5979862,,100,,89.4302554
,100,,100,,91.5979862,,100,,89.4302554
,100,,100,,91.5979862,,100,,89.4302554
,100,,100,,91.5979862,,99.40184883,,99.83831851
,100,,100,,100,,100,,89.47162427
,100,,99.91836735,,91.5979862,,100,,89.47162427
,100,,100,,91.5979862,,100,,89.47162427
,100,,100,,91.5979862,,100,,100
