noArch,Arch
Improvement,
New Feature,
Bug,
Improvement,
Bug,
Task,
Task,
Improvement,
Improvement,
Bug,
Improvement,
New Feature,
New Feature,
Bug,
Bug,
Bug,
Improvement,
New Feature,
Bug,
Bug,
Bug,
Bug,
/,
Improvement,
Bug,
Improvement,
Improvement,
Sub-task,
Bug,
Bug,
Bug,
/,
/,
/,
Improvement,
Bug,
Bug,
Bug,
Improvement,
/,
Bug,
Bug,
Improvement,
Improvement,
Improvement,
Bug,
Bug,
Improvement,
Bug,
/,
Bug,
Bug,
Bug,
Bug,
Bug,
Bug,
New Feature,
New Feature,
Bug,
Test,
Bug,
/,
/,
/,
/,
/,
New Feature,
New Feature,
New Feature,
New Feature,
/,
Sub-task,
/,
/,
/,
/,
/,
Bug,
Bug,
Improvement,
Bug,
/,
/,
/,
/,
Bug,
Improvement,
Sub-task,
Bug,
Improvement,
/,
Improvement,
Bug,
Improvement,
Improvement,
Improvement,
Bug,
New Feature,
Bug,
Improvement,
Improvement,
Bug,
Improvement,
Sub-task,
Bug,
Sub-task,
New Feature,
New Feature,
New Feature,
New Feature,
Bug,
Bug,
Bug,
Improvement,
Improvement,
Bug,
Bug,
Bug,
New Feature,
New Feature,
Bug,
Bug,
/,
Bug,
Bug,
Bug,
Bug,
Improvement,
Bug,
Bug,
Bug,
Improvement,
Improvement,
Bug,
New Feature,
/,
Bug,
Improvement,
Improvement,
Improvement,
New Feature,
Improvement,
Improvement,
Bug,
Bug,
Bug,
Improvement,
Improvement,
Improvement,
New Feature,
Improvement,
Improvement,
New Feature,
New Feature,
New Feature,
/,
/,
Bug,
/,
/,
Improvement,
Improvement,
Improvement,
Improvement,
Task,
Task,
/,
/,
Improvement,
Improvement,
Improvement,
Improvement,
/,
/,
Bug,
Bug,
/,
/,
/,
Improvement,
Improvement,
Improvement,
Bug,
Improvement,
Bug,
Bug,
Bug,
Improvement,
Bug,
Bug,
Bug,
Improvement,
Improvement,
Improvement,
Bug,
New Feature,
New Feature,
Bug,
/,
Improvement,
/,
Improvement,
Improvement,
Bug,
Bug,
Improvement,
Bug,
Bug,
/,
Test,
Bug,
Bug,
Improvement,
Improvement,
Bug,
Bug,
Improvement,
New Feature,
Bug,
New Feature,
Bug,
New Feature,
Bug,
/,
Bug,
Bug,
Sub-task,
Sub-task,
Sub-task,
Sub-task,
Sub-task,
Improvement,
Improvement,
New Feature,
New Feature,
Bug,
Bug,
Bug,
/,
Bug,
/,
Bug,
/,
Bug,
/,
Bug,
/,
/,
/,
/,
/,
Improvement,
Improvement,
Wish,
Wish,
Bug,
Bug,
New Feature,
New Feature,
Bug,
Bug,
Bug,
New Feature,
New Feature,
Improvement,
Improvement,
Improvement,
Improvement,
Improvement,
Improvement,
Improvement,
Improvement,
Bug,
New Feature,
New Feature,
Improvement,
Improvement,
Improvement,
Improvement,
New Feature,
New Feature,
Improvement,
Improvement,
New Feature,
New Feature,
New Feature,
New Feature,
New Feature,
Bug,
Bug,
Improvement,
Improvement,
Improvement,
Improvement,
Improvement,
Improvement,
Improvement,
Improvement,
Improvement,
Improvement,
Improvement,
Bug,
Bug,
Improvement,
Improvement,
/,
/,
/,
/,
Bug,
Bug,
Bug,
Bug,
/,
Improvement,
/,
/,
Improvement,
Improvement,
/,
/,
/,
/,
/,
/,
Bug,
/,
Improvement,
Bug,
Bug,
New Feature,
/,
/,
Bug,
Improvement,
Improvement,
Improvement,
Improvement,
Bug,
Improvement,
Bug,
Bug,
Bug,
Bug,
Bug,
Bug,
Improvement,
Bug,
Bug,
Improvement,
Bug,
Bug,
Bug,
Bug,
Bug,
/,
Bug,
Bug,
Improvement,
Improvement,
Bug,
/,
New Feature,
Bug,
Bug,
Bug,
Bug,
Improvement,
Bug,
Bug,
Improvement,
Bug,
Improvement,
Improvement,
Bug,
Improvement,
Bug,
/,
Bug,
/,
New Feature,
New Feature,
/,
New Feature,
/,
Bug,
/,
/,
/,
Bug,
/,
Bug,
Bug,
/,
Improvement,
Improvement,
Bug,
Bug,
Bug,
Improvement,
Bug,
New Feature,
Bug,
Improvement,
Bug,
New Feature,
Improvement,
Bug,
Improvement,
Bug,
New Feature,
Wish,
Bug,
/,
/,
Bug,
Improvement,
/,
/,
/,
/,
Improvement,
/,
New Feature,
Bug,
Bug,
Improvement,
Bug,
/,
Improvement,
Bug,
Improvement,
Bug,
New Feature,
Bug,
Bug,
Bug,
Bug,
Bug,
Improvement,
Bug,
Improvement,
Improvement,
Improvement,
Improvement,
Improvement,
Bug,
Bug,
Bug,
Improvement,
Bug,
Improvement,
Bug,
/,
/,
/,
/,
/,
/,
Bug,
Improvement,
Bug,
Improvement,
New Feature,
Bug,
New Feature,
Bug,
Bug,
Bug,
Bug,
Improvement,
Bug,
Bug,
/,
New Feature,
Bug,
Bug,
Bug,
Bug,
Improvement,
Improvement,
Bug,
Bug,
Bug,
Improvement,
Bug,
Bug,
Bug,
New Feature,
/,
Improvement,
/,
New Feature,
New Feature,
Improvement,
Bug,
Bug,
Bug,
New Feature,
Bug,
Bug,
Bug,
New Feature,
Test,
Bug,
Improvement,
Improvement,
Bug,
Improvement,
Improvement,
/,
/,
/,
/,
Bug,
/,
/,
Bug,
/,
Bug,
/,
/,
New Feature,
Bug,
Bug,
Improvement,
New Feature,
/,
Improvement,
Bug,
Bug,
Bug,
Bug,
Bug,
Improvement,
New Feature,
Bug,
Bug,
Bug,
Improvement,
Bug,
New Feature,
Improvement,
Improvement,
Bug,
Bug,
Bug,
Improvement,
Bug,
Bug,
New Feature,
Improvement,
New Feature,
New Feature,
/,
Bug,
Bug,
Bug,
Bug,
Bug,
/,
/,
/,
/,
/,
/,
/,
