NMF, TotalAddLines , TotalDeleteLines ,LC,LC_1, FileAdd , FileDelete ,NAD, NUC, AGE, NMS, NMD, Entropy ,MLMF,NDVE,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,a2a,Tag
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,100,NoArch
1,1,1,0,2,0,0,0,17,73,1,1,0,183,5,0,0,20,20,0,897,897,0,10,10,0,100,NoArch
3,16,10,6,26,0,0,0,21,174,1,3,1.465536041,1263,4,11,0,195,195,0,6775,6671,104,127,127,0,100,NoArch
5,720,0,720,720,1,0,1,89,108,1,5,0.546514543,1712,4,42,4,415,0,415,11494,0,11494,207,0,207,99.90952955,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,5,0,0,0,0,0,0,0,0,0,100,NoArch
3,9,0,9,9,0,0,0,5,210,1,1,1.584962501,104,3,35,5,17,14,3,275,242,33,10,7,3,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,5,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArch
2,34,53,19,87,0,0,0,26,68,1,2,0.442958679,566,1,173,5,110,113,3,3188,3381,193,34,34,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,18,0,0,0,0,0,0,0,0,0,100,NoArch
1,0,1,1,1,0,0,0,17,129,1,1,0,145,3,67,7,16,16,0,629,635,6,8,8,0,100,NoArch
13,51,367,316,418,0,1,1,55,134,1,9,2.82121212,3790,3,86,3,768,806,38,21226,23156,1930,307,319,12,99.83221477,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,0,100,NoArch
3,132,0,132,132,2,0,2,24,412,1,2,0.954042522,107,3,345,0,24,10,14,1094,540,554,11,4,7,99.83449189,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,6,0,0,0,0,0,0,0,0,0,100,NoArch
1,1,1,0,2,0,0,0,114,18,1,1,0,1326,34,2,0,267,267,0,6181,6181,0,88,88,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,2,0,0,0,0,0,0,0,0,0,100,NoArch
1,7,0,7,7,0,0,0,7,407,1,1,0,352,4,2,2,68,68,0,1573,1526,47,33,33,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,100,NoArch
7,928,26,902,954,6,0,6,5,213,1,2,2.483065282,88,1,412,8,80,7,73,4392,470,3922,54,5,49,98.53889128,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,17,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,0,0,0,0,0,0,0,100,NoArch
5,25,92,67,117,0,0,0,17,80,1,2,0.642610328,812,2,10,0,71,85,14,3545,3865,320,52,63,11,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,16,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,100,NoArch
1,1,0,1,1,0,0,0,19,0,1,1,0,144,4,62,4,16,16,0,635,629,6,8,8,0,100,NoArch
1,53,43,10,96,0,0,0,10,182,1,1,0,983,3,16,4,135,133,2,3845,3821,24,70,69,1,100,NoArch
2,34,1,33,35,1,0,1,28,148,1,2,0.315997133,565,1,214,10,124,123,1,3294,3202,92,60,59,1,99.89130435,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,100,NoArch
4,2,44,42,46,0,0,0,40,144,1,4,1.3281888,1224,3,77,2,260,267,7,7657,8082,425,92,94,2,100,NoArch
3,185,15,170,200,0,0,0,103,30,1,3,1.336666482,2411,11,19,9,537,8,529,16115,680,15435,244,7,237,100,NoArch
2,34,0,34,34,0,0,0,3,203,1,1,1,325,2,12,1,14,14,0,1868,1868,0,11,11,0,100,NoArch
7,3,274,271,277,0,3,3,5,11,1,2,2.195529186,1366,0,342,6,81,105,24,5716,6796,1080,36,46,10,99.53271028,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,8,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,100,NoArch
3,24,2,22,26,0,0,0,28,30,1,2,0.892995357,594,3,27,8,74,71,3,3446,3272,174,21,20,1,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,6,0,0,0,0,0,0,0,0,0,100,NoArch
2,32,4,28,36,0,0,0,10,880,1,2,0.764204507,605,2,9,5,85,84,1,3606,3399,207,46,45,1,99.83212087,NoArch
13,51,367,316,418,0,1,1,55,134,1,9,2.82121212,3790,3,88,5,768,806,38,21226,23156,1930,307,319,12,99.83443709,NoArch
13,51,367,316,418,0,1,1,55,134,1,9,2.82121212,3790,3,89,6,768,806,38,21226,23156,1930,307,319,12,99.83443709,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,4,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,100,NoArch
2,65,2,63,67,0,0,0,9,10,1,1,0.879458774,233,4,7,3,27,16,11,984,704,280,6,6,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,23,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,NoArch
1,53,43,10,96,0,0,0,10,182,1,1,0,983,3,16,4,135,133,2,3845,3821,24,70,69,1,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,5,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,12,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArch
2,19,4,15,23,0,0,0,22,20,1,2,0.828055725,525,1,223,34,172,168,4,3646,3519,127,53,51,2,99.84848485,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,10,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,0,0,0,0,0,0,0,0,0,100,NoArch
2,2,6,4,8,0,0,0,8,0,1,1,0.954434003,237,4,6,2,16,16,0,704,726,22,6,6,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArch
7,120,31,89,151,0,0,0,21,246,1,2,2.494648942,1083,1,288,7,139,130,9,5488,5096,392,69,63,6,100,NoArch
4,70,19,51,89,0,0,0,10,106,1,2,1.53554765,485,1,76,10,106,95,11,3294,2991,303,30,26,4,93.77682403,Arch
24,2740,2362,378,5102,10,4,14,17,32,1,6,4.080698285,4615,1,79,7,793,733,60,23546,23257,289,310,278,32,93.46642468,Arch
61,127,61,66,188,0,0,0,18,101,1,9,5.29439242,9223,1,80,7,1517,1517,0,44391,44397,6,660,660,0,92.90187891,Arch
15,302,326,24,628,1,3,4,18,110,1,3,3.201329052,2777,1,82,6,334,336,2,15831,15966,135,132,135,3,97.59358289,Arch
12,657,16,641,673,6,0,6,14,0,1,4,3.017296424,871,1,84,7,138,82,56,7688,5144,2544,85,47,38,96.40102828,Arch
6,234,5,229,239,3,0,3,13,26,1,4,1.802370874,515,1,89,3,111,90,21,3720,2604,1116,66,49,17,93.99538106,Arch
2,350,0,350,350,2,0,2,1,0,1,2,0.994693795,0,1,99,11,74,0,74,2409,0,2409,23,0,23,96.7462039,Arch
97,2872,5380,2508,8252,7,26,33,16,14,1,12,5.434778564,14470,1,0,0,1873,2176,303,62115,73068,10953,793,952,159,79.76470588,Arch
7,135,76,59,211,0,0,0,24,127,1,5,2.513346984,2025,1,143,3,530,522,8,13709,13273,436,204,199,5,78.73303167,Arch
16,419,402,17,821,0,0,0,22,131,1,4,3.036039894,1855,1,145,5,304,315,11,10050,9970,80,129,126,3,90.60402685,Arch
14,681,89,592,770,1,0,1,21,67,1,5,2.778364912,2238,1,160,17,630,516,114,16708,13276,3432,240,175,65,74.56359102,Arch
4,26,8,18,34,0,0,0,27,16,1,3,1.866196857,1283,1,164,21,310,305,5,7649,7563,86,151,149,2,94.83101392,Arch
5,130,201,71,331,1,1,2,20,36,1,3,1.850495335,985,1,169,7,170,179,9,5595,5771,176,72,86,14,92.91666667,Arch
11,730,24,706,754,9,0,9,5,49,1,4,3.198549137,472,1,180,3,131,81,50,5516,2489,3027,65,35,30,92.63565891,Arch
10,382,331,51,713,1,0,1,15,96,1,4,2.431137363,1418,1,181,4,175,162,13,7549,7820,271,89,82,7,97.61029412,Arch
4,235,1,234,236,2,0,2,31,11,1,3,1.017979253,976,1,184,7,283,253,30,7117,6099,1018,134,122,12,96.92585895,Arch
6,335,1,334,336,3,0,3,7,0,1,3,2.010706158,524,1,187,10,110,86,24,4271,2607,1664,54,37,17,96.58703072,Arch
10,1053,0,1053,1053,10,0,10,5,17,1,2,3.16305332,0,1,194,17,94,0,94,4550,0,4550,68,0,68,95.93908629,Arch
2,39,2,37,41,1,0,1,20,87,1,2,0.534943699,488,1,199,22,168,164,4,3519,3417,102,51,49,2,96.32587859,Arch
137,2,2,0,4,0,0,0,34,131,1,19,,19731,1,205,28,2782,2782,0,98473,98473,0,1297,1297,0,22.72727273,Arch
3,38,4,34,42,1,0,1,10,19,1,3,0.814227111,174,2,0,0,22,19,3,969,877,92,8,7,1,84.44108761,Arch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,0,0,0,0,0,0,84.63855422,Arch
12,659,52,607,711,7,0,7,20,9,1,5,3.47026236,890,3,2,2,149,101,48,7002,4465,2537,88,54,34,97.65395894,Arch
5,255,19,236,274,1,0,1,12,20,1,4,1.786943458,1414,1,18,10,249,217,32,7992,6837,1155,103,95,8,94.73684211,Arch
8,89,39,50,128,0,0,0,21,11,1,3,2.735845517,1181,3,6,6,133,124,9,5949,5732,217,75,74,1,96.72131148,Arch
13,116,79,37,195,2,0,2,32,55,1,4,3.088504419,2140,1,226,2,533,543,10,12743,12941,198,161,158,3,93.37121212,Arch
2,37,0,37,37,1,0,1,7,34,1,2,0.571354974,87,1,228,3,21,18,3,539,404,135,11,9,2,97.5308642,Arch
4,110,36,74,146,0,0,0,4,65,1,2,1.820612629,354,2,232,7,29,23,6,2097,1662,435,16,15,1,91.88235294,Arch
1,52,0,52,52,1,0,1,1,0,1,1,0,0,1,24,7,1,0,1,233,0,233,1,0,1,97.0959596,Arch
24,1907,361,1546,2268,2,0,2,37,60,1,6,2.784853928,6064,2,245,11,986,796,190,38787,32118,6669,445,354,91,90.73405535,Arch
235,14209,22784,8575,36993,79,131,210,21,2,2,33,,23912,1,0,0,2281,3225,944,76779,116845,40066,1012,1563,551,24.21652422,Arch
13,1089,0,1089,1089,13,0,13,1,0,1,2,3.637703795,0,1,269,4,104,0,104,5198,0,5198,64,0,64,95.67147614,Arch
17,7,1141,1134,1148,0,13,13,30,6,1,6,3.797918375,2262,0,0,0,163,268,105,5441,10764,5323,74,139,65,95.67147614,Arch
20,1172,7,1165,1179,13,0,13,31,90,1,7,3.909228562,1728,1,271,1,448,338,110,14747,9231,5516,196,129,67,95.33851276,Arch
42,106,1490,1384,1596,0,13,13,33,87,1,12,4.641485782,6663,0,0,0,858,1031,173,30068,36707,6639,364,454,90,95.33851276,Arch
42,1491,107,1384,1598,13,0,13,34,183,1,12,4.640219762,5279,1,14,0,1031,858,173,36707,30068,6639,454,364,90,95.33851276,Arch
42,106,1490,1384,1596,0,13,13,33,87,1,12,4.641485782,6663,0,10,0,858,1031,173,30068,36707,6639,364,454,90,95.33851276,Arch
42,1491,107,1384,1598,13,0,13,34,183,1,12,4.640219762,5279,1,3,3,1031,858,173,36707,30068,6639,454,364,90,95.33851276,Arch
42,106,1490,1384,1596,0,13,13,33,87,1,12,4.641485782,6663,0,11,1,858,1031,173,30068,36707,6639,364,454,90,95.33851276,Arch
39,1458,106,1352,1564,13,0,13,34,187,1,10,4.55898651,4525,1,275,0,915,743,172,33021,26466,6555,408,319,89,95.33851276,Arch
38,99,1454,1355,1553,0,13,13,33,95,1,9,4.535194503,5506,0,272,2,695,867,172,24627,31203,6576,290,379,89,95.33851276,Arch
38,1455,100,1355,1555,13,0,13,34,182,1,9,4.533979536,4151,1,276,1,867,695,172,31203,24627,6576,379,290,89,95.33851276,Arch
36,96,1436,1340,1532,0,13,13,33,100,1,8,4.478930535,4561,0,273,3,518,688,170,18044,24538,6494,219,307,88,95.33851276,Arch
36,1437,97,1340,1534,13,0,13,34,191,1,8,4.4777467,3221,1,277,2,688,518,170,24538,18044,6494,307,219,88,95.33851276,Arch
36,96,1436,1340,1532,0,13,13,33,100,1,8,4.478930535,4561,0,17,7,518,688,170,18044,24538,6494,219,307,88,95.33851276,Arch
36,1437,97,1340,1534,13,0,13,34,191,1,8,4.4777467,3221,1,17,2,688,518,170,24538,18044,6494,307,219,88,95.33851276,Arch
36,96,1436,1340,1532,0,13,13,33,100,1,8,4.478930535,4561,0,18,8,518,688,170,18044,24538,6494,219,307,88,95.33851276,Arch
36,1437,97,1340,1534,13,0,13,34,191,1,8,4.4777467,3221,1,18,3,688,518,170,24538,18044,6494,307,219,88,95.33851276,Arch
36,96,1436,1340,1532,0,13,13,33,100,1,8,4.478930535,4561,0,19,9,518,688,170,18044,24538,6494,219,307,88,95.33851276,Arch
36,1437,97,1340,1534,13,0,13,34,191,1,8,4.4777467,3221,1,17,2,688,518,170,24538,18044,6494,307,219,88,95.33851276,Arch
36,96,1436,1340,1532,0,13,13,33,100,1,8,4.478930535,4561,0,17,15,518,688,170,18044,24538,6494,219,307,88,95.33851276,Arch
36,1437,97,1340,1534,13,0,13,34,191,1,8,4.4777467,3221,1,19,4,688,518,170,24538,18044,6494,307,219,88,95.33851276,Arch
36,96,1436,1340,1532,0,13,13,33,100,1,8,4.478930535,4561,0,21,11,518,688,170,18044,24538,6494,219,307,88,95.33851276,Arch
36,1437,97,1340,1534,13,0,13,34,191,1,8,4.4777467,3221,1,28,0,688,518,170,24538,18044,6494,307,219,88,95.33851276,Arch
36,96,1436,1340,1532,0,13,13,33,100,1,8,4.478930535,4561,0,22,12,518,688,170,18044,24538,6494,219,307,88,95.33851276,Arch
158,24136,0,24136,24136,158,0,158,25,122,1,22,6.662493493,0,1,23,13,3246,0,3246,118102,0,118102,1575,0,1575,58.81826321,Arch
158,0,24136,24136,24136,0,158,158,0,0,1,22,6.662493493,24136,0,23,0,0,3246,3246,0,118102,118102,0,1575,1575,58.81826321,Arch
36,1437,97,1340,1534,13,0,13,34,191,1,8,4.4777467,3221,1,278,3,688,518,170,24538,18044,6494,307,219,88,95.33851276,Arch
36,96,1436,1340,1532,0,13,13,33,100,1,8,4.478930535,4561,0,27,16,518,688,170,18044,24538,6494,219,307,88,95.33851276,Arch
36,1437,97,1340,1534,13,0,13,34,191,1,8,4.4777467,3221,1,20,3,688,518,170,24538,18044,6494,307,219,88,95.33851276,Arch
29,1624,58,1566,1682,15,0,15,28,128,1,12,4.298145929,2463,1,281,6,624,437,187,21704,14058,7646,285,184,101,88.83034773,Arch
3,140,0,140,140,1,0,1,3,128,1,2,1.14022707,204,1,282,7,30,16,14,1902,1120,782,20,8,12,97.97979798,Arch
4,244,7,237,251,2,0,2,12,102,1,1,1.648237882,170,1,286,8,32,14,18,1909,760,1149,14,7,7,88.58921162,Arch
4,635,0,635,635,4,0,4,1,0,1,2,1.836714815,0,1,290,4,59,0,59,3086,0,3086,43,0,43,96.8238691,Arch
29,1185,424,761,1609,9,1,10,38,223,1,9,3.92073633,2455,1,294,3,393,286,107,17862,13173,4689,260,168,92,89.93288591,Arch
5,459,74,385,533,2,0,2,7,12,1,2,1.959087684,407,2,11,1,59,31,28,4187,2005,2182,36,23,13,97.23991507,Arch
14,2358,4,2354,2362,13,0,13,20,8,1,3,3.442132587,252,1,12,1,217,33,184,13504,1432,12072,82,9,73,94.59459459,Arch
27,180,140,40,320,1,0,1,40,145,1,12,4.100905002,6318,1,303,7,1098,1089,9,37059,36977,82,486,482,4,93.90774587,Arch
5,739,12,727,751,4,0,4,13,35,1,2,1.861840305,111,1,345,3,128,13,115,4457,474,3983,67,7,60,89.16728077,Arch
9,15,342,327,357,0,3,3,31,40,1,4,2.695188546,2036,0,344,3,269,300,31,9810,11351,1541,98,110,12,88.84026258,Arch
18,854,28,826,882,8,0,8,32,109,1,8,3.40033386,2194,1,346,4,399,328,71,16286,11996,4290,178,138,40,88.06941432,Arch
9,15,342,327,357,0,3,3,31,40,1,4,2.695188546,2036,0,345,4,269,300,31,9810,11351,1541,98,110,12,92.44505495,Arch
