NMF,TotalAddLines,TotalDeleteLines,LC,LC_1,FileAdd,FileDelete,NAD,NUC,AGE,NMS,NMD,Entropy ,MLMF,NDVE,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a,Tag
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,274,5,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
3,218,0,218,218,3,0,3,40,145,1,2,1.093581981,2379,1,5,0,304,291,13,11447,10370,1077,94,89,5,1,99.89384289,NoArch
1,2,2,0,4,0,0,0,7,716,1,1,0.0,112,2,123,7,0,0,0,385,383,2,0,0,0,1,100.0,NoArch
4,0,0,0,0,0,0,0,3,20,1,1,0.0,0,1,115,3,0,0,0,0,0,0,0,0,0,1,99.36102236,NoArch
1,5,3,2,8,0,0,0,11,20,1,1,0.0,348,8,26,2,47,47,0,1297,1297,0,10,10,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,112,3,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
2,21,6,15,27,0,0,0,3,3613,1,2,0.99107606,136,3,11,2,13,12,1,626,534,92,12,11,1,1,100.0,NoArch
1,8,8,0,16,0,0,0,9,2733,1,1,0.0,548,6,25,1,74,74,0,2349,2339,10,34,34,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,14,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
13,128,78,50,206,0,0,0,25,116,1,5,3.389692315,5525,3,120,4,768,743,25,28002,27752,250,226,226,0,1,100.0,NoArch
1,7,2,5,9,0,0,0,2,1079,1,1,0.0,214,2,9,4,22,22,0,1058,1030,28,8,8,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,78,5,0,0,0,0,0,0,0,0,0,2,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
3,8,74,66,82,0,0,0,70,1044,1,2,1.067988219,3884,10,9,0,413,420,7,15751,16304,553,126,126,0,1,100.0,NoArch
1,18,0,18,18,1,0,1,31,0,1,1,0.0,1056,4,161,1,143,142,1,5418,5347,71,40,39,1,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,280,3,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,259,2,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
1,16,0,16,16,1,0,1,32,1117,1,1,0.0,739,4,265,1,71,69,2,4955,4887,68,17,16,1,1,100.0,NoArch
18,41,54,13,95,0,0,0,37,600,1,9,2.72998831,11944,3,15,0,1482,1482,0,52305,52305,0,588,588,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,198,3,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
13,0,0,0,0,13,0,13,1,0,1,6,0.0,2383,1,6,1,264,264,0,9124,9124,0,115,115,0,1,98.48749273,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,19,19,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
1,71,34,37,105,0,0,0,16,0,1,1,0.0,777,3,65,6,163,154,9,4979,4783,196,32,31,1,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,44,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
2,73,45,28,118,0,0,0,34,112,1,2,0.775937331,1297,5,17,0,170,168,2,6660,6573,87,49,48,1,1,100.0,NoArch
3,40,30,10,70,0,0,0,52,169,1,1,1.297016507,1823,2,289,3,254,253,1,7773,7734,39,103,103,0,1,100.0,NoArch
19,272,170,102,442,1,0,1,21,109,1,7,3.442447751,6786,3,86,0,912,896,16,33029,32406,623,264,262,2,1,100.0,NoArch
2,238,17,221,255,1,0,1,68,355,1,2,0.897427193,2596,1,23,2,228,219,9,9576,9130,446,104,95,9,1,98.20828667,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,23,4,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
17,585,56,529,641,5,0,5,108,910,1,6,3.009407616,11092,11,2,0,1518,1462,56,52938,50722,2216,571,543,28,1,99.71153846,NoArch
17,544,55,489,599,11,0,11,33,443,1,3,2.934500022,7766,3,169,4,1109,1055,54,42392,39710,2682,333,308,25,1,100.0,NoArch
1,27,3,24,30,0,0,0,4,1974,1,1,0.0,110,3,6,1,6,4,2,694,558,136,5,4,1,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
1,8,8,0,16,0,0,0,12,904,1,1,0.0,761,4,253,3,98,98,0,5917,5911,6,26,26,0,1,100.0,NoArch
3,26,0,26,26,3,0,3,39,9,1,2,1.56966701,923,2,7,2,109,106,3,3596,3504,92,50,47,3,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,29,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,335,13,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
13,0,0,0,0,13,0,13,1,0,1,6,0.0,2383,1,4,2,264,264,0,9124,9124,0,115,115,0,1,98.48042081,NoArch
2,186,97,89,283,1,0,1,9,21,1,2,0.970535692,1390,1,6,0,163,157,6,5807,5479,328,56,50,6,0,99.91638796,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,22,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
3,101,5,96,106,2,0,2,39,76,1,2,1.100821706,1298,1,12,0,169,158,11,5808,5402,406,60,56,4,2,99.84725051,NoArch
4,263,20,243,283,2,0,2,62,412,1,3,1.366360459,2009,1,267,1,357,329,28,9931,9042,889,129,120,9,1,99.78251414,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
5,283,158,125,441,0,0,0,24,16,1,3,1.068650383,1974,2,155,10,209,204,5,8686,7811,875,64,63,1,1,99.93514916,NoArch
1,1,0,1,1,1,0,1,3,17,1,1,0.0,432,1,11,4,88,88,0,2867,2854,13,9,9,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,66,15,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
18,609,40,569,649,10,0,10,62,1298,1,4,3.404184304,8541,4,283,15,1185,1115,70,44042,40684,3358,402,374,28,1,99.92542878,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,20,20,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
5,241,10,231,251,3,0,3,19,112,1,1,1.224945677,1636,1,111,10,214,186,28,10408,9339,1069,81,71,10,1,99.55396967,NoArch
47,405,760,355,1165,1,2,3,29,102,1,7,4.922380983,10325,3,156,1,1033,1052,19,52075,53941,1866,368,375,7,1,99.33110368,NoArch
6,110,13,97,123,0,0,0,12,976,1,2,2.037985228,5314,9,5,1,764,752,12,24068,23469,599,280,273,7,1,99.91455426,NoArch
1,4,4,0,8,0,0,0,4,1167,1,1,0.0,201,3,0,0,25,25,0,867,867,0,4,4,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,123,5,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
1,16,16,0,32,0,0,0,17,2,1,1,0.0,814,3,119,6,163,163,0,4981,4979,2,32,32,0,1,100.0,NoArch
18,41,54,13,95,0,0,0,37,600,1,9,2.72998831,11944,3,15,0,1482,1482,0,52305,52305,0,588,588,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,31,5,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,310,6,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,177,2,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
1,9,1,8,10,0,0,0,16,2770,1,1,0.0,777,9,76,0,123,122,1,3100,3066,34,44,44,0,1,100.0,NoArch
25,104,3,101,107,22,0,22,80,2273,1,8,3.912113765,9246,12,11,0,1006,1006,0,37862,37300,562,369,369,0,1,100.0,NoArch
1,1,1,0,2,0,0,0,4,0,1,1,0.0,6,1,67,10,0,0,0,28,28,0,0,0,0,0,100.0,NoArch
1,7,7,0,14,0,0,0,3,295,1,1,0.0,177,3,184,1,20,20,0,777,791,14,7,7,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
18,735,43,692,778,11,0,11,73,687,1,7,3.367367672,3139,1,2,0,394,354,40,15573,11988,3585,185,150,35,3,99.43745864,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,110,9,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,26,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
1,5,6,1,11,0,0,0,2,1558,1,1,0.0,663,2,0,0,102,102,0,3757,3765,8,28,28,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,32,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,179,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,64,5,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
1,4,4,0,8,0,0,0,19,31,1,1,0.0,809,12,1,1,98,98,0,4371,4374,3,21,21,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,119,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,251,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,57,4,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
